Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Roma,1,Verona,Away,Serie A,2020,3421,3421,0,2.009338714,1.9170133,0.127734333,0.059724796,21,4,19.0476,0.0000,0,0.826032631,0.7983053,0.042921804,0.027727367,8,3,43.365,60,55.9633027,0.7310524,520,15,34,1,16,2,7.0789,0.0319,0.027,18,20,0,0,0,2.2146,0.5634,1.1767552,0.4457028,0.7310524
Roma,2,Juventus,Home,Serie A,2020,3421,442,2,3.07315622,2.2497266,1.001138151,0.041680604,11,5,45.4545,0.0000,2,1.758276393,0.8744623,0,0.102065124,8,3,34.3875,40,40.1785714,0.2995842,405,11,22,0,14,2,14.6452,0.0142,0.003,8,19,2,0,1,2.2916,0.5198,0.6413763,0.3417921,0.2995842
Roma,3,Udinese,Away,Serie A,2020,3421,352,1,0.911184694,0.7679244,0,0.064821051,13,3,23.0769,0.0000,0,1.287916521,1.2609754,0.035987657,0.026941182,10,4,27.195,56,59.9190283,0.3780802,542,10,16,1,16,1,9.8235,0.035,0.028,14,9,0,0,3,1.0148,1.6586,0.7561592,0.378079,0.3780802
Roma,4,Benevento,Home,Serie A,2020,4231,4321,5,4.233076387,2.6605367,1.414946616,0.771096647,20,7,35.0000,0.0000,2,2.148530419,0.5435615,0,0.823219873,10,4,39.795,52,52.6946107,0.8722853,444,12,32,3,20,2,9.0526,0.0318,0.0052,4,17,3,0,3,2.5622,0.3212,1.2146709,0.3423856,0.8722853
Roma,5,Milan,Away,Serie A,2020,3421,4231,3,2.222361472,0.4181609,0.093322314,1.022451498,12,7,58.3333,0.0000,3,2.648286321,0.8564254,0,0.926275212,13,8,31.4475,46,51.1848341,0.5072719,433,4,25,1,15,3,18.9048,0.032,0.0136,14,15,2,0,1,1.089,1.6728,0.9127968,0.4055249,0.5072719
Roma,6,Fiorentina,Home,Serie A,2020,3421,352,2,3.299015731,2.4241067,0.772428811,0.874909088,17,6,35.2941,0.0000,0,0.365052849,0.2156592,0,0.053495943,8,1,37.485,42,50.8849557,0.7606471,389,11,36,3,19,2,10.2143,0.0471,0.0305,16,17,3,0,3,2.8894,0.0658,0.7178615,-0.0427856,0.7606471
Roma,7,Genoa,Away,Serie A,2020,3421,4321,3,2.5945538,2.0529956,0.41802416,0.5415581,18,9,50.0000,0.0000,1,0.60141505,0.5829613,0,0.0184538,7,5,41.685,50,58.2568807,0.8618341,496,12,27,5,21,1,11.0513,0.0365,0.029,10,11,0,0,3,2.6434,0.2374,1.1294064,0.2675723,0.8618341
Roma,8,Parma,Home,Serie A,2020,3421,532,3,3.18607105,3.0060866,0,0.140692554,21,7,33.3333,0.0000,0,0.021172436,0.0211724,0,0,0,1,56.28,58,69.6,0.827667,706,14,36,3,17,2,14.1613,0.0677,0.0442,4,5,0,0,3,2.9602,0.0208,1.2025857,0.3749187,0.827667
Roma,9,Napoli,Away,Serie A,2020,3421,433,0,0.405306117,0.3234431,0,0.081863063,8,1,12.5000,0.0000,4,1.417577468,1.3636171,0,0.03057484,14,8,31.92,46,47.9591836,0.3229383,453,5,12,1,12,3,16.2963,0.2299,0.0227,3,11,2,0,0,0.493,2.2582,0.546932,0.2239937,0.3229383
Roma,10,Sassuolo,Home,Serie A,2020,3421,4231,0,1.063943712,0.8842283,0.102711394,0.179715341,16,1,6.2500,0.0000,0,0.206629086,0.0637367,0,0.074636072,5,1,26.355,43,32.1951219,0.5001246,392,13,29,0,18,4,29.0769,0.0155,0.0104,10,10,3,1,1,2.2044,0.4866,0.8476966,0.347572,0.5001246
Roma,11,Bologna,Away,Serie A,2020,3421,4231,5,3.787015928,3.3847459,0,0.40227001,15,7,46.6667,493.3333,1,0.664217973,0.5874745,0,0,8,1,29.7675,46,48.5981308,0.8788979,411,12,27,6,9,2,15.2083,0.0283,0.0223,14,9,2,0,3,2.8698,0.0846,1.1500753,0.2711774,0.8788979
Roma,12,Torino,Home,Serie A,2020,3421,3511,3,3.258806362,2.2579387,0,0.219118726,13,5,38.4615,0.0000,1,0.917272988,0.6803277,0,0.148072675,17,6,45.885,63,77.5590551,0.5290541,642,12,33,1,10,3,8.9143,0.0802,0.0277,16,22,4,0,3,2.7234,0.195,1.2109696,0.6819155,0.5290541
Roma,13,Atalanta,Away,Serie A,2020,3421,3421,1,0.764728816,0.6389241,0.222632632,0.025397666,5,3,60.0000,0.0000,4,1.890642976,1.8436849,0,0.022971174,14,8,28.665,45,35.9683794,0.5435402,452,6,12,2,11,2,15.3846,0.0189,0.014,14,14,3,0,0,0.5198,2.2688,0.610291,0.0667508,0.5435402
Roma,14,Cagliari,Home,Serie A,2020,3421,352,3,3.046590854,1.9973818,0.489866376,0.956991989,15,8,53.3333,0.0000,2,1.301169568,0.4477033,0,0.071717233,10,2,38.01,62,62.1951219,0.8075184,535,12,20,4,18,1,6.6905,0.1092,0.0284,20,18,3,0,3,2.5134,0.3444,1.2267618,0.4192434,0.8075184
Roma,15,Sampdoria,Home,Serie A,2020,3421,4411,1,2.682779006,1.7726833,0,0.86655559,21,6,28.5714,0.0000,0,0.109583381,0.059982,0,0.027540619,5,2,43.785,66,55.2173913,0.5180235,595,12,39,0,30,1,6.2895,0.024,0.0106,12,18,3,0,3,2.885,0.0656,0.4824135,-0.03561,0.5180235
Roma,16,Crotone,Away,Serie A,2020,3421,352,3,2.03249045,1.1909538,0,0.059787687,12,4,33.3333,0.0000,1,0.832270246,0.7815015,0,0.050768746,13,5,43.89,48,62.037037,0.2514095,478,6,21,1,12,3,8.4906,0.0277,0.0093,15,17,3,0,3,2.4626,0.356,0.5958593,0.3444498,0.2514095
Roma,17,Internazionale,Home,Serie A,2020,3421,352,2,0.9955125,0.9172228,0,0.0782897,14,8,57.1429,0.0000,2,1.70029402,1.0277335,0.037216377,0.6725605,17,6,44.31,50,56.0185185,0.4594415,544,6,21,0,15,0,10.0682,0.0183,0.0065,9,18,3,0,1,0.8534,1.8842,0.8188621,0.3594206,0.4594415
Roma,18,Lazio,Away,Serie A,2020,3421,352,0,0.6411348,0.4914703,0,0.1496645,6,1,16.6667,0.0000,3,0.88978851,0.8897885,0.111103959,0,8,8,45.8325,60,56.1946902,0.5005934,583,16,20,0,22,3,9,0.0331,0.0203,12,19,4,0,0,1.0518,1.5804,0.5611258,0.0605324,0.5005934
