Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Salernitana,,Virtus Entella,Away,Serie B,2019,3421,-1,0,0,0,0,0,7,2,28.5714,0.0000,1,0,0,0,0,9,0,0,63,39.1534391,0,493,14,0,0,16,0,0,0,0,14,18,3,0,0,0,0,0,0,0
Salernitana,,Cosenza,Home,Serie B,2019,352,-1,2,0,0,0,0,13,4,30.7692,0.0000,1,0,0,0,0,9,0,0,48,47.2826086,0,399,19,0,0,16,0,0,0,0,17,21,2,0,3,0,0,0,0,0
Salernitana,,Benevento,Away,Serie B,2019,352,-1,1,0,0,0,0,9,2,22.2222,0.0000,1,0,0,0,0,17,0,0,48,48.192771,0,399,20,0,2,6,0,0,0,0,16,22,4,0,1,0,0,0,0,0
Salernitana,,Trapani,Home,Serie B,2019,352,-1,1,0,0,0,0,9,5,55.5556,0.0000,0,0,0,0,0,11,0,0,50,0,0,433,5,0,0,5,0,0,0,0,17,15,3,0,3,0,0,0,0,0
Salernitana,,Chievo,Away,Serie B,2019,352,-1,0,0,0,0,0,16,3,18.7500,0.0000,2,0,0,0,0,9,0,0,62,50.9615384,0,526,13,0,0,16,0,0,0,0,12,15,2,0,0,0,0,0,0,0
Salernitana,,Livorno,Home,Serie B,2019,352,-1,1,0,0,0,0,14,3,21.4286,0.0000,0,0,0,0,0,8,0,0,49,37.3015873,0,467,12,0,0,9,0,0,0,0,16,17,3,0,3,0,0,0,0,0
Salernitana,,Frosinone,Away,Serie B,2019,352,-1,0,0,0,0,0,6,0,0.0000,0.0000,1,0,0,0,0,11,0,0,59,42.7083333,0,475,9,0,0,16,0,0,0,0,12,25,3,0,0,0,0,0,0,0
Salernitana,,Venezia,Home,Serie B,2019,352,-1,2,0,0,0,0,10,5,50.0000,0.0000,0,0,0,0,0,21,0,0,47,36.7346938,0,391,8,0,0,21,0,0,0,0,10,17,1,0,3,0,0,0,0,0
Salernitana,,Perugia,Away,Serie B,2019,352,-1,0,0,0,0,0,4,2,50.0000,0.0000,1,0,0,0,0,13,0,0,58,39.9061032,0,461,7,0,0,9,0,0,0,0,18,22,4,0,0,0,0,0,0,0
Salernitana,,Pisa,Home,Serie B,2019,343,-1,1,0,0,0,0,9,1,11.1111,0.0000,1,0,0,0,0,15,0,0,46,46.2765957,0,369,7,0,1,9,0,0,0,0,10,23,5,0,1,0,0,0,0,0
Salernitana,,Pescara,Away,Serie B,2019,4222,-1,2,0,0,0,0,16,9,56.2500,0.0000,1,0,0,0,0,12,0,0,42,34.7619047,0,326,16,0,0,17,0,0,0,0,13,19,4,0,3,0,0,0,0,0
Salernitana,,Cremonese,Home,Serie B,2019,442,-1,3,0,0,0,0,14,6,42.8571,0.0000,3,0,0,0,0,13,0,0,70,72.072072,0,553,12,0,0,31,0,0,0,0,15,18,3,1,1,0,0,0,0,0
Salernitana,,Juve Stabia,Home,Serie B,2019,3412,-1,2,0,0,0,0,13,6,46.1538,0.0000,1,0,0,0,0,19,0,0,37,29.5857988,0,232,11,0,0,10,0,0,0,0,20,19,4,2,3,0,0,0,0,0
Salernitana,,Ascoli,Away,Serie B,2019,352,-1,2,0,0,0,0,18,6,33.3333,0.0000,3,0,0,0,0,11,0,0,64,70.8791208,0,434,13,0,0,33,0,0,0,0,17,15,2,0,0,0,0,0,0,0
Salernitana,,Cittadella,Home,Serie B,2019,3421,-1,4,0,0,0,0,18,6,33.3333,0.0000,1,0,0,0,0,7,0,0,51,44,0,334,13,0,2,13,0,0,0,0,24,22,1,0,3,0,0,0,0,0
Salernitana,,Crotone,Away,Serie B,2019,4231,-1,1,0,0,0,0,6,1,16.6667,0.0000,1,0,0,0,0,17,0,0,36,36.1256544,0,250,8,0,2,10,0,0,0,0,13,27,3,1,1,0,0,0,0,0
Salernitana,,Empoli,Home,Serie B,2019,3412,-1,2,0,0,0,0,18,5,27.7778,0.0000,4,0,0,0,0,16,0,0,42,44.1340782,0,298,9,0,0,29,0,0,0,0,17,18,1,1,0,0,0,0,0,0
Salernitana,,Pordenone,Away,Serie B,2019,352,-1,1,0,0,0,0,12,3,25.0000,0.0000,1,0,0,0,0,9,0,0,59,46.4646464,0,489,10,0,0,17,0,0,0,0,22,18,4,0,1,0,0,0,0,0
Salernitana,,Spezia,Home,Serie B,2019,442,-1,1,0,0,0,0,14,5,35.7143,0.0000,2,0,0,0,0,20,0,0,39,37.4407582,0,299,5,0,0,19,0,0,0,0,11,16,2,1,0,0,0,0,0,0
