Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Sampdoria,1,Milan,Home,Serie A,2021,442,4231,0,1.1327163,0.8538729,0,0.221204146,16,3,18.7500,0.0000,1,0.976381032,0.6981454,0,0.278235655,11,4,38.85,50,52.7659574,0.3679937,395,4,21,1,21,2,9.3333,0.0641,0.0511,14,17,3,0,0,1.4154,1.2486,0.4045217,0.036528,0.3679937
Sampdoria,2,Sassuolo,Away,Serie A,2021,4231,4231,0,0.553570692,0.4541442,0,0.047417447,11,2,18.1818,0.0000,0,1.226773623,1.1063119,0.093113724,0.09237281,19,5,31.92,37,49.034749,0.4313408,329,5,15,0,21,2,12.0526,0.1483,0.1447,7,14,2,0,1,0.763,1.9306,0.525695,0.0943542,0.4313408
Sampdoria,3,Internazionale,Home,Serie A,2021,442,352,2,1.545756036,1.072433,0,0.417605454,14,3,21.4286,0.0000,2,0.962252479,0.7685077,0.464079738,0.092715412,8,3,47.88,52,58.1151832,0.330559,398,5,22,1,27,6,9.0882,0.1834,0.1556,13,12,4,0,1,1.8114,0.9096,0.5120818,0.1815228,0.330559
Sampdoria,4,Empoli,Away,Serie A,2021,442,4312,3,1.117584646,0.8668275,0.06332884,0.250757098,14,7,50.0000,0.0000,0,0.931432675,0.8898909,0,0.018932151,15,4,22.9425,46,46.5020576,0.3858384,360,11,22,1,15,4,11.2692,0.072,0.0656,9,10,2,0,3,1.5108,1.1718,0.6384766,0.2526382,0.3858384
Sampdoria,5,Napoli,Home,Serie A,2021,442,433,0,0.565090069,0.4323899,0,0.065317184,13,5,38.4615,0.0000,4,2.56453333,2.3464605,0.364247292,0.218072815,17,9,36.855,48,53.5849056,0.6493391,456,9,19,0,24,3,14.3846,0.2882,0.2864,6,10,2,0,0,0.2338,2.6596,0.7814296,0.1320905,0.6493391
Sampdoria,6,Juventus,Away,Serie A,2021,442,442,2,0.82848632,0.1825625,0,0.645923782,5,3,60.0000,0.0000,3,2.56938396,1.750505,0,0.037130002,16,6,34.5975,50,49.609375,0.3876875,453,6,9,0,13,2,12.4074,0.0423,0.0231,21,16,3,0,0,0.2586,2.6046,0.5196371,0.1319496,0.3876875
Sampdoria,7,Udinese,Home,Serie A,2021,442,352,3,1.448219841,0.4861985,0,0.180272419,12,3,25.0000,0.0000,3,2.73666053,0.7700939,0,1.966566715,18,7,32.865,54,50.2304147,0.7571051,416,10,25,0,19,3,6.8889,0.0439,0.0183,14,12,4,0,1,0.6138,2.1516,0.7511974,-0.0059077,0.7571051
Sampdoria,8,Cagliari,Away,Serie A,2021,4411,442,1,1.7264376,1.3173399,0.108840868,0.4090978,17,3,17.6471,0.0000,3,1.40792544,1.118189,0,0.2897364,12,5,31.815,59,61.637931,0.8861463,433,2,29,0,32,2,9.24,0.035,0.0281,14,18,2,0,0,1.622,1.1204,0.9850466,0.0989003,0.8861463
Sampdoria,9,Spezia,Home,Serie A,2021,442,4231,2,1.0912898,1.0912898,0.139204517,0,7,2,28.5714,0.0000,1,0.88924186,0.841509,0,0.0477329,17,7,24.78,29,27.7580071,0.229528,268,2,13,0,6,1,17,0.211,0.1401,8,9,3,0,3,1.5136,1.1608,0.3597834,0.1302554,0.229528
Sampdoria,10,Atalanta,Home,Serie A,2021,433,3421,1,1.1300342,1.1300342,0,0,8,3,37.5000,87.5000,3,1.73000999,1.7300101,0.215590872,0,14,4,35.49,40,34.0350877,0.6074339,390,4,16,4,8,0,10.0833,0.0224,0.0093,18,15,4,0,0,0.9282,1.8102,0.8438814,0.2364475,0.6074339
