Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Sassuolo,1,Internazionale,Home,Serie A,2018,433,-1,1,1.61311184,0.7500309,0.058906726,0.081331864,12,2,16.6667,0.0000,0,1.088290801,0.822998,0,0.265292853,14,3,27.1425,38,36.0975609,0.1462267,347,8,21,2,12,2,15.1481,0.033,0.0136,11,23,3,0,3,1.8494,0.8624,0.4658292,0.3196025,0.1462267
Sassuolo,2,Cagliari,Away,Serie A,2018,433,-1,2,1.849412712,0.9404267,0,0.078114318,13,5,38.4615,0.0000,2,1.384095944,0.6972785,0,0.686817376,15,6,26.985,59,47.5490196,0.6058989,512,2,25,2,16,0,13.3889,0.0334,0.0029,12,16,2,1,1,1.7328,1.0032,0.8301282,0.2242293,0.6058989
Sassuolo,3,Genoa,Home,Serie A,2018,343,-1,5,1.926071402,1.6396434,0,0.286428034,10,7,70.0000,0.0000,3,2.301442376,2.0044861,0,0.226765777,21,5,21.4725,44,33.6283185,0.0988118,383,6,11,1,7,0,10.4839,0.0414,0.0345,17,13,3,0,3,1.0838,1.6748,0.2400956,0.1412838,0.0988118
Sassuolo,4,Juventus,Away,Serie A,2018,433,-1,1,0.722063707,0.6464364,0,0.075627292,15,5,33.3333,0.0000,2,2.51052553,1.1184982,0.113149621,1.348980872,18,4,27.195,58,51.2096774,0.3533052,553,4,11,0,18,4,9.1935,0.0377,0.0058,13,15,3,0,0,0.2678,2.6,0.5869157,0.2336105,0.3533052
Sassuolo,5,Empoli,Home,Serie A,2018,4321,-1,3,2.148040907,1.7775098,0,0.278075462,23,7,30.4348,0.0000,1,1.144767281,0.9774949,0,0.04872217,15,2,25.515,60,51.6891891,1.2080978,628,3,25,0,12,3,11.8182,0.0685,0.0563,9,14,1,0,3,2.1026,0.6956,1.7090198,0.500922,1.2080978
Sassuolo,6,SPAL,Away,Serie A,2018,343,-1,2,2.033238073,2.0100769,1.203870401,0.023161059,12,6,50.0000,0.0000,0,1.005370919,0.1755124,0.059018254,0.764233165,12,2,30.66,49,54.3352601,0.4118381,429,7,13,3,17,0,17.7619,0.0158,0.0123,15,13,0,0,3,2.1028,0.6508,0.7460079,0.3341698,0.4118381
Sassuolo,7,Milan,Home,Serie A,2018,433,-1,1,0.711500346,0.6158054,0,0.09569495,12,2,16.6667,0.0000,4,1.596658418,1.417739,0.113011517,0.123784088,12,8,29.505,60,56.8690095,0.6498836,586,8,26,0,29,2,10.2692,0.0445,0.0347,12,13,1,0,0,0.6502,2.1034,0.9810109,0.3311273,0.6498836
Sassuolo,8,Napoli,Away,Serie A,2018,343,-1,0,1.0725921,1.0174621,0,0.05513,12,7,58.3333,0.0000,2,1.62623647,1.5914334,0,0.0348031,15,7,47.7225,55,52.020202,0.440046,639,4,14,0,16,1,12.1143,0.0114,0.0031,12,8,2,1,0,0.9428,1.7888,0.7048459,0.2647999,0.440046
Sassuolo,9,Sampdoria,Away,Serie A,2018,343,-1,0,0.5567065,0.4470904,0,0.1096161,10,0,0.0000,0.0000,0,1.06390846,0.8420387,0,0.2218698,9,1,32.76,46,42.8571428,0.2270259,428,15,14,0,11,3,13.5185,0.0199,0.012,10,18,3,0,1,0.8668,1.7968,0.4410776,0.2140517,0.2270259
Sassuolo,10,Bologna,Home,Serie A,2018,343,-1,2,2.290153557,1.065277,0,0.443127584,15,6,40.0000,0.0000,2,1.497579442,0.3649186,0,1.048009032,14,5,38.955,74,75.6410256,0.4683725,606,8,26,0,30,1,5.9643,0.027,0.0091,19,21,2,0,1,2.0996,0.6728,0.8469494,0.3785769,0.4683725
Sassuolo,11,Chievo,Away,Serie A,2018,433,-1,2,1.007876454,0.4147844,0,0.513140164,10,4,40.0000,0.0000,0,0.514122577,0.484354,0,0.029768618,5,0,28.2975,43,37.0165745,0.3793444,387,7,8,0,10,1,15.9231,0.0473,0.0371,21,17,2,0,3,1.8306,0.8238,0.5198853,0.1405409,0.3793444
Sassuolo,12,Lazio,Home,Serie A,2018,3142,-1,1,0.541464304,0.3516123,0,0.096678263,16,4,25.0000,0.0000,1,1.60033609,1.4888331,0,0.058889802,14,2,30.345,59,53.1818181,0.4082957,547,8,13,1,17,7,8.9677,0.0426,0.019,21,13,4,0,1,0.465,2.3166,0.5692617,0.160966,0.4082957
Sassuolo,13,Parma,Away,Serie A,2018,4231,-1,1,1.418243791,0.5714317,0,0.065063164,14,6,42.8571,0.0000,2,2.139834965,1.1876165,0,0.887195267,14,5,26.67,74,68,0.2929765,613,7,16,0,22,0,6.9048,0.0387,0.0227,14,15,4,0,0,0.829,1.8934,0.6235432,0.3305667,0.2929765
Sassuolo,14,Udinese,Home,Serie A,2018,433,-1,0,1.7686166,0.7927398,0,0.9758768,18,3,16.6667,0.0000,0,0.11432053,0.1143205,0,0,3,1,34.86,66,71.8367346,0.8349954,589,13,32,3,45,4,8.9,0.0294,0.0155,12,14,3,0,1,2.6586,0.1944,1.3154397,0.4804443,0.8349954
Sassuolo,15,Fiorentina,Home,Serie A,2018,433,-1,3,1.027183337,0.975309,0.024563722,0.029227946,17,7,41.1765,0.0000,3,2.401377926,2.1469706,0,0.254407298,18,6,23.52,54,56.25,0.6643784,389,7,21,0,22,1,10.2692,0.0167,0.012,14,13,4,1,1,0.5398,2.2588,0.7654055,0.1010271,0.6643784
Sassuolo,16,Frosinone,Away,Serie A,2018,433,-1,2,1.147254272,0.7775082,0.111344442,0.369745957,21,2,9.5238,0.0000,0,0.448642656,0.2554436,0,0.171899255,14,3,21.315,65,68.4210526,0.4748268,556,7,26,4,22,2,9.2692,0.051,0.0411,16,10,2,0,3,1.936,0.7432,0.8466597,0.3718329,0.4748268
Sassuolo,17,Torino,Home,Serie A,2018,433,-1,1,2.367645491,1.5495182,0,0.786626442,20,5,25.0000,0.0000,1,0.302707131,0.1825094,0,0.042719429,6,2,29.925,59,53.7383177,0.4315009,400,9,35,3,37,6,9.0833,0.0569,0.049,15,13,2,0,1,2.757,0.147,0.6334572,0.2019563,0.4315009
Sassuolo,18,Roma,Away,Serie A,2018,4222,-1,1,0.614303308,0.4614871,0,0.132603914,10,3,30.0000,0.0000,3,3.743773136,2.4790852,0,0.4829387,20,10,26.355,49,43.2432432,0.4281088,390,10,12,5,16,4,11.16,0.1007,0.0796,14,16,1,0,0,0.0588,2.9022,0.6630507,0.2349419,0.4281088
Sassuolo,19,Atalanta,Home,Serie A,2018,433,-1,2,1.1156118,1.1156118,0,0,15,8,53.3333,0.0000,6,3.77817893,2.3593538,0.146664932,1.4188251,17,9,31.92,43,37.6984126,0.5797256,400,9,14,1,10,1,10.9394,0.0275,0.0102,9,11,1,0,0,0.1892,2.7356,0.7789991,0.1992735,0.5797256
Sassuolo,20,Internazionale,Away,Serie A,2018,4141,-1,0,1.270469816,1.2477694,0,0,16,5,31.2500,0.0000,0,1.084331228,0.9451216,0,0.139209593,13,4,24.4125,42,32.2448979,0.3381981,393,17,15,1,8,1,14.1538,0.0791,0.0665,16,16,3,0,1,1.501,1.2034,0.5438283,0.2056302,0.3381981
Sassuolo,21,Cagliari,Home,Serie A,2018,433,-1,3,3.818702501,2.9352701,1.000269175,0.026508916,15,9,60.0000,0.0000,0,0.801997312,0.6622466,0,0.139750764,10,3,18.165,44,40.8071748,0.2890562,405,15,26,2,17,3,19,0.0425,0.0089,17,14,1,0,3,2.8868,0.0734,0.5462986,0.2572424,0.2890562
Sassuolo,22,Genoa,Away,Serie A,2018,433,-1,1,0.666196479,0.518195,0.022114256,0.112209745,14,4,28.5714,0.0000,1,0.930709714,0.9117718,0,0.018937927,8,3,32.025,65,52.8138528,0.2585177,540,7,21,1,18,1,8.9565,0.0283,0.0237,11,15,3,0,1,1.063,1.5862,0.4311766,0.1726589,0.2585177
Sassuolo,23,Juventus,Home,Serie A,2018,433,-1,0,0.458533692,0.3864906,0.037601743,0.072043075,9,2,22.2222,0.0000,3,2.130860373,1.279947,0.042153284,0.786141066,14,5,28.1925,50,50.6550218,0.2138857,524,10,13,0,19,1,16.24,0.02,0.008,8,19,3,0,0,0.3066,2.5422,0.5754319,0.3615462,0.2138857
Sassuolo,24,Empoli,Away,Serie A,2018,433,-1,0,0.568666,0.4813478,0,0.0873182,8,2,25.0000,0.0000,3,1.60143705,1.6014371,0.437274247,0,0,5,31.2375,67,63.3858267,0.5892135,675,7,14,3,15,1,10,0.0432,0.0349,11,11,3,0,0,0.5466,2.2128,0.9716672,0.3824537,0.5892135
Sassuolo,25,SPAL,Home,Serie A,2018,343,-1,1,0.575094908,0.4661496,0,0.108945333,6,1,16.6667,0.0000,1,1.007700906,0.0856481,0,0.140303871,7,2,37.38,52,51.0288065,0.5449177,479,11,17,2,11,0,8.4634,0.1643,0.0129,13,20,4,1,1,0.7764,1.8438,0.729588,0.1846703,0.5449177
Sassuolo,26,Milan,Away,Serie A,2018,433,-1,0,0.822366476,0.5115731,0,0.119860019,14,4,28.5714,0.0000,1,1.198673848,0.9984757,0.608975872,0.020875307,12,3,21.525,55,58.8028169,0.2914558,512,13,15,0,18,2,18.3529,0.0211,0.0152,19,9,0,1,0,1.0088,1.6808,0.5594313,0.2679755,0.2914558
