Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Spezia,1,Empoli,Home,Serie A,2022,352,4312,1,0.840739334,0.5672256,0,0.273513734,9,2,22.2222,0.0000,0,0.747628634,0.6372413,0,0.086492768,18,5,31.5,41,36.9047619,0.3438925,355,5,11,2,21,2,9.4615,0.0401,0.033,8,15,2,0,3,1.4262,1.2312,0.4787591,0.1348666,0.3438925
Spezia,2,Internazionale,Away,Serie A,2022,352,352,0,0.553026929,0,0,0.553026929,2,0,0.0000,0.0000,3,2.707915232,1.9925395,0,0.715375741,19,8,19.1625,45,46.8599033,0.2086287,420,2,13,0,11,3,36.2727,0.0143,0.0101,9,7,0,0,0,0.167,2.7242,0.3281692,0.1195405,0.2086287
Spezia,3,Sassuolo,Home,Serie A,2022,352,433,2,1.202055742,0.4203067,0,0,7,2,28.5714,0.0000,2,2.557611092,2.4206767,0.053354215,0.136934392,21,8,29.4,42,31.7991631,0.2776008,399,6,13,1,10,0,14.9615,0.0193,0.0115,9,17,0,1,1,0.4936,2.3068,0.3735885,0.0959877,0.2776008
Spezia,4,Juventus,Away,Serie A,2022,352,433,0,0.148223061,0.1058369,0,0.042386197,9,0,0.0000,0.0000,2,1.610476854,0.7182581,0,0.814519206,15,3,36.855,49,54.2682926,0.3045585,447,8,16,1,18,2,14.75,0.1423,0.1276,10,10,2,0,0,0.2472,2.583,0.4912087,0.1866502,0.3045585
Spezia,5,Bologna,Home,Serie A,2022,352,3412,2,0.9021409,0.8400082,0,0.0621327,15,5,33.3333,0.0000,2,1.23290716,1.212437,0.063111264,0.0204702,13,6,31.5525,45,60,0.4216674,351,3,33,0,24,6,13.3929,0.2307,0.2204,4,12,4,0,1,0.9714,1.7154,0.6926267,0.2709593,0.4216674
Spezia,6,Napoli,Away,Serie A,2022,352,433,0,0.485186386,0.4223972,0,0.023853343,10,1,10.0000,0.0000,1,2.384080699,1.8221999,0,0.561880807,28,6,14.2275,37,28.5140562,0.1394059,300,7,15,0,10,1,17.8421,0.0049,0.0028,6,14,2,0,0,0.274,2.5894,0.2764975,0.1370916,0.1394059
Spezia,7,Sampdoria,Home,Serie A,2022,352,4141,2,0.892393932,0.5528778,0,0.339516126,6,3,50.0000,0.0000,1,0.928009678,0.8782397,0,0.028066868,11,8,31.71,52,46.2882096,0.2747994,374,5,21,0,22,1,6.5385,0.65625,0.40625,14,17,4,0,3,1.2954,1.359,0.299539,0.0247396,0.2747994
Spezia,8,Lazio,Away,Serie A,2022,352,433,0,0.867241371,0.7093758,0,0.157865586,14,2,14.2857,0.0000,4,2.622651236,1.6761235,0,0.164778873,13,6,36.75,39,36.1445783,0.3012847,358,8,11,2,13,0,18.1923,0.0401,0.006,3,14,2,0,0,0.2832,2.5866,0.4197442,0.1184595,0.3012847
Spezia,9,Monza,Away,Serie A,2022,352,3421,0,0.496724301,0.3292807,0,0.088115063,10,1,10.0000,0.0000,2,0.817738482,0.3553933,0,0.462345242,7,4,39.3225,52,51.4150943,0.6782292,439,8,23,0,17,3,9.8824,0.466666667,0.3,10,20,2,0,0,0.9644,1.6202,0.6682416,-0.0099876,0.6782292
Spezia,10,Cremonese,Home,Serie A,2022,433,4231,2,1.388592927,0.9080139,0,0.480579097,15,6,40.0000,0.0000,2,2.236715371,0.9774423,0.021553095,1.176039676,24,4,32.1825,54,57.0247933,0.2325589,409,10,23,1,20,5,7.5556,0.0514,0.0409,10,12,2,0,1,0.7934,1.9622,0.1900284,-0.0425305,0.2325589
Spezia,11,Salernitana,Away,Serie A,2022,352,352,0,0.6835214,0.5821677,0.065541841,0.1013537,14,2,14.2857,0.0000,1,1.70114285,1.0579054,0.349364646,0.6432374,17,4,35.91,56,59.7285067,0.5623583,409,5,28,2,20,5,10.36,0.0353,0.0251,9,8,4,0,0,0.6194,2.1524,0.8106013,0.248243,0.5623583
Spezia,12,Fiorentina,Home,Serie A,2022,352,433,1,1.4111635,0.6997229,0,0.7114405,10,6,60.0000,0.0000,2,2.16830553,1.9224704,1.200604375,0.2458352,27,5,25.725,49,46.4646464,0.5136887,311,6,25,1,17,0,10.24,0.0426,0.0223,13,19,5,1,0,0.9464,1.7834,0.7543412,0.2406525,0.5136887
Spezia,13,Milan,Away,Serie A,2022,352,4231,1,1.56708251,1.363141,0.3754493,0.183335448,13,5,38.4615,0.0000,2,2.775472079,2.6502949,0.194755785,0.101958245,23,11,29.0325,41,48.7179487,0.4795779,300,2,17,1,12,1,10.8,0.459459459,0.243243243,11,13,4,0,0,0.6518,2.1578,0.5056026,0.0260247,0.4795779
Spezia,14,Udinese,Home,Serie A,2022,352,352,1,3.087690607,1.4915623,0.516586363,1.562455751,21,6,28.5714,0.0000,1,0.472416554,0.4222643,0.122251675,0.050152235,10,2,27.51,49,45.0381679,0.8224401,413,5,26,1,25,3,15.2,0.0499,0.0427,11,12,3,0,1,2.7844,0.1366,1.2507441,0.428304,0.8224401
Spezia,15,Verona,Away,Serie A,2022,352,3421,2,1.109930843,0.8731875,0.048651576,0.236743283,16,9,56.2500,0.0000,1,1.840438439,1.26597,0.52786272,0.551866963,18,5,33.705,56,50.2347417,0.4074936,396,3,26,0,25,2,8,0.0747,0.0513,12,21,4,0,3,0.8214,1.938,0.122157,-0.2853366,0.4074936
Spezia,16,Atalanta,Home,Serie A,2022,352,3412,2,1.2909827,1.2909827,0.580844767,0,7,3,42.8571,0.0000,2,1.76804914,1.5212738,0,0.2467754,19,3,18.1125,35,34.3642611,0.3897936,315,9,16,1,11,2,17.4783,0.0497,0.0479,10,11,3,0,1,1.1224,1.5874,0.4151498,0.0253562,0.3897936
