Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Torino,1,Atalanta,Home,Serie A,2021,343,3421,1,1.152851546,0.9701721,0,0.099259302,21,8,38.0952,0.0000,2,0.879819824,0.8358868,0,0.043933038,7,2,42.7875,48,59.1549295,0.3785739,380,12,23,1,16,3,9.0256,0.0869,0.0757,13,17,2,0,0,1.5508,1.1212,0.729789,0.3512151,0.3785739
Torino,2,Fiorentina,Away,Serie A,2021,3412,433,1,0.3468669,0.3211607,0,0.0257063,5,1,20.0000,0.0000,2,0.57007845,0.4727153,0.160822406,0.0973631,9,6,46.935,42,42.0212765,0.2319582,306,6,11,1,11,0,9.1081,0.0318,0.0108,12,28,5,0,0,1.0416,1.4856,0.2964746,0.0645164,0.2319582
Torino,3,Salernitana,Home,Serie A,2021,3421,352,4,3.1762126,2.2345262,0.128508121,0.9416865,15,7,46.6667,0.0000,0,0.25787555,0.1805875,0.072227076,0.0772879,8,2,33.705,60,55,0.4158455,493,5,29,1,27,0,9.1724,0.0884,0.0817,9,10,0,0,3,2.8992,0.0582,0.6022325,0.186387,0.4158455
Torino,4,Sassuolo,Away,Serie A,2021,3421,4231,1,2.241411072,1.742709,0,0.498702105,18,6,33.3333,0.0000,0,0.717886668,0.2455297,0,0.405931769,10,2,43.89,47,58.9861751,0.5995939,402,6,29,2,15,3,9.675,0.0391,0.0237,7,19,4,0,3,2.3928,0.4212,0.9572248,0.3576309,0.5995939
Torino,5,Lazio,Home,Serie A,2021,3421,433,1,1.159269634,0.8222061,0,0.337063571,16,5,31.2500,0.0000,1,0.894563459,0.0482628,0,0.064551696,6,2,43.3125,46,61.7117117,0.261274,370,5,28,0,22,3,10.8611,0.0381,0.0243,9,19,3,0,1,1.4788,1.1344,0.3502893,0.0890153,0.261274
Torino,6,Venezia,Away,Serie A,2021,3421,442,1,1.106847612,1.1068476,0.484612197,0,8,3,37.5000,0.0000,1,1.447530383,0.5025698,0,0.12215275,7,1,32.76,56,57.4297188,0.2906871,474,9,14,2,17,1,11.4,0.0537,0.0484,9,18,2,1,1,1.0156,1.6486,0.5929237,0.3022366,0.2906871
Torino,7,Juventus,Home,Serie A,2021,3421,442,0,0.931240348,0.3027334,0,0.628506977,13,2,15.3846,0.0000,1,1.35244244,1.3524425,0.324794698,0,10,3,40.6875,47,50.9009009,0.2097641,399,8,19,0,19,1,8.2143,0.304,0.032,13,20,3,0,0,0.9958,1.7224,0.4663774,0.2566133,0.2097641
Torino,8,Napoli,Away,Serie A,2021,3412,4231,0,0.881534484,0.7734093,0.07116504,0.085589249,11,3,27.2727,0.0000,1,1.491263978,0.6841484,0,0.025366526,10,3,33.39,49,42.8571428,0.2546759,361,11,12,0,16,3,9.4828,0.0946,0.0801,6,20,4,0,0,0.7894,1.924,0.4159167,0.1612408,0.2546759
Torino,9,Genoa,Home,Serie A,2021,3421,4411,3,2.105309047,1.6993652,0,0.272407364,17,6,35.2941,0.0000,2,2.464463158,1.7888435,0.044487957,0.652850086,14,4,34.86,59,64.0350877,0.6424371,458,10,22,0,13,1,8.4138,0.0362,0.0257,16,20,2,0,3,1.1286,1.6404,0.8098663,0.1674292,0.6424371
Torino,10,Milan,Away,Serie A,2021,3421,4231,0,0.6924032,0.5550168,0,0.1373863,12,2,16.6667,0.0000,1,0.87811504,0.1775496,0,0.7005653,10,2,47.565,56,65.6488549,0.4241013,471,12,25,1,20,0,5.75,0.1628,0.1293,14,21,3,0,0,1.099,1.522,0.5305261,0.1064248,0.4241013
Torino,11,Sampdoria,Home,Serie A,2021,3421,3142,3,2.788747739,2.0030818,0.162277334,0.785665952,16,6,37.5000,0.0000,0,0.526030762,0.4781078,0,0.025464838,5,1,36.6975,64,63.3064516,0.4869871,579,3,20,3,10,5,8.5517,0.0321,0.0134,8,19,2,0,3,2.7252,0.171,0.9381337,0.4511466,0.4869871
Torino,12,Spezia,Away,Serie A,2021,3421,4231,0,0.3762965,0.2443492,0,0.1319473,9,1,11.1111,0.0000,1,0.33609183,0.3360917,0,0,7,3,35.6475,60,60.2362204,0.1028825,478,5,32,0,19,5,8.5667,0.0525,0.034,14,17,3,0,0,1.2966,1.1508,0.3663709,0.2634884,0.1028825
Torino,13,Udinese,Home,Serie A,2021,3421,3421,2,2.311203412,0.5387941,0.093153909,1.772409392,14,4,28.5714,0.0000,1,1.344745311,0.8880012,0,0.433904013,18,7,35.3325,52,48.2608695,0.3565012,443,15,20,1,14,0,8.6486,0.0606,0.0076,17,19,1,0,3,2.1284,0.662,0.5718314,0.2153302,0.3565012
Torino,14,Roma,Away,Serie A,2021,3421,3142,0,0.8454214,0.3645894,0,0.480832,17,3,17.6471,0.0000,1,0.89370345,0.7048254,0.201453008,0.1888779,10,2,45.675,68,74.5901639,0.8161813,590,11,31,0,24,1,6.7647,0.0711,0.066,7,11,1,0,0,1.255,1.3852,0.850148,0.0339667,0.8161813
Torino,15,Empoli,Home,Serie A,2021,3421,4312,2,1.035295436,0.9720558,0,0.063239582,10,3,30.0000,0.0000,2,0.877853428,0.5004405,0,0.324866212,16,5,14.7,41,43.8356164,0.144845,308,5,15,0,9,2,11.8636,0.0198,0.0118,14,9,1,1,1,1.48,1.1878,0.2133658,0.0685208,0.144845
Torino,16,Cagliari,Away,Serie A,2021,3421,352,1,1.560181179,1.5307914,0,0.029389653,8,3,37.5000,0.0000,1,1.074643243,0.4158476,0.101702683,0.638594288,15,2,26.3025,51,46.4285714,0.4447991,394,13,20,1,12,2,8.1212,0.0498,0.0377,12,24,4,0,1,1.842,0.8814,0.7108585,0.2660594,0.4447991
Torino,17,Bologna,Home,Serie A,2021,3421,3421,2,2.015977049,1.8346458,0.570204616,0.088063389,16,7,43.7500,0.0000,1,0.957794925,0.1492277,0,0.026818316,8,5,54.495,48,60.8870967,0.5168756,394,6,31,4,20,4,12.0345,0.0301,0.0253,17,16,2,0,3,2.1682,0.5848,0.9308261,0.4139505,0.5168756
Torino,18,Verona,Home,Serie A,2021,3421,3421,1,0.853880379,0.1904293,0,0.607026871,8,1,12.5000,0.0000,0,0.264939783,0.1425608,0,0.122378984,8,2,32.34,67,68.7969924,0.1173336,569,7,12,0,24,1,9.4583,0.057,0.046,7,15,1,0,3,2.0214,0.621,0.4843653,0.3670317,0.1173336
Torino,19,Internazionale,Away,Serie A,2021,3421,352,0,0.425499975,0.2976775,0.078362472,0.039541494,12,3,25.0000,0.0000,1,1.117566868,0.935362,0.09776523,0.136113099,15,3,41.37,46,52.9953917,0.3434806,410,11,18,0,20,1,11.1714,0.0921,0.0852,9,17,0,0,0,0.678,2.0076,0.5203393,0.1768587,0.3434806
Torino,20,Atalanta,Away,Serie A,2021,3421,3421,4,2.477881635,0.9143836,0,0,5,4,80.0000,0.0000,4,2.671351951,0.8341892,0,0.222334418,17,5,29.19,50,38.8392857,0.4642895,436,5,9,0,5,4,19.1875,0.014,0.0122,12,11,2,0,1,1.2638,1.4474,0.5553745,0.091085,0.4642895
Torino,21,Fiorentina,Home,Serie A,2021,3421,433,4,1.6355968,1.6015721,0,0.0340247,9,6,66.6667,0.0000,0,0.41326971,0.3284082,0,0.0848615,10,3,36.435,45,56.937799,0.2182318,384,7,12,1,10,3,12.2903,0.0136,0.0035,11,16,2,0,3,2.3934,0.4014,0.4138358,0.195604,0.2182318
Torino,22,Sampdoria,Away,Serie A,2021,3421,4231,2,1.251364556,0.9470889,0,0.304275721,20,12,60.0000,0.0000,1,1.141892105,0.9629277,0,0.111023443,11,3,27.195,63,69.6864111,0.4352199,499,12,33,1,35,3,10.8095,0.0421,0.0394,10,14,2,0,3,1.4102,1.2962,0.8466031,0.4113832,0.4352199
Torino,23,Sassuolo,Home,Serie A,2021,3421,433,1,2.8854808,2.2463269,0,0.6391538,21,6,28.5714,0.0000,1,0.59815432,0.5733421,0,0.0248121,6,1,55.44,50,69.5,0.5516624,405,11,26,1,20,3,9.8108,0.0106,0.0071,15,21,3,0,1,2.7432,0.1656,0.8514038,0.2997414,0.5516624
Torino,24,Udinese,Away,Serie A,2021,3421,352,0,0.212840578,0.1908827,0,0.021957865,5,1,20.0000,0.0000,2,1.120069453,0.2563382,0.015716355,0.038584981,11,3,29.82,59,55.6179775,0.2158248,427,2,9,0,13,1,8.25,0.1035,0.0698,11,21,3,1,0,0.3506,2.405,0.187489,-0.0283358,0.2158248
Torino,25,Venezia,Home,Serie A,2021,3421,4312,1,0.56205,0.3728785,0,0.1891715,14,2,14.2857,0.0000,2,0.38119653,0.3452512,0,0.0359453,5,2,34.755,67,75.7847533,0.288742,472,11,24,0,25,1,10.1,0.0345,0.02,12,14,2,0,0,1.4356,1.0888,0.3799277,0.0911857,0.288742
Torino,26,Juventus,Away,Serie A,2021,3421,4321,1,0.960617425,0.8433302,0,0.0650678,10,3,30.0000,0.0000,1,0.834228072,0.451798,0.037280608,0.341330392,12,3,39.9,54,65.7794676,0.2744658,434,3,20,0,29,5,8.7353,0.1139,0.0436,15,19,2,0,1,1.477,1.1806,0.4715816,0.1971158,0.2744658
Torino,27,Cagliari,Home,Serie A,2021,3421,352,1,1.236472441,0.4854691,0,0.707129614,15,6,40.0000,0.0000,2,1.557839556,0.6009872,0,0.956852293,11,5,39.06,57,62.780269,0.4524063,435,8,20,0,21,5,9.6333,0.0703,0.0641,18,16,2,0,0,1.1634,1.551,0.5667416,0.1143353,0.4524063
