Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Udinese,1,Milan,Home,Serie A,2019,352,4312,1,0.764258058,0.5829701,0,0.181288079,17,6,35.2941,0.0000,0,0.541483007,0.3882342,0,0.129913207,14,0,29.9775,41,44.4976076,0.3407394,353,9,20,0,24,1,17.9565,0.01,0.0061,10,16,1,0,3,1.5104,1.0898,0.4832282,0.1424888,0.3407394
Udinese,2,Parma,Home,Serie A,2019,352,433,1,1.346384877,1.1350652,0,0.146072965,23,11,47.8261,0.0000,3,1.134795721,1.1347957,0.820633702,0,8,3,36.015,52,53.1531531,0.4357921,473,14,34,0,27,5,13.6538,0.0276,0.0134,10,12,1,0,0,1.4562,1.2372,0.8040755,0.3682834,0.4357921
Udinese,3,Internazionale,Away,Serie A,2019,3511,-1,0,0.244140846,0.1204051,0,0.123735636,6,5,83.3333,0.0000,1,1.540769178,1.2488809,0,0.110903483,22,8,18.48,36,25.3012048,0.1557297,371,8,8,1,8,1,31,0.0308,0.015,9,11,1,1,0,0.3356,2.462,0.2445573,0.0888276,0.1557297
Udinese,4,Brescia,Home,Serie A,2019,3421,-1,0,0.428646725,0.3217111,0,0.036347047,10,3,30.0000,0.0000,1,0.988173265,0.8881424,0.102529682,0.100030935,9,4,39.7425,58,51.4563106,0.3022183,447,7,14,0,21,3,6.2727,0.0351,0.0198,15,22,4,0,0,0.777,1.8774,0.3304447,0.0282264,0.3022183
Udinese,5,Verona,Away,Serie A,2019,3511,-1,0,0.9145488,0.4508819,0,0.4636669,11,3,27.2727,0.0000,0,0.97395415,0.7888472,0,0.1851069,13,4,32.865,44,48.6363636,0.3784186,382,5,11,1,17,1,11.697,0.0211,0.0114,5,20,4,0,1,1.284,1.386,0.5676389,0.1892203,0.3784186
Udinese,6,Bologna,Home,Serie A,2019,352,-1,1,0.636227775,0.5299256,0.063369999,0.020957625,12,3,25.0000,0.0000,0,0.890452482,0.6209792,0,0.196868621,12,3,31.1325,39,43.2160804,0.368173,294,6,19,0,12,3,12.7143,0.1187,0.1145,15,20,4,0,3,1.0674,1.5756,0.5347336,0.1665606,0.368173
Udinese,7,Fiorentina,Away,Serie A,2019,352,-1,0,0.805049875,0.8050499,0,0,8,1,12.5000,0.0000,1,1.061192793,0.6177965,0,0.357097455,16,4,24.36,50,42.9090909,0.5626844,426,12,14,1,20,2,13.5455,0.0286,0.0193,9,11,2,0,0,1.1332,1.5442,0.811106,0.2484216,0.5626844
Udinese,8,Torino,Home,Serie A,2019,352,-1,1,1.724748725,1.6726514,0,0.052097454,18,4,22.2222,0.0000,0,0.535853696,0.4845491,0,0.019089738,11,3,27.825,38,37.745098,0.595518,306,9,18,0,14,1,13.7037,0.0943,0.0218,19,15,3,0,3,2.3496,0.4398,0.7530205,0.1575025,0.595518
Udinese,9,Atalanta,Away,Serie A,2019,352,-1,1,0.402782387,0.3400745,0,0.062707854,7,3,42.8571,0.0000,7,6.053379025,4.4690212,0,0.020859927,24,13,15.645,38,18.5328185,0.1528726,317,13,7,2,5,2,28,0.0475,0.0233,10,6,1,1,0,0.0048,2.9922,0.2269971,0.0741245,0.1528726
Udinese,10,Roma,Home,Serie A,2019,352,-1,0,0.576533213,0.4427708,0.080023803,0.056266228,12,4,33.3333,0.0000,4,3.482660665,1.9181436,0.68543005,0.600271014,13,6,37.065,55,53.2663316,0.6666458,503,7,21,0,18,2,9.875,0.0493,0.0326,14,16,4,0,0,0.075,2.8836,0.9018353,0.2351895,0.6666458
