Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Verona,,Ascoli,Home,Serie B,2018,433,-1,1,0,0,0,0,10,3,30.0000,0.0000,1,0,0,0,0,0,0,0,60,64.5021645,0,488,7,0,0,29,0,0,0,0,13,20,3,1,1,0,0,0,0,0
Verona,,Cosenza,Home,Serie B,2018,433,-1,2,0,0,0,0,17,10,58.8235,0.0000,2,0,0,0,0,10,0,0,52,54.8780487,0,462,4,0,0,22,0,0,0,0,14,14,2,0,1,0,0,0,0,0
Verona,,Carpi,Away,Serie B,2018,433,-1,1,0,0,0,0,16,7,43.7500,0.0000,1,0,0,0,0,12,0,0,69,62.2073578,0,622,17,0,2,25,0,0,0,0,16,11,2,0,1,0,0,0,0,0
Verona,,Crotone,Home,Serie B,2018,433,-1,1,0,0,0,0,19,5,26.3158,0.0000,1,0,0,0,0,6,0,0,49,60.6425702,0,400,7,0,3,32,0,0,0,0,12,14,3,0,1,0,0,0,0,0
Verona,,Spezia,Away,Serie B,2018,433,-1,2,0,0,0,0,13,5,38.4615,0.0000,1,0,0,0,0,16,0,0,52,43.670886,0,510,7,0,0,9,0,0,0,0,13,20,3,0,3,0,0,0,0,0
Verona,,Salernitana,Home,Serie B,2018,433,-1,1,0,0,0,0,12,2,16.6667,0.0000,0,0,0,0,0,11,0,0,58,44.5054945,0,434,12,0,1,15,0,0,0,0,19,22,3,1,3,0,0,0,0,0
Verona,,Lecce,Away,Serie B,2018,433,-1,1,0,0,0,0,15,5,33.3333,0.0000,2,0,0,0,0,10,0,0,54,53.6480686,0,523,8,0,1,20,0,0,0,0,14,10,2,0,0,0,0,0,0,0
Verona,,Venezia,Home,Serie B,2018,433,-1,1,0,0,0,0,14,6,42.8571,0.0000,0,0,0,0,0,13,0,0,57,58.7301587,0,511,11,0,1,31,0,0,0,0,6,11,2,0,3,0,0,0,0,0
Verona,,Perugia,Away,Serie B,2018,433,-1,2,0,0,0,0,10,4,40.0000,0.0000,1,0,0,0,0,11,0,0,55,64.2585551,0,491,4,0,0,27,0,0,0,0,9,19,3,0,3,0,0,0,0,0
Verona,,Padova,Away,Serie B,2018,433,-1,0,0,0,0,0,15,5,33.3333,0.0000,3,0,0,0,0,15,0,0,77,81.1209439,0,606,5,0,1,49,0,0,0,0,16,15,2,0,0,0,0,0,0,0
Verona,,Cremonese,Away,Serie B,2018,433,-1,1,0,0,0,0,7,2,28.5714,0.0000,1,0,0,0,0,15,0,0,67,53.2188841,0,592,3,0,1,18,0,0,0,0,21,14,2,0,1,0,0,0,0,0
Verona,,Brescia,Home,Serie B,2018,433,-1,2,0,0,0,0,17,4,23.5294,0.0000,2,0,0,0,0,15,0,0,56,48.5596707,0,404,11,0,1,32,0,0,0,0,17,10,2,0,1,0,0,0,0,0
Verona,,Palermo,Away,Serie B,2018,433,-1,0,0,0,0,0,12,2,16.6667,0.0000,1,0,0,0,0,25,0,0,55,41.8367346,0,440,8,0,0,23,0,0,0,0,21,13,3,0,0,0,0,0,0,0
Verona,,Benevento,Home,Serie B,2018,433,-1,0,0,0,0,0,22,4,18.1818,0.0000,3,0,0,0,0,17,0,0,60,72.0930232,0,469,14,0,0,29,0,0,0,0,21,15,2,0,0,0,0,0,0,0
Verona,,Pescara,Away,Serie B,2018,433,-1,1,0,0,0,0,17,7,41.1765,0.0000,1,0,0,0,0,8,0,0,60,65.5038759,0,513,12,0,3,17,0,0,0,0,24,17,3,0,1,0,0,0,0,0
Verona,,Livorno,Home,Serie B,2018,433,-1,2,0,0,0,0,10,3,30.0000,0.0000,3,0,0,0,0,13,0,0,59,55.4421768,0,448,8,0,0,34,0,0,0,0,21,13,3,0,0,0,0,0,0,0
Verona,,Cittadella,Away,Serie B,2018,4312,-1,0,0,0,0,0,13,2,15.3846,0.0000,3,0,0,0,0,15,0,0,45,41.4448669,0,396,10,0,0,21,0,0,0,0,15,14,4,1,0,0,0,0,0,0
Verona,,Foggia,Home,Serie B,2018,433,-1,2,0,0,0,0,15,6,40.0000,0.0000,1,0,0,0,0,16,0,0,48,53.6231884,0,410,8,0,1,16,0,0,0,0,14,18,1,1,3,0,0,0,0,0
Verona,,Cremonese,Home,Serie B,2018,433,-1,1,0,0,0,0,9,3,33.3333,0.0000,1,0,0,0,0,14,0,0,57,54.4642857,0,440,9,0,1,16,0,0,0,0,12,15,3,1,1,0,0,0,0,0
Verona,,Carpi,Home,Serie B,2018,433,-1,4,0,0,0,0,14,9,64.2857,0.0000,1,0,0,0,0,10,0,0,69,56.6820276,0,557,7,0,1,17,0,0,0,0,19,15,2,0,3,0,0,0,0,0
Verona,,Crotone,Away,Serie B,2018,433,-1,2,0,0,0,0,15,5,33.3333,0.0000,1,0,0,0,0,18,0,0,49,47.0833333,0,456,6,0,2,7,0,0,0,0,11,13,3,0,3,0,0,0,0,0
Verona,,Spezia,Home,Serie B,2018,433,-1,2,0,0,0,0,8,6,75.0000,0.0000,1,0,0,0,0,9,0,0,60,55.8490566,0,607,5,0,1,14,0,0,0,0,20,15,1,0,3,0,0,0,0,0
