Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Almería,,Sporting de Gijón,Home,Segunda division,2017,433,-1,1,0,0,0,0,20,3,15.0000,0.0000,3,0,0,0,0,6,0,0,53,59.7701149,0,406,12,0,1,35,0,0,0,0,17,13,5,0,0,0,0,0,0,0
Almería,,Real Oviedo,Away,Segunda division,2017,4231,-1,1,0,0,0,0,7,2,28.5714,85.7143,2,0,0,0,0,10,0,0,41,33.6134453,0,314,11,0,0,14,0,0,0,0,20,15,5,0,0,0,0,0,0,0
Almería,,Numancia,Home,Segunda division,2017,442,-1,0,0,0,0,0,9,0,0.0000,0.0000,0,0,0,0,0,12,0,0,39,43.6,0,308,7,0,0,18,0,0,0,0,18,12,2,0,1,0,0,0,0,0
Almería,,Lorca,Away,Segunda division,2017,433,-1,2,0,0,0,0,7,2,28.5714,0.0000,1,0,0,0,0,19,0,0,51,46.5116279,0,354,4,0,0,10,0,0,0,0,22,19,3,0,3,0,0,0,0,0
Almería,,Osasuna,Home,Segunda division,2017,4231,-1,0,0,0,0,0,6,1,16.6667,0.0000,1,0,0,0,0,7,0,0,43,42.3076923,0,298,19,0,0,15,0,0,0,0,23,16,2,0,0,0,0,0,0,0
Almería,,Sevilla Atlético,Away,Segunda division,2017,442,-1,3,0,0,0,0,17,6,35.2941,0.0000,0,0,0,0,0,9,0,0,46,43.7185929,0,338,13,0,1,19,0,0,0,0,12,14,1,0,3,0,0,0,0,0
Almería,,Cultural Leonesa,Home,Segunda division,2017,442,-1,2,0,0,0,0,9,3,33.3333,0.0000,1,0,0,0,0,14,0,0,34,33.6032388,0,272,12,0,1,18,0,0,0,0,17,15,2,0,3,0,0,0,0,0
Almería,,Huesca,Away,Segunda division,2017,442,-1,2,0,0,0,0,11,6,54.5455,190.9091,2,0,0,0,0,8,0,0,35,29.5154185,0,273,6,0,0,13,0,0,0,0,18,21,4,0,1,0,0,0,0,0
Almería,,Rayo Vallecano,Home,Segunda division,2017,442,-1,0,0,0,0,0,14,4,28.5714,0.0000,1,0,0,0,0,15,0,0,45,59.090909,0,376,13,0,2,20,0,0,0,0,19,22,5,0,0,0,0,0,0,0
Almería,,Real Valladolid,Away,Segunda division,2017,3421,-1,1,0,0,0,0,13,3,23.0769,0.0000,2,0,0,0,0,15,0,0,42,39.8340248,0,286,13,0,1,20,0,0,0,0,10,10,2,0,0,0,0,0,0,0
Almería,,Reus Deportiu,Away,Segunda division,2017,3421,-1,0,0,0,0,0,16,6,37.5000,0.0000,1,0,0,0,0,14,0,0,56,63.9004149,0,435,12,0,0,26,0,0,0,0,19,10,2,0,0,0,0,0,0,0
Almería,,Gimnàstic de Tarragona,Home,Segunda division,2017,433,-1,1,0,0,0,0,14,5,35.7143,92.8571,1,0,0,0,0,15,0,0,46,48.5596707,0,380,4,0,1,16,0,0,0,0,15,13,3,0,1,0,0,0,0,0
Almería,,Cádiz,Away,Segunda division,2017,442,-1,0,0,0,0,0,2,1,50.0000,0.0000,0,0,0,0,0,12,0,0,34,41.1458333,0,260,5,0,1,11,0,0,0,0,7,17,3,0,1,0,0,0,0,0
Almería,,Albacete,Home,Segunda division,2017,4231,-1,1,0,0,0,0,12,3,25.0000,0.0000,1,0,0,0,0,9,0,0,65,62.6609442,0,511,8,0,1,45,0,0,0,0,9,10,0,0,1,0,0,0,0,0
Almería,,Real Zaragoza,Away,Segunda division,2017,4231,-1,1,0,0,0,0,5,3,60.0000,0.0000,2,0,0,0,0,13,0,0,37,34.2995169,0,298,8,0,0,17,0,0,0,0,9,18,2,0,0,0,0,0,0,0
Almería,,Barcelona B,Home,Segunda division,2017,4231,-1,1,0,0,0,0,8,2,25.0000,0.0000,0,0,0,0,0,17,0,0,31,38.559322,0,235,10,0,0,16,0,0,0,0,13,13,3,0,3,0,0,0,0,0
Almería,,Tenerife,Away,Segunda division,2017,4231,-1,0,0,0,0,0,13,4,30.7692,0.0000,0,0,0,0,0,14,0,0,39,42.4603174,0,313,14,0,0,16,0,0,0,0,12,17,2,0,1,0,0,0,0,0
Almería,,Granada CF,Home,Segunda division,2017,442,-1,2,0,0,0,0,10,4,40.0000,0.0000,0,0,0,0,0,10,0,0,32,39.1111111,0,273,9,0,2,14,0,0,0,0,13,14,3,0,3,0,0,0,0,0
Almería,,Córdoba,Away,Segunda division,2017,4231,-1,0,0,0,0,0,4,1,25.0000,0.0000,2,0,0,0,0,14,0,0,51,50,0,379,11,0,0,20,0,0,0,0,19,22,2,1,0,0,0,0,0,0
Almería,,Alcorcón,Home,Segunda division,2017,442,-1,0,0,0,0,0,8,2,25.0000,0.0000,0,0,0,0,0,14,0,0,40,40.4166666,0,310,7,0,1,19,0,0,0,0,17,14,1,0,1,0,0,0,0,0
Almería,,Lugo,Away,Segunda division,2017,4231,-1,1,0,0,0,0,5,3,60.0000,0.0000,1,0,0,0,0,8,0,0,28,45.1923076,0,194,7,0,0,14,0,0,0,0,15,14,4,0,1,0,0,0,0,0
Almería,,Sporting de Gijón,Away,Segunda division,2017,442,-1,0,0,0,0,0,13,2,15.3846,0.0000,2,0,0,0,0,8,0,0,59,63.8743455,0,520,12,0,0,34,0,0,0,0,15,14,1,0,0,0,0,0,0,0
Almería,,Real Oviedo,Home,Segunda division,2017,4411,-1,1,0,0,0,0,14,4,28.5714,0.0000,1,0,0,0,0,9,0,0,54,56.1224489,0,432,9,0,1,16,0,0,0,0,21,15,3,0,1,0,0,0,0,0
Almería,,Numancia,Away,Segunda division,2017,4411,-1,0,0,0,0,0,16,3,18.7500,0.0000,1,0,0,0,0,12,0,0,62,51.7374517,0,453,7,0,0,14,0,0,0,0,15,14,5,0,0,0,0,0,0,0
Almería,,Lorca,Home,Segunda division,2017,433,-1,2,0,0,0,0,13,5,38.4615,0.0000,1,0,0,0,0,10,0,0,54,55.940594,0,412,14,0,1,18,0,0,0,0,10,14,3,0,3,0,0,0,0,0
Almería,,Osasuna,Away,Segunda division,2017,433,-1,1,0,0,0,0,8,2,25.0000,0.0000,2,0,0,0,0,10,0,0,46,33.3333333,0,331,7,0,1,14,0,0,0,0,22,19,2,0,0,0,0,0,0,0
Almería,,Sevilla Atlético,Home,Segunda division,2017,433,-1,3,0,0,0,0,16,5,31.2500,0.0000,0,0,0,0,0,14,0,0,55,47.1794871,0,453,11,0,2,15,0,0,0,0,7,16,2,0,3,0,0,0,0,0
Almería,,Cultural Leonesa,Away,Segunda division,2017,433,-1,0,0,0,0,0,7,1,14.2857,0.0000,0,0,0,0,0,14,0,0,49,39.893617,0,423,5,0,0,14,0,0,0,0,13,21,4,1,1,0,0,0,0,0
Almería,,Huesca,Home,Segunda division,2017,433,-1,0,0,0,0,0,9,2,22.2222,0.0000,3,0,0,0,0,20,0,0,57,50.4237288,0,500,7,0,1,24,0,0,0,0,11,13,0,0,0,0,0,0,0,0
Almería,,Rayo Vallecano,Away,Segunda division,2017,4231,-1,0,0,0,0,0,5,1,20.0000,0.0000,1,0,0,0,0,18,0,0,38,31.372549,0,294,4,0,0,11,0,0,0,0,10,24,1,2,0,0,0,0,0,0
Almería,,Real Valladolid,Home,Segunda division,2017,433,-1,1,0,0,0,0,16,3,18.7500,0.0000,1,0,0,0,0,11,0,0,44,54.1463414,0,326,11,0,0,16,0,0,0,0,15,11,1,1,1,0,0,0,0,0
Almería,,Reus Deportiu,Home,Segunda division,2017,442,-1,0,0,0,0,0,13,3,23.0769,0.0000,1,0,0,0,0,5,0,0,62,80.1843317,0,485,10,0,3,33,0,0,0,0,12,10,0,0,0,0,0,0,0,0
Almería,,Gimnàstic de Tarragona,Away,Segunda division,2017,4411,-1,1,0,0,0,0,14,7,50.0000,0.0000,0,0,0,0,0,18,0,0,50,44.4444444,0,364,10,0,1,19,0,0,0,0,20,15,1,0,3,0,0,0,0,0
