Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Atlético de Madrid,1,Getafe,Home,La Liga,2019,41212,-1,1,2.188514621,1.3490681,1.028446615,0.057697486,5,5,100.0000,0.0000,0,0.227386165,0.1149724,0,0,6,0,30.03,57,41.9512195,0.2749227,420,7,9,2,7,1,9.2857,0.0033,0.0024,20,19,1,1,3,2.8334,0.1004,0.6231331,0.3482104,0.2749227
Atlético de Madrid,2,Leganés,Away,La Liga,2019,3142,-1,1,1.523243479,1.5232435,0,0,6,4,66.6667,0.0000,0,0.353829799,0.2337497,0,0.100129022,10,4,19.425,58,43.319838,0.5694782,501,9,15,4,7,3,11.0476,0.022,0.0166,11,13,5,0,3,2.3928,0.3954,0.8066092,0.237131,0.5694782
Atlético de Madrid,3,Eibar,Home,La Liga,2019,4312,-1,3,1.53434676,1.1562518,0,0.378095031,7,3,42.8571,0.0000,2,0.817072799,0.683837,0,0.13323576,6,2,40.95,56,48.4848484,0.6722536,443,11,18,4,12,2,10.96,0.0297,0.0173,14,9,0,0,3,1.9752,0.7344,0.8450807,0.1728271,0.6722536
Atlético de Madrid,4,Real Sociedad,Away,La Liga,2019,442,-1,0,0.991572,0.7164326,0,0.2751394,12,2,16.6667,0.0000,2,2.96151985,1.1203302,0,1.8411896,14,5,27.72,46,49.7907949,0.7116936,399,5,30,0,15,3,14.52,0.0481,0.0115,12,10,3,0,0,0.3398,2.5142,0.814768,0.1030744,0.7116936
Atlético de Madrid,5,Celta de Vigo,Home,La Liga,2019,442,-1,0,1.898453229,0.261395,0.087442584,1.55930933,20,5,25.0000,0.0000,0,0.670503913,0.6705038,0,0,6,3,35.385,49,59.3220338,0.8076017,419,9,31,3,23,3,9.3714,0.0211,0.0114,12,14,3,0,1,2.275,0.4978,1.1445194,0.3369177,0.8076017
Atlético de Madrid,6,Mallorca,Away,La Liga,2019,442,-1,2,1.471692247,0.7981285,0,0.673563857,13,3,23.0769,0.0000,0,0.620680904,0.1166121,0,0.460523292,9,2,30.1875,52,48.2625482,0.7489913,489,6,22,3,10,2,9.0606,0.0551,0.032,8,15,3,1,3,2.0858,0.6506,0.8576724,0.1086811,0.7489913
Atlético de Madrid,7,Real Madrid,Home,La Liga,2019,442,-1,0,0.86609203,0.5902528,0,0.275839176,7,1,14.2857,0.0000,0,0.314952223,0.2157902,0,0.064618383,14,3,23.73,44,45.1298701,0.6586894,451,16,16,2,18,5,13.2414,0.0634,0.045,13,14,1,0,1,1.9148,0.7118,0.84763,0.1889406,0.6586894
Atlético de Madrid,8,Real Valladolid,Away,La Liga,2019,442,-1,0,0.669997087,0.5494007,0,0.12059642,9,1,11.1111,0.0000,0,0.953615499,0.1718665,0,0,5,1,44.31,54,59.7457627,0.5048239,440,9,19,3,16,2,8.4286,0.0297,0.0158,15,14,4,0,1,0.9332,1.6814,0.6706092,0.1657853,0.5048239
Atlético de Madrid,9,Valencia CF,Home,La Liga,2019,442,-1,1,1.557949121,0.6101485,0,0.128559528,15,4,26.6667,0.0000,1,0.593216473,0.4921136,0,0.05901528,11,3,34.02,44,47.9338842,0.7046074,388,10,26,1,22,4,11.1875,0.0328,0.0253,11,18,2,0,1,2.2222,0.5266,0.9763963,0.2717889,0.7046074
Atlético de Madrid,10,Athletic Club,Home,La Liga,2019,442,-1,2,2.261203207,1.3174911,0,0.900665559,9,2,22.2222,0.0000,0,0.354172435,0.250065,0,0.104107406,9,2,37.8,45,40.3587443,0.658455,376,9,18,1,17,0,8.6316,0.0315,0.0247,8,14,2,0,3,2.7496,0.157,0.8362705,0.1778155,0.658455
