Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Barcelona,1,Rayo Vallecano,Home,La Liga,2022,433,4231,0,2.081585385,1.9342426,0,0.079559457,21,6,28.5714,0.0000,0,0.630306396,0.6303064,0,0,4,2,56.595,68,67.2489082,0.7599628,560,7,43,1,24,2,6.1842,0.0427,0.0173,14,16,1,1,1,2.4256,0.391,0.8115819,0.0516191,0.7599628
Barcelona,2,Real Sociedad,Away,La Liga,2022,3241,41212,4,2.373682368,2.1404129,0.583531484,0.233269423,15,7,46.6667,0.0000,1,0.580132626,0.4695615,0,0.090256644,10,5,33.495,59,58.5714285,0.5897611,549,10,24,2,8,2,9.5667,0.0602,0.0293,15,9,1,0,3,2.5974,0.27,1.1723039,0.5825428,0.5897611
Barcelona,3,Real Valladolid,Home,La Liga,2022,433,4141,4,3.551712392,3.2895121,0.161648974,0.235619743,24,9,37.5000,0.0000,0,0.782488079,0.6875913,0,0.094896931,8,3,60.4275,68,84.1584158,0.9408136,637,16,56,3,30,9,7.7778,0.0466,0.0308,8,9,1,0,3,2.7682,0.1522,1.5495557,0.6087421,0.9408136
Barcelona,4,Sevilla,Away,La Liga,2022,433,433,3,4.686177985,3.8991335,1.671185255,0.605907738,18,7,38.8889,0.0000,0,0.873623541,0.8542872,0,0.019336382,9,4,32.34,54,52.970297,0.734241,447,7,29,6,10,1,12.2083,0.0316,0.0131,15,14,4,0,3,2.9102,0.0578,1.2013325,0.4670915,0.734241
Barcelona,5,Cádiz,Away,La Liga,2022,433,4231,4,2.816457756,2.7721327,0.546682477,0.044325162,16,8,50.0000,0.0000,0,0.281590145,0.1100596,0,0.147615602,6,0,28.14,70,67.6579925,0.695792,568,14,43,5,10,1,8.5,0.0592,0.0425,11,13,3,0,3,2.8982,0.0584,1.2759582,0.5801662,0.695792
Barcelona,6,Elche,Home,La Liga,2022,433,541,3,4.6321809,3.9117581,0.115053684,0.7204229,25,9,36.0000,0.0000,0,0.02601353,0.0260135,0,0,0,1,61.215,77,93.4383202,1.428226,708,7,58,10,22,4,5.7778,0.0771,0.0626,8,11,2,0,3,2.996,0.002,2.2332923,0.8050663,1.428226
Barcelona,7,Mallorca,Away,La Liga,2022,433,541,1,0.629348893,0.5452067,0,0.084142147,11,3,27.2727,0.0000,0,0.969086772,0.8575879,0,0.111498872,13,3,42.42,72,73.2283464,0.5284233,770,5,23,8,15,0,8.4444,0.0668,0.058,9,13,4,0,3,0.9866,1.6652,1.0054964,0.4770731,0.5284233
Barcelona,8,Celta de Vigo,Home,La Liga,2022,433,4132,1,1.722810472,1.5361199,0,0.186690603,13,5,38.4615,0.0000,0,1.247380123,1.1143491,0,0.09903064,14,3,39.27,58,67.037037,0.346045,565,11,27,1,20,2,9,0.1053,0.102,9,16,2,0,3,1.8512,0.8858,0.8315206,0.4854756,0.346045
Barcelona,9,Real Madrid,Away,La Liga,2022,433,433,1,1.435612435,1.2618826,0,0.097857637,18,5,27.7778,0.0000,3,1.878206254,1.0964574,0,0,8,4,56.805,57,65.49295775,1.2790318,547,12,30,0,9,3,9.2647,0.545454545,0.363636364,11,14,2,0,0,1.0252,1.6972,1.7510317,0.4719999,1.2790318
Barcelona,10,Villarreal,Home,La Liga,2022,433,442,3,3.409332652,3.2416556,0.053571288,0.12785469,16,5,31.2500,0.0000,0,0.540097484,0.5093488,0,0.030748676,5,1,59.64,70,84.0425531,1.3174278,763,8,37,5,22,5,6.8372,0.0433,0.0135,10,18,0,0,3,2.8156,0.1084,1.7845215,0.4670937,1.3174278
Barcelona,11,Athletic Club,Home,La Liga,2022,433,4231,4,2.0159223,2.0159223,0,0,10,7,70.0000,0.0000,0,0.28014157,0.2594468,0,0.0206947,5,3,32.445,66,44.723618,0.6915255,669,8,23,4,7,5,14.1176,0.0309,0.012,12,7,2,0,3,2.634,0.2226,1.2066556,0.5151301,0.6915255
Barcelona,12,Valencia CF,Away,La Liga,2022,433,433,1,2.0492032,1.8969148,0,0.1522884,13,2,15.3846,0.0000,0,0.14085802,0.1219816,0.06836503,0.0188764,0,2,47.565,67,69.8689956,1.2919814,572,15,38,3,21,1,8.2069,0.0314,0.026,12,7,5,0,3,2.766,0.138,1.6652221,0.3732407,1.2919814
Barcelona,13,Almería,Home,La Liga,2022,433,532,2,4.437464907,3.4210275,0,0.234688519,27,13,48.1481,0.0000,0,0.536157321,0.5361573,0,0,0,1,61.32,70,87.1069182,1.1101773,713,15,68,11,26,8,8.5882,0.0862,0.0576,12,14,2,0,3,2.9542,0.028,1.5195328,0.4093555,1.1101773
Barcelona,14,Osasuna,Away,La Liga,2022,433,4411,2,1.143687,1.0368267,0.037816644,0.1068603,9,3,33.3333,0.0000,1,1.20916339,1.1609204,0,0.0482429,15,3,28.455,53,43.1297709,0.3598632,506,7,19,2,10,2,15.4,0.0411,0.0335,14,6,2,2,3,1.3332,1.3446,0.4993079,0.1394447,0.3598632
Barcelona,15,Espanyol,Home,La Liga,2022,433,4231,1,2.238888588,0.9583671,0,1.28052157,21,6,28.5714,0.0000,1,0.857919563,0.0504626,0,0.02570793,4,1,32.2875,78,71.8592964,0.8241687,640,7,36,2,29,2,7.1905,0.0564,0.0485,15,11,5,1,1,2.3362,0.4432,1.1015866,0.2774179,0.8241687
Barcelona,16,Atlético de Madrid,Away,La Liga,2022,433,442,1,1.484807802,1.4211112,0.047631569,0.063696716,10,2,20.0000,0.0000,0,1.124013768,0.5246976,0,0.599316228,20,5,25.095,59,40.6374501,0.2985783,634,8,17,2,9,3,10.6154,0.0553,0.0523,8,16,3,1,3,1.6926,1.017,0.6820969,0.3835186,0.2985783
Barcelona,17,Real Betis,Away,La Liga,2022,433,4231,2,2.26607915,0.7150141,0,1.52547143,13,3,23.0769,192.3077,1,0.316568352,0.3165684,0.113001317,0,0,1,42.735,64,61.01083032,1.2168778,643,11,38,1,14,3,7.2778,0.088,0.031,17,9,0,0,3,2.746,0.1564,1.4676996,0.2508218,1.2168778
Barcelona,18,Getafe,Home,La Liga,2022,433,541,1,0.8563024,0.8288977,0.150668248,0.0274047,8,4,50.0000,0.0000,0,1.22321081,1.0576408,0,0.16557,0,3,48.93,68,73.8372093,0.7558476,807,9,23,1,17,3,10.931,0.08,0.0543,6,11,1,0,3,1.0164,1.671,1.0658527,0.3100051,0.7558476
Barcelona,19,Girona,Away,La Liga,2022,433,442,1,0.8183021,0.8183021,0.095223211,0,8,3,37.5000,0.0000,0,0.95939325,0.7231,0,0.2362933,8,2,40.53,60,70.98039216,0.4810358,583,5,19,0,18,2,9.5152,0.0951,0.0854,10,15,3,0,3,1.1556,1.4748,0.7070918,0.226056,0.4810358
Barcelona,20,Sevilla,Home,La Liga,2022,433,541,3,2.799027746,2.6478152,0,0.048106623,16,7,43.7500,0.0000,0,0.095279601,0.0604732,0,0.034806438,3,1,60.375,65,78,1.1543937,673,13,33,2,26,2,11.3333,0.0198,0.0162,10,8,0,0,3,2.9318,0.0356,1.3678209,0.2134272,1.1543937
Barcelona,21,Villarreal,Away,La Liga,2022,433,442,1,1.4292416,1.3947113,0,0.0345303,6,4,66.6667,0.0000,0,0.9857328,0.9029334,0,0.0827993,11,2,52.5,46,38.32599119,0.4226558,391,11,17,8,10,4,6.9184,0.535714286,0.285714286,22,18,4,0,3,1.7816,0.9296,0.7959852,0.3733294,0.4226558
Barcelona,22,Cádiz,Home,La Liga,2022,433,4231,2,2.6123808,1.9961814,0,0.6161994,16,5,31.2500,0.0000,0,1.0151077,0.8065881,0,0.2085197,14,4,33.075,65,68.80733945,1.0248285,594,19,45,0,19,2,9.96,0.529411765,0.294117647,17,15,2,0,3,2.463,0.3702,1.4355474,0.4107189,1.0248285
Barcelona,23,Almería,Away,La Liga,2022,433,442,0,1.4763668,0.9918465,0,0.4845203,13,1,7.6923,0.0000,1,0.8815848,0.7688788,0,0.112706,6,4,38.01,72,74.73684211,0.9665688,561,11,34,3,47,2,6.6154,0.607142857,0.214285714,13,11,3,0,0,1.8204,0.8862,1.175494,0.2089252,0.9665688
Barcelona,24,Valencia CF,Home,La Liga,2022,433,451,1,1.876571088,0.9318594,0,0.078592217,13,4,30.7692,0.0000,0,0.603478926,0.5364165,0,0.06706241,13,1,31.92,53,47.65957447,0.3438998,463,11,14,3,11,2,9.3871,0.677419355,0.387096774,11,11,0,1,3,2.4248,0.3914,0.5504563,0.2065565,0.3438998
Barcelona,25,Athletic Club,Away,La Liga,2022,433,4231,1,0.839671906,0.7977578,0,0.04191412,10,2,20.0000,0.0000,0,1.165824438,0.9525482,0,0.137750808,15,5,16.2225,63,49.0654205,0.2967306,566,15,17,3,18,6,20.6364,0.428571429,0.333333333,12,7,1,0,3,1.088,1.589,0.5616543,0.2649237,0.2967306
Barcelona,26,Real Madrid,Home,La Liga,2022,433,4231,2,1.7243242,1.2031727,0,0.5211514,17,7,41.1765,194.1176,1,0.48758188,0.4875818,0,0,12,3,37.8,54,59.1639871,0.5635636,558,18,31,3,30,3,11.3438,0.472222222,0.25,12,12,4,0,3,2.3302,0.4648,0.7373945,0.1738309,0.5635636
Barcelona,27,Elche,Away,La Liga,2022,433,4411,4,1.7597707,1.2757594,0.042125244,0.4840113,12,6,50.0000,0.0000,0,0.7871273,0.3481289,0.139886171,0.4389984,15,2,19.11,59,46.1538461,0.557995,521,12,20,5,15,6,8.5556,0.607142857,0.428571429,9,11,3,0,3,2.135,0.638,0.9621886,0.4041936,0.557995
Barcelona,28,Girona,Home,La Liga,2022,433,4141,0,0.8846522,0.6278666,0,0.2567856,18,3,16.6667,0.0000,0,0.5155927,0.4886314,0,0.0269613,5,0,52.4475,59,68.4615384,0.5825648,513,4,32,1,37,3,8.4571,0.53125,0.25,14,14,0,0,1,1.6054,1.0072,0.7149876,0.1324228,0.5825648
Barcelona,29,Getafe,Away,La Liga,2022,433,532,0,1.065302495,0.8538096,0,0.131875293,15,3,20.0000,0.0000,0,0.710166991,0.6536901,0.445872665,0.056476779,0,1,33.39,66,67.3387096,0.6455666,480,6,18,1,23,1,9.5714,0.535714286,0.357142857,13,12,1,0,1,1.5666,1.0776,1.0039408,0.3583742,0.6455666
Barcelona,30,Atlético de Madrid,Home,La Liga,2022,4231,532,1,2.0431354,1.9419308,0,0.1012046,13,4,30.7692,0.0000,0,0.7959487,0.7959487,0,0,13,3,31.29,62,62.2881355,0.7824459,606,15,38,5,18,4,10.8889,0.517241379,0.24137931,15,15,4,0,3,2.1788,0.6032,1.0271209,0.244675,0.7824459
Barcelona,31,Rayo Vallecano,Away,La Liga,2022,433,442,1,0.8844783,0.7844446,0.502721131,0.1000337,10,5,50.0000,0.0000,2,0.97089853,0.9708985,0.026997944,0,9,6,41.16,60,49.7777777,0.5191059,488,11,15,2,21,2,8.8846,0.575,0.425,9,14,4,0,0,1.2156,1.4244,0.8601755,0.3410696,0.5191059
Barcelona,32,Real Betis,Home,La Liga,2022,433,4231,4,3.045851517,2.1133433,0,0.783816013,15,6,40.0000,0.0000,0,0.186774133,0.1867742,0,0,4,1,55.545,67,81.71641791,1.1162032,676,5,36,11,21,6,10.7778,0.540540541,0.432432432,7,10,0,0,3,2.8858,0.064,1.4986098,0.3824066,1.1162032
Barcelona,33,Osasuna,Home,La Liga,2022,4231,4231,1,2.486418193,2.2416461,0.128689796,0.175514393,21,4,19.0476,0.0000,0,0.330851615,0.188292,0,0.142559558,7,2,35.28,76,82.71954674,1.1917859,640,9,56,4,37,4,10,0.481481481,0.407407407,10,7,0,0,3,2.7478,0.1576,1.9920332,0.8002473,1.1917859
Barcelona,34,Espanyol,Away,La Liga,2022,433,532,4,3.2264338,3.2264338,0,0,15,5,33.3333,0.0000,2,3.2422948,2.6333427,0.864009418,0.6089521,15,7,42.21,70,64.68401487,1.3217791,727,6,33,3,8,4,8.64,0.333333333,0.148148148,11,9,3,0,3,1.4264,1.373,1.6038116,0.2820325,1.3217791
Barcelona,35,Real Sociedad,Home,La Liga,2022,433,4231,1,1.459641319,1.375488,0,0.018824331,13,4,30.7692,0.0000,2,3.07966453,2.6921981,1.238113176,0.387466401,13,6,45.99,67,69.01960784,0.5414212,664,20,27,3,17,5,7.7813,0.607142857,0.357142857,16,8,4,0,0,0.429,2.4288,0.8943164,0.3528952,0.5414212
Barcelona,36,Real Valladolid,Away,La Liga,2022,433,4231,1,1.377111954,0.9456266,0,0.397533354,16,6,37.5000,93.7500,3,2.395427761,1.5427211,0.568927817,0.070957661,9,4,32.97,70,69.71830986,0.4176414,625,5,26,3,20,2,12.1765,0.6875,0.46875,13,9,0,0,0,0.6206,2.1794,0.9637296,0.5460882,0.4176414
Barcelona,37,Mallorca,Home,La Liga,2022,433,541,3,4.390618499,3.5461907,0.411329389,0.628061552,28,9,32.1429,0.0000,0,0.105432304,0.0304608,0,0.074971465,0,1,57.96,78,92.12253829,1.42088,713,13,65,5,34,2,7.9545,0.657142857,0.457142857,9,4,0,0,3,2.9784,0.0114,2.3984559,0.9775759,1.42088
Barcelona,38,Celta de Vigo,Away,La Liga,2022,433,433,1,1.030819778,0.9953274,0,0.035492387,9,2,22.2222,0.0000,2,0.753028423,0.5214952,0.10627541,0.209403709,12,9,34.8075,73,70.14925373,0.7733736,651,10,14,1,11,2,7.6667,0.641025641,0.41025641,13,9,2,0,0,1.5816,1.0752,0.9788464,0.2054728,0.7733736
