Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Cádiz,1,Real Sociedad,Home,La Liga,2022,442,41212,0,0.4285244,0.1274825,0,0.3010419,7,2,28.5714,0.0000,1,2.24829033,2.1274404,0.768202454,0.12085,15,7,28.875,40,34.375,0.2226688,291,10,12,0,21,0,11.4815,0.055,0.0376,19,9,4,0,0,0.2158,2.6614,0.2685929,0.0459241,0.2226688
Cádiz,2,Osasuna,Away,La Liga,2022,442,442,0,0.934156437,0.8637579,0,0.050457873,9,2,22.2222,0.0000,2,2.905661149,0.8458241,0.433504999,0.496338945,16,3,21.4725,44,32.4074074,0.3441685,335,6,9,1,9,2,17.4118,0.538461538,0.307692308,9,13,3,1,0,0.2186,2.672,0.5300575,0.185889,0.3441685
Cádiz,3,Athletic Club,Home,La Liga,2022,442,4231,0,0.331977537,0.3319776,0.142849874,0,9,3,33.3333,0.0000,4,3.108400083,1.9743618,0.095333226,0.352289232,20,8,30.345,37,30.4832713,0.2465769,334,3,6,0,13,5,15.04,0.0577,0.0132,4,18,2,0,0,0.063,2.8974,0.4174233,0.1708464,0.2465769
Cádiz,4,Celta de Vigo,Away,La Liga,2022,4141,4132,0,0.2526424,0.1079655,0,0.1446769,7,0,0.0000,0.0000,3,1.20830725,1.1550233,0,0.0532839,9,5,47.775,42,50.6976744,0.297706,382,4,13,0,12,3,10.2619,0.0217,0.0174,13,23,2,0,0,0.4902,2.229,0.3438771,0.0461711,0.297706
Cádiz,5,Barcelona,Home,La Liga,2022,4231,433,0,0.281590145,0.1100596,0,0.147615602,6,0,0.0000,0.0000,4,2.816457756,2.7721327,0.546682477,0.044325162,16,8,25.935,30,32.3420074,0.2017074,219,4,10,0,15,0,11.9677,0.0524,0.0069,13,12,0,0,0,0.0584,2.8982,0.212697,0.0109896,0.2017074
Cádiz,6,Real Valladolid,Away,La Liga,2022,4231,433,1,0.527161201,0.4572474,0,0,7,1,14.2857,0.0000,0,1.780749086,1.3500049,0.06797155,0.327662084,18,6,25.2,42,44.0217391,0.2106922,312,5,14,1,16,3,13.5833,0.0322,0.0134,11,19,4,0,3,0.4494,2.3556,0.1944488,-0.0162434,0.2106922
Cádiz,7,Villarreal,Home,La Liga,2022,442,442,0,1.069988745,0.5400126,0.331291199,0.52997621,10,2,20.0000,0.0000,0,1.456147669,1.3482964,0,0.037839878,14,6,33.81,40,34.8017621,0.1618957,300,3,18,0,22,1,8.3,0.0435,0.0203,8,13,2,1,1,1.0572,1.6554,0.4012084,0.2393127,0.1618957
Cádiz,8,Espanyol,Home,La Liga,2022,442,4231,2,1.259381257,0.5440311,0,0.67136077,8,3,37.5000,0.0000,2,1.288807957,1.2073446,0,0.081463475,9,6,25.62,53,54.2635658,0.5098155,372,4,24,1,30,0,13.6,0.0387,0.0268,12,13,4,0,1,1.3632,1.3218,0.7083524,0.1985369,0.5098155
Cádiz,9,Girona,Away,La Liga,2022,442,532,1,1.423581845,1.2929547,0.319537252,0.130627162,9,2,22.2222,0.0000,1,2.292695337,1.3552657,0,0.133052786,23,6,13.44,36,31.4516129,0.3685761,278,8,13,0,11,2,32.5556,0.129032258,0.064516129,16,9,4,0,1,0.7624,2.0014,0.5645458,0.1959697,0.3685761
Cádiz,10,Real Betis,Home,La Liga,2022,442,4231,0,1.0076331,0.9886667,0.037090778,0.0189664,13,3,23.0769,0.0000,0,1.13311483,0.9624515,0,0.1706633,12,3,27.405,40,43.7735849,0.5411469,345,8,20,0,9,1,15.6522,0.565217391,0.260869565,7,15,1,0,1,1.2498,1.4328,0.6951545,0.1540076,0.5411469
Cádiz,11,Rayo Vallecano,Away,La Liga,2022,442,442,1,0.480070941,0.2135022,0,0.266568713,3,0,0.0000,0.0000,5,3.78290251,1.3201693,0,1.587987296,28,11,17.85,38,24.5833333,0.1115581,277,1,5,1,6,0,21.0769,0.285714286,0.214285714,13,12,3,1,0,0.0446,2.9204,0.1250547,0.0134966,0.1115581
Cádiz,12,Atlético de Madrid,Home,La Liga,2022,442,352,3,1.278987551,1.2195098,0,0.059477702,10,7,70.0000,0.0000,2,1.96287577,1.4666413,0,0.496234458,16,8,23.31,41,38.8663967,0.4796872,344,9,17,0,16,0,19.7222,0.0195,0.0039,12,15,2,0,3,0.8862,1.8636,0.7050451,0.2253579,0.4796872
