Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Celta de Vigo,1,Espanyol,Home,La Liga,2022,4132,433,2,0.305161889,0.2657096,0,0.039452202,8,3,37.5000,0.0000,2,1.10719258,0.1821974,0,0,10,2,35.49,60,61.3861386,0.3708455,539,4,12,1,12,4,9.303,0.0269,0.0122,15,17,5,0,1,0.4562,2.2772,0.3975005,0.026655,0.3708455
Celta de Vigo,2,Real Madrid,Home,La Liga,2022,4132,433,1,1.260972894,0.385316,0,0.071211478,15,2,13.3333,0.0000,4,3.874403247,1.8811385,0.950791757,0.429766826,16,7,29.61,51,54.6666666,0.3207758,543,10,25,0,23,3,14.4231,0.0253,0.0203,6,12,2,0,0,0.1224,2.817,0.7912237,0.4704479,0.3207758
Celta de Vigo,3,Girona,Away,La Liga,2022,4132,442,1,0.870615024,0.7584954,0,0.112119684,11,6,54.5455,0.0000,0,0.538590534,0.3332006,0,0.205390001,11,3,39.4275,46,56.2231759,0.2550032,452,7,13,0,13,4,12.1212,0.0165,0.0089,15,13,1,0,3,1.6532,0.9848,0.507353,0.2523498,0.2550032
Celta de Vigo,4,Cádiz,Home,La Liga,2022,4132,4141,3,1.2083072,1.1550233,0,0.0532839,9,5,55.5556,0.0000,0,0.25264234,0.1079655,0,0.1446769,7,0,33.39,58,49.3023255,0.2706215,530,8,13,1,15,2,12.6364,0.0334,0.0119,21,13,1,0,3,2.229,0.4902,0.4104512,0.1398297,0.2706215
Celta de Vigo,5,Atlético de Madrid,Away,La Liga,2022,4132,532,1,1.4404904,0.995853,0,0.4446374,14,3,21.4286,92.8571,4,0.92488226,0.7793749,0,0.1455074,11,4,40.32,54,54.7945205,0.6732584,541,8,23,1,24,1,13.0714,0.0532,0.0101,10,6,3,0,0,1.792,0.934,0.876727,0.2034686,0.6732584
Celta de Vigo,6,Valencia CF,Away,La Liga,2022,4132,433,0,0.538777467,0.1422759,0,0.309476666,6,2,33.3333,0.0000,3,1.907019451,1.7115175,0.126514226,0.195501989,14,7,32.13,34,38.8888888,0.2426225,239,4,14,0,12,0,10.1714,0.0302,0.01,15,23,2,1,0,0.4414,2.3584,0.3272343,0.0846118,0.2426225
Celta de Vigo,7,Real Betis,Home,La Liga,2022,4132,4231,1,0.86692057,0.6812105,0,0.06799145,11,4,36.3636,0.0000,0,0.653642245,0.4925221,0,0.16112018,9,4,36.96,46,43.4977578,0.135752,368,4,20,1,14,3,7.7073,0.0364,0.0141,3,26,4,0,3,1.5046,1.123,0.4137981,0.2780461,0.135752
Celta de Vigo,8,Barcelona,Away,La Liga,2022,4132,433,0,1.247380123,1.1143491,0,0.09903064,14,3,21.4286,0.0000,1,1.722810472,1.5361199,0,0.186690603,13,5,32.1825,42,32.9629629,0.4715668,411,7,22,1,18,6,14.12,0.0048,0.0033,16,9,4,0,0,0.8858,1.8512,0.509081,0.0375142,0.4715668
Celta de Vigo,9,Real Sociedad,Home,La Liga,2022,4132,442,1,0.575657381,0.545582,0,0.030075375,10,3,30.0000,0.0000,2,1.223994914,0.3614139,0,0.862581015,8,6,38.22,54,56.9620253,0.2276092,455,5,22,0,21,1,8.3243,0.0218,0.0159,17,14,5,1,0,0.8014,1.8766,0.3680224,0.1404132,0.2276092
Celta de Vigo,10,Real Valladolid,Away,La Liga,2022,4132,532,1,2.050271277,1.0135261,0.47609815,0.179404961,22,5,22.7273,0.0000,4,2.045071059,0.7744933,0,0.488828786,9,7,31.605,62,64.7342995,0.460456,477,8,28,0,27,3,15.0667,0.0486,0.0175,12,11,1,0,0,1.4118,1.3182,0.7447314,0.2842754,0.460456
Celta de Vigo,11,Getafe,Home,La Liga,2022,4132,532,1,0.768317608,0.7015772,0,0.066740391,17,5,29.4118,0.0000,1,0.198065704,0.0837299,0,0.043366229,4,1,45.465,72,74.4897959,0.5737308,667,6,20,1,28,4,6.4412,0.0339,0.0195,12,10,1,0,1,1.8958,0.6742,1.0796556,0.5059248,0.5737308
Celta de Vigo,12,Almería,Away,La Liga,2022,4132,4141,1,0.197499092,0.1974991,0,0,8,3,37.5000,0.0000,3,2.766857211,1.8731546,0,0.704730358,19,5,24.36,38,36.5591397,0.2418237,313,6,13,1,14,2,19.3158,0.0412,0.0244,10,7,0,1,0,0.088,2.8552,0.481159,0.2393353,0.2418237
Celta de Vigo,13,Osasuna,Home,La Liga,2022,442,433,1,0.800195584,0.6052854,0,0.160265174,13,5,38.4615,0.0000,2,0.27662682,0.1644023,0,0.112224463,8,4,41.3175,61,60.9756097,0.5816295,538,7,22,0,17,0,8.8125,0.0245,0.0102,20,12,1,0,0,1.8504,0.7458,0.8441429,0.2625134,0.5816295
