Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Elche,1,Barcelona,Away,La Liga,2020,3421,433,0,0.3312168,0.3179242,0.061362516,0.0132926,6,1,16.6667,0.0000,3,2.44907499,2.449075,0,0,9,5,29.505,35,19.9186991,0.2952726,405,2,14,0,10,2,28.6667,0.0193,0.0111,7,8,0,0,0,0.1564,2.755,0.3013575,0.0060849,0.2952726
Elche,2,Sevilla,Away,La Liga,2020,442,433,0,0.617461545,0.5771728,0,0.017585969,11,5,45.4545,0.0000,2,1.494725974,1.1594684,0.44714731,0.335257549,13,8,33.285,33,36.2244897,0.2275909,332,6,10,0,18,0,28.9,0.0156,0.0145,9,8,1,0,0,0.6444,2.094,0.4015828,0.1739919,0.2275909
Elche,3,Real Sociedad,Home,La Liga,2020,541,4141,0,1.006532685,0.9925265,0,0.014006282,5,2,40.0000,0.0000,3,2.928766344,1.7196986,0,0.427318576,27,7,15.435,40,15.7894736,0.3014981,338,8,7,0,12,1,24.4615,0.0117,0.0045,12,11,3,0,0,0.2992,2.5636,0.4408494,0.1393513,0.3014981
Elche,4,Eibar,Away,La Liga,2020,3421,442,1,0.352275558,0.2889782,0,0.063297324,5,2,40.0000,0.0000,0,1.122837857,0.2691978,0,0.051651016,12,4,24.255,39,30.859375,0.2592122,331,14,11,0,9,0,16.8095,0.0996,0.0934,9,14,2,0,3,0.5008,2.2162,0.3782786,0.1190664,0.2592122
Elche,5,Huesca,Home,La Liga,2020,3421,442,0,0.1449736,0.1449736,0,0,2,0,0.0000,0.0000,0,1.58662222,1.5276295,0,0.0589926,18,4,27.7725,51,23.8095238,0.0528543,511,15,5,0,7,1,12.2083,0.0163,0.0125,25,8,0,0,1,0.2502,2.568,0.1832337,0.1303794,0.0528543
Elche,6,Alavés,Away,La Liga,2020,3421,3412,2,0.8197166,0.8006722,0,0.0190444,7,3,42.8571,0.0000,0,1.65097505,1.6051498,0.55964005,0.0458253,13,2,29.4525,53,32.8947368,0.2539103,465,9,11,0,15,0,11.6154,0.0174,0.0039,8,11,5,0,3,0.704,2.039,0.4796069,0.2256966,0.2539103
Elche,7,Valencia CF,Home,La Liga,2020,3421,442,2,0.144949487,0.1449495,0,0,3,2,66.6667,0.0000,1,1.470918286,0.8820797,0,0.450150398,14,4,29.82,47,30.1724137,0.1852329,456,7,3,0,12,3,17.45,0.0147,0.0052,8,15,3,0,3,0.2672,2.5382,0.2440997,0.0588668,0.1852329
Elche,8,Real Betis,Away,La Liga,2020,532,433,1,0.57103629,0.5575261,0,0.013510298,4,2,50.0000,0.0000,3,3.320283593,2.4351886,0.117638953,0.103346042,17,10,26.88,40,23.8095238,0.3281075,440,10,6,1,3,0,29.25,0.0103,0.0071,12,12,1,0,0,0.082,2.8624,0.4243347,0.0962272,0.3281075
Elche,9,Celta de Vigo,Home,La Liga,2020,541,4141,1,1.620789618,0.2678809,0,0.571159676,8,1,12.5000,0.0000,1,1.998089649,1.8751416,0.121685371,0.062333856,14,6,35.805,51,46.0732984,0.2192431,467,13,16,0,27,1,13.7778,0.0301,0.0181,11,18,3,0,1,1.081,1.6576,0.5085171,0.289274,0.2192431
Elche,10,Levante,Away,La Liga,2020,4141,442,1,0.696410378,0.3193763,0,0.351310091,11,5,45.4545,0.0000,1,0.994554566,0.5009882,0,0.493566375,13,5,27.195,56,32.7956989,0.325412,483,10,11,0,18,3,13.7895,0.0128,0.0044,15,11,4,0,1,1.0614,1.5822,0.3855778,0.0601658,0.325412
Elche,11,Cádiz,Home,La Liga,2020,4231,442,1,0.11166957,0.0580909,0,0.021033999,4,3,75.0000,0.0000,1,0.535907164,0.5090632,0,0.026843939,6,2,21.8925,47,39.3258426,0.1616956,400,8,7,0,5,2,11.9615,0.0166,0.0085,12,16,4,1,1,0.6972,1.782,0.2693941,0.1076985,0.1616956
Elche,12,Villarreal,Away,La Liga,2020,4141,4141,0,0.068121513,0.0406276,0,0.027493911,3,0,0.0000,0.0000,0,0.589312742,0.5308953,0,0.027886813,12,3,29.82,43,26.1410788,0.1489217,403,14,5,0,6,4,18.7222,0.0039,0.0033,15,13,2,0,1,0.6384,1.839,0.2900417,0.14112,0.1489217
Elche,13,Granada CF,Home,La Liga,2020,4141,4141,0,0.463864731,0.2299091,0.075513609,0.233955653,9,1,11.1111,0.0000,1,1.508026271,0.814206,0,0.59831522,13,5,32.865,68,57.070707,0.1961301,523,10,14,0,25,1,7.6667,0.0293,0.0107,15,16,4,0,0,0.5088,2.2488,0.3675905,0.1714604,0.1961301
Elche,14,Atlético de Madrid,Away,La Liga,2020,4141,442,1,0.669488451,0.1361076,0,0.533380816,8,3,37.5000,0.0000,3,2.017608591,1.1391988,0,0.096660802,12,6,29.82,52,42.0792079,0.2713448,531,10,9,0,18,4,25.8,0.0062,0.0027,12,14,2,0,0,0.3256,2.5018,0.581343,0.3099982,0.2713448
Elche,15,Osasuna,Home,La Liga,2020,4141,442,2,1.0262669,1.0262669,0,0,7,2,28.5714,0.0000,2,1.70679699,1.1253158,0.428718604,0.5814811,15,6,29.295,66,40.9302325,0.7239316,633,8,21,0,20,2,16.6923,0.0205,0.0103,14,8,1,0,1,0.8998,1.8334,0.5946678,-0.1292638,0.7239316
Elche,16,Real Madrid,Home,La Liga,2020,4141,433,1,1.014587765,0.2102758,0.05348786,0,6,3,50.0000,0.0000,1,1.380377629,1.2623331,0,0.118044375,14,6,22.995,32,16.1512027,0.2553111,342,9,13,1,11,0,25.1765,0.0389,0.0007,18,8,1,0,1,1.0932,1.4958,0.4542735,0.1989624,0.2553111
Elche,17,Athletic Club,Away,La Liga,2020,4141,4231,0,0.274196338,0.0957905,0,0.178405814,5,2,40.0000,0.0000,1,1.488758618,1.410912,0,0.022585832,13,2,30.7125,51,39.1705069,0.11802,443,16,11,0,23,3,14.1739,0.0227,0.0064,14,13,1,0,0,0.3408,2.4606,0.2921845,0.1741645,0.11802
Elche,18,Getafe,Home,La Liga,2020,442,4411,1,0.981920663,0.8807033,0,0.068243284,7,4,57.1429,0.0000,3,2.929788208,2.0537684,0,0.09427096,14,7,21.63,46,21.9626168,0.3642061,425,10,8,0,12,1,18.125,0.01,0.0043,14,14,2,1,0,0.2442,2.6406,0.5548851,0.190679,0.3642061
Elche,19,Real Valladolid,Away,La Liga,2020,541,433,2,0.650285893,0.5220113,0,0.062941325,9,3,33.3333,0.0000,2,0.793694604,0.5776547,0,0.10456543,13,2,26.3025,38,23.8938053,0.2827206,303,12,7,1,12,1,11.8,0.1043,0.1,11,19,3,0,1,1.2026,1.4216,0.4180351,0.1353145,0.2827206
Elche,20,Barcelona,Home,La Liga,2020,4141,433,0,0.521746,0.521746,0,0,4,2,50.0000,0.0000,2,2.92490099,2.3754864,0,0.5494147,15,8,26.04,35,15,0.2854961,372,6,7,0,7,0,25.125,0.0415,0.0275,9,15,0,0,0,0.0866,2.8502,0.3923117,0.1068156,0.2854961
Elche,21,Valencia CF,Away,La Liga,2020,3421,442,0,0.309199557,0.2350685,0.061450362,0.074130972,10,1,10.0000,0.0000,1,2.494748557,1.5581638,0,0.124750515,14,4,29.61,55,44.0217391,0.1991897,416,15,10,0,25,1,10.36,0.0192,0.0143,15,15,7,0,0,0.0964,2.842,0.2990868,0.0998971,0.1991897
Elche,22,Villarreal,Home,La Liga,2020,442,433,2,1.018659899,0.2709503,0,0.7276491,8,2,25.0000,0.0000,2,1.457829788,1.4057958,0.541449785,0.052033983,9,4,39.375,45,44.7115384,0.3013334,438,14,14,0,33,2,10.0667,0.0172,0.0103,5,17,1,0,1,0.9858,1.704,0.5008118,0.1994784,0.3013334
