Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Espanyol,1,Sevilla,Home,La Liga,2019,442,-1,0,0.183637985,0.1356035,0,0.048034482,7,2,28.5714,0.0000,2,2.536035588,2.0534248,0.119151257,0.482610798,12,4,47.04,45,41.1167512,0.1584335,415,3,6,1,14,0,11.8857,0.0287,0.0121,17,11,2,0,0,0.095,2.8418,0.22305,0.0646165,0.1584335
Espanyol,2,Alavés,Away,La Liga,2019,433,-1,0,0.176406344,0.0997175,0,0.076688835,5,1,20.0000,0.0000,0,0.640323633,0.507605,0.05889355,0.132718654,10,2,26.355,65,55.721393,0.2940841,576,16,10,1,15,1,10.3478,0.0412,0.034,12,10,1,0,1,0.7216,1.8076,0.496585,0.2025009,0.2940841
Espanyol,3,Granada CF,Home,La Liga,2019,4231,-1,0,1.245478,1.1978336,0,0.0476444,15,3,20.0000,0.0000,3,1.47076992,1.4213261,0.025685016,0.0494438,14,6,27.72,67,71.2,0.6742061,594,5,42,0,31,1,16.2857,0.0204,0.0167,12,6,2,0,0,1.1856,1.5336,0.8872294,0.2130233,0.6742061
Espanyol,4,Eibar,Away,La Liga,2019,442,-1,2,1.6956622,1.6686529,0,0.0270093,7,2,28.5714,0.0000,1,0.48398783,0.3030798,0,0.180908,11,1,26.04,42,32.7433628,0.244921,291,3,9,2,5,0,11.9565,0.1411,0.1003,13,16,2,1,3,2.5384,0.295,0.702466,0.457545,0.244921
Espanyol,5,Real Sociedad,Home,La Liga,2019,442,-1,1,0.7028948,0.5524378,0,0.1504571,17,3,17.6471,0.0000,3,1.28137874,1.1849969,0.477793366,0.0963819,10,5,27.93,56,45.7875457,1.0145155,484,6,23,3,24,2,11.913,0.0115,0.0098,12,7,1,0,0,0.794,1.9082,1.4164425,0.401927,1.0145155
Espanyol,6,Celta de Vigo,Away,La Liga,2019,442,-1,1,1.171210298,1.0700696,0.423627794,0.101140617,10,4,40.0000,0.0000,1,0.974714095,0.8804147,0,0.038690467,14,3,26.3025,36,28.5714285,0.3012123,388,12,22,1,12,4,14.7667,0.0333,0.0104,5,17,5,0,1,1.507,1.1842,0.1712649,-0.1299474,0.3012123
Espanyol,7,Real Valladolid,Home,La Liga,2019,4411,-1,0,1.182578904,1.1409558,0,0.041623052,16,2,12.5000,0.0000,2,2.039775257,1.0613134,0.0921444,0.118537027,9,6,47.04,59,65.5737704,1.0970835,495,6,23,0,24,3,7.2432,0.0524,0.0282,12,16,2,1,0,0.7218,2.0484,1.306979,0.2098955,1.0970835
Espanyol,8,Mallorca,Away,La Liga,2019,4231,-1,0,0.9559795,0.7353584,0,0.2206211,11,3,27.2727,0.0000,2,0.72936283,0.6840016,0,0.0453613,9,3,36.96,62,50.8333333,0.4932804,591,4,19,1,21,4,8.2727,0.0902,0.0627,11,11,3,0,0,1.5124,1.1182,0.9177649,0.4244845,0.4932804
Espanyol,9,Villarreal,Home,La Liga,2019,3421,-1,0,0.805147788,0.6295242,0,0.152445433,18,3,16.6667,0.0000,1,1.503775554,1.4429136,0.064638153,0.060861936,11,5,33.075,51,56.4516129,0.5530272,405,8,29,0,33,3,9.9714,0.0368,0.032,13,11,2,0,0,0.717,2.016,0.5233743,-0.0296529,0.5530272
Espanyol,10,Levante,Away,La Liga,2019,3421,-1,1,0.962297538,0.6936205,0.077118315,0.164670467,14,3,21.4286,0.0000,0,0.315895144,0.2658216,0,0.026580012,7,3,41.16,48,47.9797979,0.1879309,357,10,27,0,25,1,7.6512,0.0342,0.0159,8,26,3,0,3,1.9744,0.6712,0.4919491,0.3040182,0.1879309
Espanyol,11,Athletic Club,Away,La Liga,2019,352,-1,0,0.7057463,0.5256095,0,0.1801368,12,5,41.6667,0.0000,3,0.38057058,0.3245706,0.102458492,0.056,8,5,46.8825,54,49.5726495,0.4312303,456,9,12,1,20,1,6.617,0.069,0.066,13,20,1,0,0,1.6452,0.9318,0.5655343,0.134304,0.4312303
Espanyol,12,Valencia CF,Home,La Liga,2019,532,-1,1,1.349632401,0.3217211,0,0.155478252,13,4,30.7692,0.0000,2,1.81731356,0.9915823,0.343078613,0.043982282,11,4,44.73,46,64.1434262,0.6080623,355,5,20,3,26,3,10.0278,0.1186,0.0975,10,20,0,0,0,0.9376,1.768,0.773418,0.1653557,0.6080623
Espanyol,13,Atlético de Madrid,Away,La Liga,2019,3421,-1,1,0.3571293,0.2737407,0,0.0833886,10,1,10.0000,0.0000,3,2.75802902,2.6896339,0.07331349,0.0683951,18,5,32.655,50,45.6204379,0.4570172,422,5,13,0,19,1,6.575,0.047,0.0177,12,15,2,0,0,0.0868,2.8594,0.5281371,0.0711199,0.4570172
Espanyol,14,Getafe,Home,La Liga,2019,3412,-1,1,0.9989162,0.3235788,0,0.6753373,6,2,33.3333,0.0000,1,0.67599591,0.6059946,0,0.0700012,11,2,33.2325,54,41.8867924,0.2930383,385,6,14,1,16,2,6.2162,0.0668,0.0621,10,23,3,0,1,1.6664,0.9716,0.411994,0.1189557,0.2930383
Espanyol,15,Osasuna,Home,La Liga,2019,3142,-1,2,1.702650821,0.8286857,0,0.092216093,12,5,41.6667,0.0000,4,2.573305851,1.747638,0,0,14,8,41.16,53,49.1304347,0.3710095,416,12,11,0,17,0,7.5946,0.141,0.1364,14,12,1,0,0,0.67,2.1154,0.6109419,0.2399324,0.3710095
Espanyol,16,Real Madrid,Away,La Liga,2019,3142,-1,0,0.447649352,0.3438582,0,0.10379108,6,2,33.3333,0.0000,2,2.888344057,2.7659524,0.585966878,0.062315758,18,8,26.67,39,33.8289962,0.4086749,344,5,10,0,14,0,12.7857,0.0319,0.0238,15,13,3,0,0,0.098,2.8394,0.5206029,0.111928,0.4086749
Espanyol,17,Real Betis,Home,La Liga,2019,3412,-1,2,2.2516607,0.8149476,0,1.4367132,16,4,25.0000,0.0000,2,0.64402897,0.5187628,0,0.1252663,10,5,43.89,38,41.1483253,0.3299539,254,2,22,0,27,0,7.383,0.2076,0.1913,13,26,4,0,1,2.436,0.3882,0.3886951,0.0587412,0.3299539
Espanyol,18,Leganés,Away,La Liga,2019,3142,-1,0,0.537041314,0.3923202,0,0.144721171,9,3,33.3333,0.0000,2,1.006453472,0.8001402,0.05522522,0.092424944,11,5,39.165,59,57.2864321,0.3552977,383,2,17,0,18,3,7.2667,0.074,0.0418,11,15,6,0,0,0.8564,1.7972,0.514964,0.1596663,0.3552977
Espanyol,19,Barcelona,Home,La Liga,2019,442,-1,2,0.607954477,0.5602218,0,0.047732665,7,3,42.8571,0.0000,2,2.097719398,1.9638149,0.130205065,0.114467917,14,7,32.97,31,36.3957597,0.2797647,313,10,12,0,18,2,13.8889,0.0354,0.0193,10,17,2,0,1,0.3812,2.45,0.3878194,0.1080547,0.2797647
Espanyol,20,Villarreal,Away,La Liga,2019,442,-1,2,2.042664131,1.6965013,0,0.346162781,16,5,31.2500,0.0000,1,2.253234042,1.4074736,0,0.044273633,21,5,27.615,32,28.6324786,0.39739,265,8,14,0,10,1,15.875,0.0477,0.0449,15,18,2,1,3,1.0198,1.7308,0.4688431,0.0714531,0.39739
Espanyol,21,Athletic Club,Home,La Liga,2019,442,-1,1,0.47777626,0.2345822,0,0.219812132,9,3,33.3333,0.0000,1,0.939427738,0.8344749,0.060573928,0.104952831,11,3,28.1925,51,54.7413793,0.6677608,414,10,16,0,18,1,13.3333,0.0115,0.007,11,14,3,0,1,0.8358,1.8132,0.8613601,0.1935993,0.6677608
Espanyol,22,Granada CF,Away,La Liga,2019,442,-1,1,2.513170367,1.6525659,0,0.078855557,22,4,18.1818,0.0000,2,0.889928545,0.8767361,0,0.013192426,8,2,32.76,55,54.8543689,0.3619815,348,16,23,0,30,0,8.2963,0.1185,0.0227,15,17,3,0,0,2.5276,0.3316,0.4573143,0.0953328,0.3619815
Espanyol,23,Mallorca,Home,La Liga,2019,442,-1,1,1.412345189,1.2963148,0,0.116030443,12,7,58.3333,0.0000,0,0.490702853,0.4034878,0,0.039590109,7,3,32.76,38,46.4,0.4801016,324,5,17,1,13,1,7.9388,0.0367,0.017,14,25,6,0,3,2.0932,0.6322,0.6928378,0.2127362,0.4801016
Espanyol,24,Sevilla,Away,La Liga,2019,4231,-1,2,1.018551202,0.3805181,0,0.022692108,5,3,60.0000,0.0000,2,1.485608493,1.1862276,0,0.246918493,18,6,23.625,33,35.4838709,0.2037817,234,11,10,1,15,0,14.48,0.0692,0.0601,13,9,2,1,1,1.0244,1.6808,0.4387691,0.2349874,0.2037817
Espanyol,25,Real Valladolid,Away,La Liga,2019,4231,-1,1,1.302365206,0.1112562,0,0.409360007,6,2,33.3333,0.0000,2,1.078440011,0.8332755,0,0.072476676,21,6,28.8225,35,37.1559633,0.2763602,243,4,8,0,9,1,12.3333,0.0331,0.0195,8,18,3,1,0,1.5906,1.101,0.432837,0.1564768,0.2763602
Espanyol,26,Atlético de Madrid,Home,La Liga,2019,4141,-1,1,1.190535368,0.7573939,0,0.40738404,9,3,33.3333,0.0000,1,0.682725368,0.61379,0,0.068935372,5,2,31.08,38,35.8333333,0.361536,292,13,17,0,16,0,11.0909,0.2064,0.0243,16,20,3,0,1,1.7876,0.8624,0.1958289,-0.1657071,0.361536
Espanyol,27,Osasuna,Away,La Liga,2019,442,-1,0,0.238129902,0.2156157,0,0.022514177,8,2,25.0000,0.0000,1,2.126614212,0.9019872,0.038201191,0.327233266,17,6,27.5625,49,38.53211,0.4817796,326,7,14,0,19,1,9.3793,0.0279,0.0208,14,11,1,1,0,0.148,2.7556,0.4216982,-0.0600814,0.4817796
Espanyol,28,Alavés,Home,La Liga,2019,442,-1,2,2.474493076,1.9636601,0,0.38336375,19,9,47.3684,0.0000,0,0.048102666,0,0,0.048102666,0,0,48.72,69,70.1834862,0.26575,546,11,29,1,20,2,7.0968,0.0089,0.0068,18,16,4,0,3,2.892,0.0564,0.7061551,0.4404051,0.26575
Espanyol,29,Getafe,Away,La Liga,2019,442,-1,0,0.524092879,0.254605,0,0.269487858,5,3,60.0000,0.0000,0,1.563758696,1.3982806,0,0.110217119,21,4,24.78,31,30.5019305,0.388428,223,6,14,0,13,1,14.1739,0.1583,0.1517,12,9,2,1,1,0.5968,2.152,0.3793167,-0.0091113,0.388428
Espanyol,30,Levante,Home,La Liga,2019,442,-1,1,0.42353435,0.277935,0.044530194,0.145599417,10,3,30.0000,90.0000,3,2.082619971,1.7350049,0.109915942,0.347614918,15,8,27.825,46,56.4356435,0.3377228,347,2,21,0,30,3,10.875,0.0253,0.0202,10,11,2,0,0,0.2782,2.5774,0.5111369,0.1734141,0.3377228
Espanyol,31,Real Betis,Away,La Liga,2019,442,-1,0,1.132862158,1.029039,0.87004526,0.06077666,9,3,33.3333,0.0000,1,0.85209265,0.3147387,0,0.467126545,12,6,25.725,35,25.8536585,0.5116024,251,4,10,0,21,0,15.6364,0.0203,0.01,16,18,4,0,0,1.6368,1.026,0.748145,0.2365426,0.5116024
Espanyol,32,Real Madrid,Home,La Liga,2019,4411,-1,0,0.888689691,0.5054472,0,0.32788082,8,5,62.5000,0.0000,1,2.018864603,1.2119797,0,0.759039516,14,6,29.82,31,21.2903225,0.3661424,325,5,13,1,7,0,14.2258,0.0287,0.0038,13,19,1,0,0,0.6,2.1594,0.4304685,0.0643261,0.3661424
Espanyol,33,Real Sociedad,Away,La Liga,2019,4231,-1,1,0.1089588,0.0646405,0,0.0443183,4,3,75.0000,0.0000,2,1.32759581,1.2002893,0,0.1273066,12,4,34.2825,37,31.2820512,0.1704819,338,12,9,1,11,0,15.3103,0.0407,0.0108,11,15,1,0,0,0.2868,2.4888,0.5422008,0.3717189,0.1704819
Espanyol,34,Leganés,Home,La Liga,2019,442,-1,0,0.857136155,0.5595316,0,0.245779574,7,2,28.5714,0.0000,1,0.404112394,0.3915537,0,0.012558724,4,2,44.1,63,55.9139784,0.3246023,569,6,5,0,11,2,7.2632,0.1103,0.0878,20,15,2,1,0,1.8096,0.816,0.5140391,0.1894368,0.3246023
Espanyol,35,Barcelona,Away,La Liga,2019,532,-1,0,0.655872913,0.5473145,0.280690074,0.085228656,11,2,18.1818,0.0000,1,0.83654579,0.6953115,0,0.073335007,9,2,26.565,26,20.3910614,0.2366132,266,4,17,0,15,1,30,0.0031,0.002,8,12,3,1,0,1.1296,1.48,0.3978948,0.1612816,0.2366132
Espanyol,36,Eibar,Home,La Liga,2019,442,-1,0,0.631967456,0.4171674,0,0.06695759,14,3,21.4286,0.0000,2,2.479559036,0.2704636,0,0.589797497,11,6,31.2375,72,56.6371681,0.4751358,537,5,19,0,31,1,8.35,0.016,0.01,12,13,2,0,0,0.206,2.6966,0.517349,0.0422132,0.4751358
Espanyol,37,Valencia CF,Away,La Liga,2019,442,-1,0,1.239679392,0.6023119,0.423253954,0.522568023,18,6,33.3333,0.0000,1,1.432720885,1.3786578,0.488030553,0.054063,9,3,42.84,52,61.8025751,0.6388332,435,10,26,0,31,5,10.3939,0.1578,0.1507,9,18,4,0,0,1.2016,1.513,1.2831739,0.6443407,0.6388332
Espanyol,38,Celta de Vigo,Home,La Liga,2019,4231,-1,0,0.392929852,0.2832545,0,0.10967534,8,1,12.5000,0.0000,0,0.527939857,0.3886952,0,0.058518596,9,3,35.385,50,51.2396694,0.2266669,448,13,17,0,11,1,11.4828,0.0505,0.0354,11,11,2,0,1,1.1318,1.3928,0.4288903,0.2022234,0.2266669
