Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Getafe,1,Athletic Club,Away,La Liga,2017,442,-1,0,0.2954587,0.0531502,0,0.2423085,8,2,25.0000,0.0000,0,0.87058225,0.6501613,0,0.220421,13,2,32.76,36,37.8109452,0.1924391,303,7,12,0,14,0,10.1,0.0312,0.0137,15,15,3,1,1,0.745,1.8664,0.3014266,0.1089875,0.1924391
Getafe,2,Sevilla,Home,La Liga,2017,442,-1,0,1.438004,1.241003,0,0.1970009,15,3,20.0000,0.0000,1,0.99540865,0.8877652,0.499009639,0.1076434,6,3,38.5875,43,49.812734,0.5247004,356,5,27,4,23,2,8.3636,0.0783,0.0567,10,20,0,0,0,1.6844,1.0064,0.4741858,-0.0505146,0.5247004
Getafe,3,Leganés,Away,La Liga,2017,442,-1,2,0.335546097,0.2012528,0,0.112261454,10,2,20.0000,0.0000,1,1.474367927,0.6669491,0,0.025669774,11,7,34.02,39,39.5555555,0.3051591,285,2,11,0,13,0,8.9459,0.0252,0.0131,12,20,2,0,3,0.3346,2.473,0.3179363,0.0127772,0.3051591
Getafe,4,Barcelona,Home,La Liga,2017,4231,-1,1,0.770799653,0.5845374,0,0.130574108,13,4,30.7692,0.0000,2,0.527014669,0.2440017,0,0.217080286,7,5,25.8825,30,32.7922077,0.342778,272,6,10,1,15,4,16.1538,0.0219,0.0072,14,15,2,0,0,1.5608,1.046,0.3922712,0.0494932,0.342778
Getafe,5,Celta de Vigo,Away,La Liga,2017,4231,-1,1,0.7052198,0.6484307,0,0.0567891,10,3,30.0000,0.0000,1,0.76475813,0.6866501,0,0.078108,8,4,33.075,34,44.8430493,0.4631318,280,5,19,1,16,1,11.425,0.0417,0.0084,8,21,4,0,1,1.24,1.3786,0.4594437,-0.0036881,0.4631318
Getafe,6,Villarreal,Home,La Liga,2017,442,-1,4,2.282323306,0.4836552,0,1.739546092,17,8,47.0588,0.0000,0,0.931157069,0.7769478,0,0.154209241,6,1,33.495,40,45.7547169,0.4627815,292,6,27,0,20,0,11.7333,0.0355,0.0209,16,11,1,0,3,2.2452,0.5364,0.5650699,0.1022884,0.4627815
Getafe,7,Deportivo de La Coruña,Away,La Liga,2017,442,-1,1,1.492241814,0.9995569,0,0.49268494,10,3,30.0000,0.0000,2,2.101793334,1.9839643,0,0.095394913,15,9,31.7625,37,46.484375,0.3430372,266,6,21,1,16,1,10,0.0936,0.0434,15,21,3,0,0,0.882,1.8678,0.3718082,0.028771,0.3430372
Getafe,8,Real Madrid,Home,La Liga,2017,4411,-1,1,0.859234456,0.8314283,0,0.027806185,8,3,37.5000,0.0000,2,1.892790383,1.1203231,0,0.692857373,16,6,24.465,31,36.7272727,0.42197,250,9,13,2,11,2,12.5,0.113,0.1106,8,23,2,0,0,0.6072,2.1642,0.6321781,0.2102081,0.42197
Getafe,9,Levante,Away,La Liga,2017,4411,-1,1,0.6898941,0.6225746,0,0.0673195,9,5,55.5556,0.0000,1,0.52572743,0.5048858,0,0.0208417,5,1,40.425,49,58.506224,0.3071929,368,10,17,0,14,1,7.6429,0.0473,0.0185,17,16,3,0,1,1.4538,1.125,0.3925104,0.0853175,0.3071929
Getafe,10,Real Sociedad,Home,La Liga,2017,442,-1,2,2.063809905,1.2606453,0,0,10,5,50.0000,0.0000,1,0.964035093,0.6101772,0.243855342,0.331878758,15,4,34.545,44,56.8807339,0.6964459,330,5,18,1,20,3,9.9697,0.0358,0.0238,16,19,3,0,3,2.2876,0.5146,1.0729391,0.3764932,0.6964459
Getafe,11,Real Betis,Away,La Liga,2017,442,-1,2,1.0853661,0.6686535,0,0.4167125,9,2,22.2222,0.0000,2,1.04568251,0.8867628,0,0.1589195,15,4,29.8725,25,26.9662921,0.2208578,229,5,16,1,12,1,14.1818,0.0118,0.0062,9,14,6,0,1,1.3756,1.3168,0.269904,0.0490462,0.2208578
Getafe,12,Alavés,Home,La Liga,2017,442,-1,4,3.982988277,1.7195734,0,1.48166595,13,8,61.5385,0.0000,1,0.542664089,0.360896,0,0.181768212,11,5,33.4425,43,46.8599033,0.398219,316,10,23,1,18,5,10.2353,0.0372,0.0259,13,18,2,0,3,2.904,0.0582,0.6750768,0.2768578,0.398219
Getafe,13,Espanyol,Away,La Liga,2017,442,-1,0,1.004966904,0.9204667,0,0.084500134,7,4,57.1429,0.0000,1,1.035926552,0.1064104,0,0.842866184,10,5,32.1825,49,59.1439688,0.7093321,398,7,14,1,17,4,10.7742,0.0462,0.0225,11,18,7,0,0,1.302,1.3236,0.8596917,0.1503596,0.7093321
