Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Girona,1,Real Zaragoza,Away,Segunda division,2020,442,4231,2,1.004512942,0.9445172,0,0.059995756,6,4,66.6667,0.0000,2,1.507419945,1.3626719,0,0.04333885,17,6,35.805,32,32.642487,0.4530466,256,3,9,0,12,1,11.8056,0.0968,0.0072,9,23,2,0,1,0.931,1.789,0.5448522,0.0918056,0.4530466
Girona,2,UD Logroñés,Home,Segunda division,2020,442,541,2,1.889807256,1.6468995,0,0.220876008,15,4,26.6667,0.0000,0,0.676304265,0.2542793,0,0.422024895,15,3,34.965,52,57.4468085,1.2070036,410,9,28,0,19,3,9.0882,0.0414,0.0081,13,17,3,0,3,2.3814,0.4254,1.5330099,0.3260063,1.2070036
Girona,3,Sporting de Gijón,Away,Segunda division,2020,4231,-1,0,0.969295209,0.8323732,0.058363948,0.092505413,24,9,37.5000,0.0000,2,0.535230699,0.4881667,0.044604704,0.047064032,10,3,39.48,64,74.074074,0.2819128,479,8,18,0,37,1,14.5625,0.025,0.0206,8,8,2,1,0,1.7194,0.9274,0.730544,0.4486312,0.2819128
Girona,4,Fuenlabrada,Home,Segunda division,2020,442,-1,0,0.44093536,0.3589558,0,0.059778649,6,0,0.0000,0.0000,1,1.384399975,0.5082037,0.234912977,0.854289968,10,2,35.175,57,56.9148936,0.4299109,343,9,11,2,24,2,8.1538,0.0194,0.0106,15,14,4,0,0,0.4338,2.3118,0.5264443,0.0965334,0.4299109
Girona,5,Leganés,Away,Segunda division,2020,4231,-1,1,0.540221277,0.40781,0,0.042908315,9,4,44.4444,0.0000,0,1.760042535,1.0240639,0,0.615620466,16,2,29.82,40,54.1436464,0.334092,235,5,14,1,14,1,11.3333,0.0371,0.0081,16,27,5,0,3,0.4706,2.3084,0.5511403,0.2170483,0.334092
Girona,6,Real Oviedo,Home,Segunda division,2020,4231,4231,1,0.953025588,0.899212,0,0.053813588,11,3,27.2727,0.0000,0,0.656147132,0.5773025,0,0.07884463,10,3,38.64,48,46.6960352,0.5467577,342,2,12,0,17,0,8.8485,0.0432,0.0215,12,18,2,0,3,1.6368,1.0086,0.6841984,0.1374407,0.5467577
Girona,7,Lugo,Away,Segunda division,2020,4231,4231,0,0.2556734,0.2315128,0,0.0241606,6,1,16.6667,0.0000,3,0.96127323,0.3913421,0,0.569931,10,6,30.24,47,54.8717948,0.3675549,369,10,13,0,16,0,11.3871,0.0268,0.0195,11,19,1,1,0,0.6102,2.0382,0.1791325,-0.1884224,0.3675549
Girona,8,Castellón,Away,Segunda division,2020,3142,3421,1,0.802250337,0.6726975,0,0.025801498,11,2,18.1818,0.0000,0,0.216271329,0.1508996,0,0.065371796,6,2,38.1675,35,48.9583333,0.4924832,283,6,13,0,11,0,11.0488,0.1061,0.0212,12,25,1,0,3,1.92,0.6708,0.5492319,0.0567487,0.4924832
Girona,9,FC Cartagena,Home,Segunda division,2020,442,442,2,1.6278739,1.1724445,0.673108686,0.429574355,19,5,26.3158,0.0000,1,0.858958539,0.8589585,0,0,0,3,39.27,61,65.6603773,0.4398236,506,13,26,2,26,2,9.7407,0.1082,0.0207,9,14,1,0,3,1.9804,0.7324,0.8762542,0.4364306,0.4398236
Girona,10,Almería,Away,Segunda division,2020,451,-1,0,0.207842952,0.1813214,0.065342389,0.026521567,7,1,14.2857,0.0000,0,1.969434942,1.2044305,0.025773285,0.713510544,31,5,16.59,25,16.4948453,0.1516416,218,6,4,0,6,2,18.8333,0.0073,0.0073,10,14,2,3,1,0.2292,2.6172,0.2188643,0.0672227,0.1516416
