Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Granada CF,1,Ibiza,Away,Segunda division,2022,4231,442,2,1.291884439,1.2918845,0,0,11,3,27.2727,0.0000,0,0.647166667,0.3187654,0,0.293572651,11,0,33.5475,46,54.3378995,0.1122631,381,6,17,2,18,1,13.8214,0.1506,0.0307,8,13,2,0,3,1.9428,0.768,0.4713048,0.3590417,0.1122631
Granada CF,2,Racing de Santander,Home,Segunda division,2022,4231,4231,2,1.3113225,1.2433339,0,0.0679886,10,3,30.0000,0.0000,0,0.1984598,0.1053498,0,0.09311,5,1,37.695,58,58.2417582,0.4307089,404,4,20,1,15,3,7.5,0.0385,0.0317,15,17,2,0,3,2.3468,0.3992,0.2005877,-0.2301212,0.4307089
Granada CF,3,Villarreal B,Home,Segunda division,2022,4231,442,3,2.534942551,0.9478641,0,0,6,4,66.6667,0.0000,0,0.134842412,0.0351794,0,0.059246079,6,0,40.53,52,67.032967,0.4958744,416,3,15,4,13,0,10.7429,0.0157,0.0092,11,17,2,0,3,2.9328,0.0402,0.7578497,0.2619753,0.4958744
Granada CF,4,FC Andorra,Away,Segunda division,2022,4231,343,0,0.822828188,0.5089355,0,0.313892726,17,3,17.6471,0.0000,1,1.097605953,1.0976059,0,0,6,2,52.08,41,54.4680851,0.5681912,345,6,25,1,21,3,10.3659,0.1331,0.0122,13,13,2,0,0,1.0228,1.6534,0.7155635,0.1471274,0.5681912
Granada CF,5,Eibar,Away,Segunda division,2022,442,4231,0,0.7246756,0.7110284,0,0.0136472,8,1,12.5000,0.0000,4,1.41454347,1.0511811,0,0.3633623,15,8,33.1275,45,41.7543859,0.1675309,366,6,6,2,13,2,13.3478,0.0462,0.037,13,14,1,0,0,0.808,1.8958,0.3087402,0.1412093,0.1675309
Granada CF,6,Mirandés,Home,Segunda division,2022,4231,442,2,0.947617408,0.7573513,0,0.090397974,13,2,15.3846,0.0000,1,0.080562951,0.0693318,0,0.011231195,3,1,27.2475,62,65.6716417,0.5787935,362,14,17,1,30,1,8.0435,0.068,0.0282,11,12,4,0,3,2.1972,0.4392,0.740337,0.1615435,0.5787935
Granada CF,7,Las Palmas,Away,Segunda division,2022,4231,4231,0,0.501816094,0.0499018,0,0.427741859,9,1,11.1111,0.0000,2,2.248493948,0.7970748,0.133703634,0.60401213,15,5,30.765,41,43.3862433,0.0739975,341,8,14,0,16,1,16.44,0.0403,0.0387,11,13,3,0,0,0.142,2.7658,0.1918367,0.1178392,0.0739975
Granada CF,8,Huesca,Home,Segunda division,2022,4141,442,0,0.512908829,0.3209489,0,0.017977621,11,2,18.1818,0.0000,0,0.759586766,0.3875424,0,0.372044329,9,1,34.65,67,60.2941176,0.2720606,413,4,15,2,21,2,6.3333,0.0466,0.0143,14,13,1,1,1,1.0476,1.5498,0.3329916,0.060931,0.2720606
Granada CF,9,Ponferradina,Away,Segunda division,2022,433,442,0,0.7074175,0.7074175,0,0,13,3,23.0769,0.0000,0,0.9914119,0.574478,0,0.4169338,12,0,32.6025,64,73.275862,0.4117064,541,5,24,0,23,1,10.0741,0.0851,0.0804,11,13,0,0,1,1.0504,1.6192,0.7099005,0.2981941,0.4117064
Granada CF,10,Sporting de Gijón,Home,Segunda division,2022,4231,442,5,1.909203157,1.6788067,0,0.179826051,13,8,61.5385,0.0000,0,1.426093302,1.3168862,0.329788119,0.109207069,12,3,34.5975,58,57.6923076,0.33738,463,4,23,0,10,3,12.1304,0.127,0.0202,13,7,0,0,3,1.779,0.9678,0.4600711,0.1226911,0.33738
Granada CF,11,Tenerife,Away,Segunda division,2022,4231,442,0,0.278321023,0.2634328,0,0.014272053,7,2,28.5714,0.0000,2,1.575175172,0.6415113,0,0.151914892,11,4,31.0275,62,58.1632653,0.2002863,464,3,10,0,12,1,10.4091,0.0301,0.0155,16,12,4,0,0,0.2552,2.5796,0.4334666,0.2322673,0.2002863
Granada CF,12,Real Zaragoza,Home,Segunda division,2022,4231,4231,1,1.980419174,1.086624,0.086712092,0.893795147,14,6,42.8571,0.0000,0,0.198579761,0.0410858,0,0.157493944,7,0,25.2,48,55.8974358,0.6703257,308,3,26,1,21,3,11.037,0.0209,0.0152,12,13,5,0,3,2.686,0.1906,0.9859128,0.3155871,0.6703257
Granada CF,13,FC Cartagena,Away,Segunda division,2022,4231,433,0,1.839560945,1.7692777,0,0,14,0,0.0000,0.0000,0,1.029647557,0.5912589,0.069173493,0.438388642,9,4,34.44,42,57.8034682,0.8464247,329,10,19,0,16,1,12.4242,0.0314,0.019,13,14,0,0,1,1.9968,0.7578,0.9178875,0.0714628,0.8464247
Granada CF,14,Levante,Home,Segunda division,2022,4231,433,0,0.665619699,0.4751075,0,0.138490916,16,3,18.7500,0.0000,0,0.310767662,0.3107677,0,0,4,1,36.2775,56,63.7860082,0.4405739,446,11,26,0,29,5,12.1154,0.0417,0.0211,9,14,1,0,1,1.6244,0.9218,0.5441245,0.1035506,0.4405739
Granada CF,15,Real Oviedo,Away,Segunda division,2022,4231,442,0,1.206108961,0.5906956,0,0.559588815,17,3,17.6471,0.0000,1,0.671092972,0.1804664,0,0.490626603,4,1,26.25,73,71.3333333,0.6437782,604,3,18,0,39,3,10.1765,0.025,0.013,10,10,2,0,0,1.82,0.8612,0.893385,0.2496068,0.6437782
Granada CF,16,Albacete,Home,Segunda division,2022,433,451,4,1.384300778,1.1349361,0.075555079,0.120533241,23,7,30.4348,0.0000,0,0.12771837,0.0763547,0.076354668,0,0,1,60.585,73,79.6460176,0.773158,513,3,42,0,36,6,5.1515,0.0567,0.0192,14,18,3,0,3,2.4356,0.326,1.2101724,0.4370144,0.773158
Granada CF,17,Leganés,Away,Segunda division,2022,541,442,0,0.091122291,0.0625823,0,0.028539909,3,1,33.3333,0.0000,1,0.951363862,0.7010202,0.079847909,0.15854397,12,2,20.58,36,46.3035019,0.3519737,273,2,14,0,20,4,17.8095,0.0191,0.0159,14,10,2,1,0,0.4468,2.209,0.484466,0.1324923,0.3519737
Granada CF,18,Alavés,Home,Segunda division,2022,433,433,3,2.718079929,1.2079555,0.606077358,0.728375416,10,7,70.0000,0.0000,1,0.600944035,0.4316806,0,0.169263497,0,2,36.75,77,68.1564245,0.4086969,684,5,17,2,12,2,7.3913,0.0288,0.0251,13,9,3,0,3,2.7646,0.1528,0.8114097,0.4027128,0.4086969
Granada CF,19,Málaga,Away,Segunda division,2022,442,532,1,2.329879736,2.2868332,0.031814851,0,17,9,52.9412,0.0000,1,0.67383321,0.570144,0.038391359,0.10368922,10,4,31.5525,59,56.9767441,0.9541963,498,4,27,2,23,3,12.2727,0.0449,0.0407,14,13,3,0,1,2.5002,0.3486,1.3401768,0.3859805,0.9541963
