Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Levante,1,Villarreal,Home,La Liga,2017,433,-1,1,1.312057249,0.4241284,0,0.106179936,14,3,21.4286,0.0000,0,0.411935445,0.2988272,0,0.113108216,8,1,34.755,42,55.4502369,0.5354272,318,7,30,0,29,3,13.9643,0.0452,0.0319,14,18,1,0,3,2.2948,0.4552,0.5698612,0.034434,0.5354272
Levante,2,Deportivo de La Coruña,Home,La Liga,2017,4231,-1,2,2.216034419,1.233377,0,0.149207115,24,5,20.8333,0.0000,2,0.55928702,0.3167539,0,0.242533054,11,4,52.185,57,69.6035242,0.6166277,395,13,36,3,34,3,9.9286,0.0395,0.0255,10,11,1,0,1,2.5588,0.292,0.9143199,0.2976922,0.6166277
Levante,3,Real Madrid,Away,La Liga,2017,451,-1,1,0.71799879,0.1070613,0,0.582950056,5,2,40.0000,0.0000,1,2.952596438,1.7642473,0,1.18834919,18,10,22.6275,32,23.9202657,0.1706509,278,6,4,1,8,2,16.3182,0.0162,0.0046,9,16,2,0,1,0.1202,2.7962,0.396268,0.2256171,0.1706509
Levante,4,Valencia CF,Home,La Liga,2017,4231,-1,1,0.89470114,0.8947012,0,0,9,2,22.2222,0.0000,1,1.618386088,1.5501505,0,0.014019193,13,5,34.02,46,50.6224066,0.2693189,370,11,16,1,19,2,12.1786,0.0226,0.0177,11,21,2,0,1,0.7728,1.9506,0.5198214,0.2505025,0.2693189
Levante,5,Real Sociedad,Home,La Liga,2017,4141,-1,3,1.784489109,0.7636119,0,0.095436875,13,9,69.2308,0.0000,0,0.650224259,0.3316501,0,0.160185857,13,3,20.685,32,38.6281588,0.2553022,259,9,23,2,12,2,27.1429,0.0199,0.0161,11,13,2,0,3,2.3132,0.4802,0.443897,0.1885948,0.2553022
Levante,6,Real Betis,Away,La Liga,2017,451,-1,0,0.307911481,0.2096,0,0.042423308,8,1,12.5000,0.0000,4,1.943579474,1.8342514,0,0.109328188,14,6,31.9725,32,42.0560747,0.2254485,289,4,17,2,18,4,25.6,0.0311,0.016,9,5,0,0,0,0.2714,2.5772,0.364018,0.1385695,0.2254485
Levante,7,Alavés,Home,La Liga,2017,4231,-1,0,0.914175515,0.571721,0,0.30993811,13,0,0.0000,0.0000,2,2.304815233,1.7897504,0,0.489057355,8,3,29.19,63,75.7575757,0.2527319,457,4,31,1,31,2,18.2857,0.0652,0.0633,17,11,2,0,0,0.4246,2.4004,0.4464347,0.1937028,0.2527319
Levante,8,Espanyol,Away,La Liga,2017,4231,-1,0,0.829818726,0.780687,0.080253459,0.049131766,13,3,23.0769,0.0000,0,2.349696052,1.9508868,0,0.341910608,21,6,22.2075,42,44.2553191,0.3777558,326,9,12,2,16,2,13.56,0.0266,0.0118,8,13,3,0,1,0.4562,2.3606,0.755102,0.3773462,0.3777558
Levante,9,Getafe,Home,La Liga,2017,4141,-1,1,0.5257275,0.5048858,0,0.0208417,5,1,20.0000,0.0000,1,0.68989417,0.6225746,0,0.0673195,9,5,30.765,51,41.4937759,0.3148235,386,7,13,1,13,0,8.4063,0.0636,0.0273,16,18,1,0,1,1.125,1.4538,0.4239884,0.1091649,0.3148235
Levante,10,Eibar,Away,La Liga,2017,4141,-1,2,1.280824691,1.2808248,0,0,3,2,66.6667,0.0000,2,1.24598616,0.956663,0,0.256144203,16,6,18.69,30,24.9084249,0.2231452,257,6,8,2,6,1,19.15,0.0172,0.0104,5,16,3,0,1,1.4294,1.256,0.3355932,0.112448,0.2231452
Levante,11,Girona,Home,La Liga,2017,4141,-1,1,0.64208409,0.5691411,0,0.053205218,7,4,57.1429,0.0000,2,1.504771629,1.2195569,0,0.262456536,10,5,35.805,49,57.0135746,0.6464683,418,5,17,0,25,1,15.5417,0.047,0.0393,14,10,3,0,0,0.612,2.13,0.7624527,0.1159844,0.6464683
Levante,12,Las Palmas,Away,La Liga,2017,4231,-1,2,0.828335019,0.7227585,0,0.059049141,11,6,54.5455,0.0000,0,0.754360358,0.654539,0,0.077065032,10,5,34.545,39,34.1365461,0.2266078,349,12,15,2,10,2,10.6216,0.0787,0.0523,9,23,4,0,3,1.3928,1.2548,0.4506504,0.2240426,0.2266078
Levante,13,Atlético de Madrid,Home,La Liga,2017,4231,-1,0,1.24451857,0.726392,0,0.448790099,17,2,11.7647,0.0000,5,3.45489463,3.4548946,0.639657095,0,17,11,41.58,45,45.0199203,0.315629,448,13,17,0,17,1,13.6563,0.0821,0.0733,14,11,2,0,0,0.2984,2.5976,0.5028675,0.1872385,0.315629
Levante,14,Málaga,Away,La Liga,2017,4231,-1,0,0.5672423,0.5672423,0.479938775,0,3,3,100.0000,0.0000,0,0.95222916,0.6051094,0,0.3471197,18,2,27.09,38,43.9516129,0.2473071,316,1,6,0,11,2,18.6,0.0658,0.0605,10,15,3,0,1,0.9994,1.6234,0.3847262,0.1374191,0.2473071
Levante,15,Athletic Club,Home,La Liga,2017,4141,-1,1,0.8883852,0.119491,0,0.724370175,12,3,25.0000,91.6667,2,1.778290235,0.8168645,0,0.179676696,15,3,31.29,60,53.3333333,0.3071277,448,17,13,0,28,2,9.24,0.0419,0.0364,14,11,3,0,0,0.581,2.165,0.4445808,0.1374531,0.3071277
Levante,16,Sevilla,Away,La Liga,2017,4231,-1,0,0.98899461,0.7450576,0,0,10,2,20.0000,0.0000,0,2.371310685,2.1086663,0,0.262644202,16,6,26.46,39,40.4411764,0.3801144,310,13,24,0,17,5,11.4333,0.0374,0.0226,20,14,3,0,1,0.4956,2.3244,0.7350526,0.3549382,0.3801144
