Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Mallorca,1,Rayo Vallecano,Home,Segunda division,2020,442,-1,0,0.280395051,0.2308272,0,0.022072701,7,4,57.1429,0.0000,1,1.111977486,1.0848365,0,0.027140972,11,5,33.2325,56,54.4117647,0.2583262,410,9,17,0,25,0,11.7273,0.0276,0.0093,18,17,1,0,0,0.512,2.1968,0.3385477,0.0802215,0.2583262
Mallorca,2,Espanyol,Away,Segunda division,2020,433,-1,0,0.24845761,0.178054,0,0.044952147,7,3,42.8571,0.0000,0,0.261449588,0.1880888,0,0.011721983,9,3,37.1175,47,50.510204,0.3142518,383,7,13,0,15,1,10.75,0.034,0.0089,15,17,2,0,1,1.152,1.2132,0.5044278,0.190176,0.3142518
Mallorca,3,Sabadell,Home,Segunda division,2020,433,-1,1,0.732850738,0.5092887,0,0.223562038,16,5,31.2500,0.0000,0,0.351010807,0.3031022,0,0.047908504,10,2,46.095,49,63.1313131,0.4581173,363,4,22,0,40,3,13.2222,0.0202,0.0168,15,11,1,0,3,1.6956,0.8844,0.5669021,0.1087848,0.4581173
Mallorca,4,Tenerife,Home,Segunda division,2020,4231,-1,2,1.170256286,0.3212025,0.14334099,0.067304879,8,2,25.0000,0.0000,0,1.086696999,0.4654798,0,0.621217294,18,5,30.03,47,37.5586854,0.1835801,374,4,11,0,10,3,17.5882,0.0684,0.0554,9,12,1,0,3,1.5136,1.1266,0.3078005,0.1242204,0.1835801
Mallorca,5,Lugo,Away,Segunda division,2020,4231,-1,1,1.459629094,0.6778801,0,0,9,3,33.3333,0.0000,0,0.504104888,0.5041048,0,0,0,2,34.545,56,57.920792,0.4588779,392,10,17,0,19,1,8.2333,0.0492,0.0276,13,21,4,0,3,2.2816,0.4444,0.7123531,0.2534752,0.4588779
Mallorca,6,Mirandés,Away,Segunda division,2020,4231,4231,0,0.537523,0.4968017,0,0.0407213,6,2,33.3333,0.0000,0,0.32409642,0.2108838,0,0.1132124,10,2,32.76,48,51.3636363,0.2750691,341,8,15,0,24,3,9.0938,0.0309,0.0235,13,13,3,1,1,1.5116,0.9962,0.4520155,0.1769464,0.2750691
Mallorca,7,Albacete,Home,Segunda division,2020,4231,4231,0,2.45538908,1.4762226,0,0.153885214,18,9,50.0000,0.0000,0,0.268300949,0.0527359,0,0.094536449,7,0,38.0625,52,59.5238095,0.511877,367,8,31,1,14,2,9.3448,0.1292,0.0316,18,22,3,0,1,2.8134,0.1152,0.818502,0.306625,0.511877
Mallorca,8,Alcorcón,Away,Segunda division,2020,4231,442,2,1.875078784,0.6323223,0.115110822,1.242756426,15,4,26.6667,0.0000,0,0.445544741,0.0908549,0,0.277341027,12,1,21.2625,55,53.0172413,0.4137298,475,6,16,0,17,2,18.875,0.0251,0.0158,11,12,2,0,3,2.4242,0.3794,0.6870739,0.2733441,0.4137298
Mallorca,9,Málaga,Home,Segunda division,2020,451,541,3,0.9508699,0.2866313,0,0.6642387,10,5,50.0000,0.0000,1,0.23423897,0.209481,0,0.024758,4,2,43.365,49,61.8556701,0.4039206,378,17,21,0,12,0,10.4688,0.0271,0.018,20,16,2,0,3,2.061,0.5892,0.526466,0.1225454,0.4039206
Mallorca,10,Real Zaragoza,Away,Segunda division,2020,442,442,0,0.7855692,0.7679245,0,0.0176447,11,3,27.2727,0.0000,0,0.10555404,0.0830256,0,0.0225284,4,1,35.8575,58,66.9230769,0.5224648,477,8,30,0,24,4,10.6538,0.1759,0.1082,11,14,1,0,1,2.0984,0.5168,0.8918387,0.3693739,0.5224648
