Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Osasuna,1,Leganés,Away,La Liga,2019,4231,-1,1,0.181961808,0.0984371,0,0,4,2,50.0000,0.0000,0,1.368028731,0.6131111,0,0.635921326,13,2,23.31,49,50.8196721,0.2368362,330,4,3,0,9,1,11.6,0.0133,0.011,15,11,4,0,3,0.3178,2.467,0.3011723,0.0643361,0.2368362
Osasuna,2,Eibar,Home,La Liga,2019,442,-1,0,0.507887693,0.4789422,0,0.028945489,6,2,33.3333,0.0000,0,0.556719963,0.233517,0,0.211930674,12,0,30.24,49,44.2396313,0.4961662,285,4,12,1,18,1,7.4,0.0251,0.0113,12,15,4,0,1,1.2592,1.291,0.5693651,0.0731989,0.4961662
Osasuna,3,Barcelona,Home,La Liga,2019,442,-1,2,1.728072381,0.8445619,0,0.101761401,15,5,33.3333,0.0000,2,0.334973927,0.334974,0,0,8,4,36.225,26,35.2380952,0.5043906,240,9,17,0,15,1,12.7368,0.021,0.0143,8,16,3,0,1,2.5698,0.2724,0.7476309,0.2432403,0.5043906
Osasuna,4,Real Valladolid,Away,La Liga,2019,442,-1,1,2.281508919,2.1562386,0,0.125270329,17,5,29.4118,0.0000,1,0.673228641,0.6174231,0,0.035488177,11,1,27.7725,50,55.3097345,0.9138394,392,7,25,0,15,4,9.7419,0.1081,0.0584,9,10,1,0,1,2.549,0.311,1.1305408,0.2167014,0.9138394
Osasuna,5,Real Betis,Home,La Liga,2019,442,-1,0,1.96557563,1.3119576,0.475269437,0.569084037,11,5,45.4545,0.0000,0,0.326142425,0.2639702,0,0.030612601,7,2,41.475,49,56.1797752,0.3934313,358,4,20,1,31,4,9.0263,0.0284,0.0166,7,15,1,0,1,2.584,0.2656,0.6979987,0.3045674,0.3934313
Osasuna,6,Real Madrid,Away,La Liga,2019,442,-1,0,0.1278517,0.0977438,0,0.0301079,4,0,0.0000,0.0000,2,2.05509573,1.4025139,0,0.6525818,15,4,27.3,45,36,0.4531078,393,7,12,2,19,3,9.8108,0.0676,0.0565,12,13,2,0,0,0.1298,2.7668,0.7383745,0.2852667,0.4531078
Osasuna,7,Levante,Away,La Liga,2019,442,-1,1,1.129044924,1.0146003,0,0.077642541,18,3,16.6667,0.0000,1,1.828158598,1.768155,0.059722379,0.060003664,10,5,20.895,53,50.4464285,0.6185445,390,6,27,0,32,3,8.6563,0.1121,0.0751,12,12,0,0,1,0.986,1.7294,0.7747073,0.1561628,0.6185445
Osasuna,8,Villarreal,Home,La Liga,2019,442,-1,2,1.0133007,0.8990206,0,0.1142801,16,4,25.0000,0.0000,1,2.26224456,0.8351893,0,1.4270554,16,6,29.8725,52,64.0552995,0.5231564,422,13,29,0,29,1,11.6667,0.0374,0.0271,14,9,2,0,3,0.5154,2.2878,0.666948,0.1437916,0.5231564
Osasuna,9,Granada CF,Away,La Liga,2019,4231,-1,0,0.476193508,0.3347207,0,0.141472764,9,4,44.4444,0.0000,1,0.270196345,0.0862388,0,0.158086732,6,2,29.82,56,47.7832512,0.4224987,400,10,17,0,14,1,10.0833,0.0299,0.0107,12,17,6,1,0,1.478,0.9854,0.6140055,0.1915068,0.4224987
Osasuna,10,Valencia CF,Home,La Liga,2019,4411,-1,3,2.780520158,2.5949451,0.025935369,0.089224958,29,14,48.2759,0.0000,1,0.883907224,0.8839072,0,0,3,1,45.15,66,76.6891891,1.003246,567,7,32,1,28,7,7.3429,0.039,0.0091,8,13,1,0,3,2.6358,0.2262,1.2767634,0.2735174,1.003246
Osasuna,11,Mallorca,Away,La Liga,2019,442,-1,2,0.978334732,0.8708919,0.103123255,0.043510366,12,4,33.3333,0.0000,2,2.157594908,0.295958,0.252096429,0.221543396,11,3,19.11,54,50.2145922,0.434761,414,16,28,0,22,1,14.3684,0.038,0.0244,8,10,5,0,1,0.475,2.3212,0.6729267,0.2381657,0.434761
Osasuna,12,Alavés,Home,La Liga,2019,442,-1,4,3.580480997,1.8475939,0.114963174,0.169389088,18,6,33.3333,0.0000,2,1.657215761,0.7094296,0,0.085834094,11,3,36.225,58,57.7889447,0.9237812,409,8,25,0,29,3,10.0417,0.0766,0.0715,15,13,4,0,3,2.5766,0.3074,1.3045985,0.3808173,0.9237812
Osasuna,13,Getafe,Away,La Liga,2019,4231,-1,0,0.082622891,0.0132809,0,0.046997411,4,1,25.0000,0.0000,0,1.213076601,0.8794475,0,0.300898444,14,5,27.615,47,38.4955752,0.2206502,309,6,8,0,11,1,12.6667,0.0136,0.0088,14,16,4,0,1,0.3334,2.4034,0.2409235,0.0202733,0.2206502
Osasuna,14,Athletic Club,Home,La Liga,2019,442,-1,1,1.138154472,0.9119276,0,0.160783038,12,7,58.3333,0.0000,2,1.419385035,1.393148,0.365013808,0,6,4,39.6375,59,62.4434389,0.4072872,416,14,17,0,29,2,8.2667,0.0305,0.0211,15,15,4,0,0,1.0782,1.6224,0.5741406,0.1668534,0.4072872
Osasuna,15,Espanyol,Away,La Liga,2019,442,-1,4,2.573305851,1.747638,0,0,14,8,57.1429,0.0000,2,1.702650821,0.8286857,0,0.092216093,12,5,30.135,47,50.8695652,0.2861404,369,11,18,0,14,3,11.6897,0.033,0.0136,10,16,2,1,3,2.1154,0.67,0.4600017,0.1738613,0.2861404
Osasuna,16,Sevilla,Home,La Liga,2019,442,-1,1,0.734557335,0.5613724,0,0.14999103,10,1,10.0000,0.0000,1,1.612793494,1.1482349,0,0.35656012,13,4,36.96,39,46.6960352,0.2840957,318,4,15,1,15,2,10.0976,0.1606,0.0456,9,22,2,1,1,0.6922,2.0506,0.4932386,0.2091429,0.2840957
Osasuna,17,Atlético de Madrid,Away,La Liga,2019,451,-1,0,0.5422567,0.3866176,0,0.1556391,15,3,20.0000,0.0000,2,2.06106287,1.8537274,0.381528854,0.2073354,19,9,36.12,53,52.8795811,0.3303168,433,12,14,0,22,0,12.9167,0.0146,0.008,15,10,1,0,0,0.3668,2.4698,0.5038156,0.1734988,0.3303168
Osasuna,18,Real Sociedad,Home,La Liga,2019,442,-1,3,3.180437629,2.4514273,0,0.729010418,18,7,38.8889,0.0000,4,2.672763845,2.0342466,0.43385163,0.545319624,13,7,36.225,47,60.1809954,0.8347519,323,11,36,0,33,3,11.963,0.0735,0.0154,10,11,6,1,0,1.6838,1.094,1.1887028,0.3539509,0.8347519
Osasuna,19,Celta de Vigo,Away,La Liga,2019,4231,-1,1,0.645740868,0.5797783,0,0.065962568,8,1,12.5000,0.0000,1,1.491191043,0.9402353,0,0.416576244,20,7,34.5975,39,44.8780487,0.3682365,311,8,12,0,16,1,10.3846,0.0447,0.029,12,19,3,0,1,0.6822,2.049,0.3934453,0.0252088,0.3682365
Osasuna,20,Real Valladolid,Home,La Liga,2019,442,-1,0,1.395120848,0.919997,0.12508668,0.394852686,21,5,23.8095,0.0000,0,0.547339566,0.2184619,0,0.27325074,5,3,37.8,56,54.0669856,0.5526088,406,5,29,1,26,0,11.28,0.0713,0.038,9,16,2,0,1,2.0654,0.6638,0.8166252,0.2640164,0.5526088
Osasuna,21,Levante,Home,La Liga,2019,442,-1,2,1.932659053,1.0857122,0,0.043249972,15,3,20.0000,0.0000,0,0.570072304,0.5700723,0,0,6,2,45.7275,55,57.6354679,0.3327175,389,9,20,0,22,3,6,0.1088,0.0402,10,18,3,0,3,2.4632,0.3596,0.6396009,0.3068834,0.3327175
Osasuna,22,Villarreal,Away,La Liga,2019,4231,-1,1,0.851657374,0.2508724,0,0.536695844,17,5,29.4118,0.0000,3,2.144203525,1.2474674,0.56557101,0.114987042,9,4,40.005,45,45.6896551,0.3223262,385,4,15,1,19,0,11.0606,0.0217,0.0115,19,15,2,0,0,0.434,2.393,0.3842434,0.0619172,0.3223262
Osasuna,23,Real Madrid,Home,La Liga,2019,442,433,1,0.7827919,0.5734802,0,0.2093116,14,4,28.5714,0.0000,4,2.43187572,1.9291352,0,0.5027405,17,7,41.3175,46,47.7477477,0.376848,420,11,13,0,25,1,10.2857,0.0621,0.0521,14,11,2,0,0,0.3716,2.4722,0.5697736,0.1929256,0.376848
Osasuna,24,Athletic Club,Away,La Liga,2019,532,-1,1,0.759930285,0.1618025,0.073435321,0.598127747,6,2,33.3333,0.0000,0,0.619836535,0.5419942,0,0.05549518,12,2,23.94,35,35.8490566,0.3391483,280,10,6,0,10,0,16.92,0.1249,0.1175,14,20,4,0,3,1.4658,1.1424,0.3728498,0.0337015,0.3391483
Osasuna,25,Granada CF,Home,La Liga,2019,4141,-1,0,0.72444227,0.6440788,0,0.080363486,14,1,7.1429,0.0000,3,1.57296201,0.9122975,0,0.613267003,10,4,40.845,62,57.3705179,0.4048182,445,7,23,0,27,3,7.6552,0.0214,0.0127,10,19,3,0,0,0.6744,2.0742,0.4981266,0.0933084,0.4048182
Osasuna,26,Sevilla,Away,La Liga,2019,442,-1,2,1.88523881,0.6268838,0,0.430928936,13,4,30.7692,0.0000,3,2.002300795,1.7162707,0.318801373,0.160384566,12,5,28.98,36,44.1314553,0.2840238,263,7,21,0,16,2,10.3056,0.0511,0.0385,8,14,2,1,0,1.3382,1.3862,0.3815109,0.0974871,0.2840238
Osasuna,27,Espanyol,Home,La Liga,2019,442,-1,1,2.126614212,0.9019872,0.038201191,0.327233266,17,6,35.2941,0.0000,0,0.238129902,0.2156157,0,0.022514177,8,2,31.605,51,61.4678899,0.6298885,350,15,21,0,12,3,8.875,0.2187,0.0674,8,17,3,0,3,2.7556,0.148,0.7169415,0.087053,0.6298885
Osasuna,28,Real Sociedad,Away,La Liga,2019,532,-1,1,1.126128377,0.3227647,0,0.021614645,8,1,12.5000,0.0000,1,0.928032339,0.8779344,0.593094349,0.050097868,9,4,38.64,35,48.0851063,0.4970225,322,5,23,1,23,1,16.9032,0.034,0.0267,4,13,3,0,1,1.5586,1.0708,0.6818506,0.1848281,0.4970225
