Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Rayo Vallecano,1,Barcelona,Away,La Liga,2022,4231,433,0,0.630306396,0.6303064,0,0,4,2,50.0000,0.0000,0,2.081585385,1.9342426,0,0.079559457,21,6,34.335,32,32.7510917,0.3118713,274,7,11,2,7,1,12.3714,0.0142,0.011,16,14,6,0,1,0.391,2.4256,0.3693796,0.0575083,0.3118713
Rayo Vallecano,2,Espanyol,Away,La Liga,2022,4231,433,2,1.484831776,0.8358503,0,0.624160904,8,3,37.5000,0.0000,0,0.774934581,0.3708093,0,0.337488335,13,1,15.3825,46,33.4951456,0.4728234,395,2,7,2,8,2,18.6471,0.0045,0.0025,11,17,3,1,3,2.0282,0.7034,0.4921983,0.0193749,0.4728234
Rayo Vallecano,3,Mallorca,Home,La Liga,2022,4231,532,0,0.69414891,0.5861003,0,0.066054845,15,0,0.0000,0.0000,2,0.9200799,0.8465426,0,0.073537314,9,4,47.46,65,67.1814671,0.4862273,536,8,20,1,46,2,7.9032,0.1089,0.0949,18,11,1,0,0,1.0922,1.568,0.798154,0.3119267,0.4862273
Rayo Vallecano,4,Osasuna,Away,La Liga,2022,4231,442,1,0.11192422,0.0609969,0,0,5,3,60.0000,0.0000,2,2.941013839,2.8423206,0.517665807,0.098693194,13,6,30.45,54,44.7257384,0.3024832,389,9,11,0,12,1,9.56,0.542857143,0.228571429,13,16,2,0,0,0.0284,2.951,0.4507694,0.1482862,0.3024832
Rayo Vallecano,5,Valencia CF,Home,La Liga,2022,4231,4231,2,1.738278165,1.4573661,0,0.280912027,14,6,42.8571,0.0000,1,1.926315227,1.1463999,0,0.757031694,17,4,33.39,46,59.4470046,0.237803,289,7,23,1,24,1,6.9268,0.1865,0.1477,9,22,5,0,3,1.2288,1.5312,0.3981359,0.1603329,0.237803
Rayo Vallecano,6,Athletic Club,Away,La Liga,2022,4231,4231,2,0.5300709,0.3541996,0,0.1758713,11,2,18.1818,0.0000,3,2.37319216,2.1246016,0.499968618,0.2485906,14,7,39.375,61,56.9620253,0.5121525,491,10,18,0,31,2,8.0968,0.0383,0.0025,12,13,2,0,0,0.2496,2.6286,0.653517,0.1413645,0.5121525
Rayo Vallecano,7,Elche,Home,La Liga,2022,4231,532,2,0.759081446,0.583535,0,0.156606276,15,6,40.0000,0.0000,1,0.865994314,0.4053613,0,0.46063301,6,2,37.485,72,74.2160278,0.4808215,535,6,27,1,39,0,5.375,0.0428,0.0417,18,5,1,0,3,1.1606,1.4846,0.6675967,0.1867752,0.4808215
Rayo Vallecano,8,Almería,Away,La Liga,2022,442,4231,1,0.910352303,0.2620805,0,0.648271796,12,4,33.3333,0.0000,3,1.330673413,0.4857438,0,0.819674674,10,4,37.4325,63,58.937198,0.5929126,453,7,19,0,29,2,7.6071,0.585365854,0.463414634,22,12,2,0,0,0.9726,1.7154,0.7983552,0.2054426,0.5929126
Rayo Vallecano,9,Getafe,Home,La Liga,2022,4231,532,0,1.489787348,0.5588847,0,0.050637522,17,3,17.6471,0.0000,0,0.325031981,0.325032,0,0,6,3,53.97,65,70.8661417,0.5009293,580,6,18,0,36,7,10.3571,0.0785,0.0588,14,13,2,0,1,2.4472,0.3436,0.6490914,0.1481621,0.5009293
Rayo Vallecano,10,Atlético de Madrid,Away,La Liga,2022,4231,442,1,1.606967624,0.6859271,0,0.139291659,14,4,28.5714,0.0000,1,0.803028747,0.6048972,0.066531248,0.198131558,12,4,33.915,47,47.7732793,0.358597,466,0,15,1,26,3,16.0385,0.0463,0.0287,10,11,0,0,1,2.0912,0.6524,0.5107567,0.1521597,0.358597
