Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Real Betis,1,Alavés,Away,La Liga,2020,4231,3142,1,0.411155672,0.2047907,0,0.185901111,11,4,36.3636,0.0000,0,0.936743636,0,0,0.936743636,7,2,36.1725,58,66.5,0.2729153,428,7,10,0,12,1,11.0833,0.0108,0.0088,17,17,3,0,3,0.7352,1.9058,0.3251727,0.0522574,0.2729153
Real Betis,2,Real Valladolid,Home,La Liga,2020,4231,4231,2,1.791742198,0.614514,0.219451893,0.395479277,16,6,37.5000,0.0000,0,0.254305869,0.2158074,0,0.019004993,9,2,35.595,56,58.0882352,0.3101525,511,14,21,1,17,6,9.3438,0.0613,0.0562,9,18,3,0,3,2.6448,0.2178,0.8367565,0.526604,0.3101525
Real Betis,3,Real Madrid,Home,La Liga,2020,4231,4312,2,1.338702561,0.6859677,0,0.597256778,15,5,33.3333,193.3333,3,3.710701396,2.7603753,0,0.073005818,12,4,34.23,46,57.992565,0.481433,455,6,21,0,13,6,14.6333,0.0356,0.0322,10,9,5,1,0,0.2334,2.6784,0.7303769,0.2489439,0.481433
Real Betis,4,Getafe,Away,La Liga,2020,4231,442,0,0.400407284,0.2192697,0,0.095819593,10,2,20.0000,0.0000,3,0.922528332,0.8973223,0.028122522,0.02520615,8,4,40.005,70,45.5445544,0.4958078,625,18,14,1,14,0,5.1538,0.0329,0.0202,14,17,2,1,0,0.795,1.8324,0.5485542,0.0527464,0.4958078
Real Betis,5,Valencia CF,Away,La Liga,2020,4231,442,2,2.389045455,2.0743832,0.349846572,0.182973532,17,8,47.0588,0.0000,0,0.374642366,0.3628237,0,0.011818639,5,2,42.1575,53,67.9442508,0.4318366,458,21,33,1,20,3,9.8235,0.0459,0.0438,11,14,2,0,3,2.6948,0.1964,0.8284545,0.3966179,0.4318366
Real Betis,6,Real Sociedad,Home,La Liga,2020,4231,4141,0,0.291841792,0.1436888,0,0.148152933,7,1,14.2857,0.0000,3,1.69111828,0.8948545,0,0.014514851,8,5,38.85,56,50.4424778,0.1785784,501,9,11,0,16,0,12.0385,0.0661,0.0538,18,11,2,0,0,0.2664,2.5728,0.2841318,0.1055534,0.1785784
Real Betis,7,Atlético de Madrid,Away,La Liga,2020,4231,442,0,1.001162363,0.9873756,0,0.013786707,12,3,25.0000,0.0000,2,1.651911909,1.5195363,0.503318548,0.044379532,13,6,45.8325,60,58.1967213,0.4726793,563,12,26,1,25,1,7.5641,0.0538,0.0218,18,12,0,1,0,0.8274,1.9098,0.5748265,0.1021472,0.4726793
Real Betis,8,Elche,Home,La Liga,2020,433,532,3,3.320283593,2.4351886,0.117638953,0.103346042,17,10,58.8235,0.0000,1,0.57103629,0.5575261,0,0.013510298,4,2,48.3,60,76.1904761,0.6757599,656,12,31,0,15,8,9.2,0.0317,0.0267,12,13,2,0,3,2.8624,0.082,0.9483232,0.2725633,0.6757599
Real Betis,9,Barcelona,Away,La Liga,2020,4231,442,2,1.214319595,1.0996515,0.045042627,0.114668091,12,6,50.0000,0.0000,5,3.822078815,2.2085586,0.116455182,0.050022099,18,10,25.7775,40,25.4838709,0.2633002,417,7,20,0,10,2,21.3125,0.0084,0.0052,8,10,2,1,0,0.1304,2.8118,0.6051278,0.3418276,0.2633002
Real Betis,10,Athletic Club,Away,La Liga,2020,4141,4231,0,0.3756474,0.3519469,0,0.0237004,7,1,14.2857,0.0000,4,2.82784707,2.7475469,0.479282737,0.0803003,15,9,27.615,60,56.4220183,0.3581672,521,8,17,1,15,1,9.7143,0.0161,0.0134,15,8,0,0,0,0.1416,2.7726,0.5670543,0.2088871,0.3581672
