Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Real Madrid,1,Deportivo de La Coruña,Away,La Liga,2017,4312,-1,3,2.496340213,2.4440175,0,0,16,8,50.0000,0.0000,0,1.532728418,0.5903784,0.079795294,0.160600884,12,6,32.97,68,73.8095238,1.0706619,645,7,36,1,18,9,8.5769,0.0484,0.0357,16,12,1,1,3,2.0544,0.7188,1.5117313,0.4410694,1.0706619
Real Madrid,2,Valencia CF,Home,La Liga,2017,433,-1,2,3.086610191,3.0069219,0.121926837,0,22,6,27.2727,0.0000,2,0.766365282,0.7157404,0.021490235,0.025542255,7,3,31.8675,66,67.9180887,0.7961575,565,10,40,0,33,8,11.15,0.0529,0.036,12,12,3,0,1,2.691,0.204,1.1114273,0.3152698,0.7961575
Real Madrid,3,Levante,Home,La Liga,2017,4231,-1,1,2.952596438,1.7642473,0,1.18834919,18,10,55.5556,0.0000,1,0.71799879,0.1070613,0,0.582950056,5,2,40.005,68,76.0797342,0.6879033,591,9,39,4,37,7,8.3462,0.0555,0.0451,14,9,2,1,1,2.7962,0.1202,1.1114857,0.4235824,0.6879033
Real Madrid,4,Real Sociedad,Away,La Liga,2017,433,-1,3,2.6314556,2.5871253,0,0.0443303,18,6,33.3333,0.0000,1,0.37672702,0.2618985,0,0.1148285,10,5,33.18,50,55.3648068,0.6548515,452,10,29,4,17,5,12.6429,0.0168,0.0113,12,15,2,0,3,2.7624,0.1554,1.1951931,0.5403416,0.6548515
Real Madrid,5,Real Betis,Home,La Liga,2017,4312,-1,0,3.2038656,2.6402927,0,0.563573,27,7,25.9259,0.0000,1,1.06783964,1.0678398,0,0,12,4,51.24,60,73.9130434,1.0333885,555,7,58,1,46,5,9.0588,0.1042,0.0203,11,13,0,0,0,2.5864,0.2968,2.3000356,1.2666471,1.0333885
Real Madrid,6,Alavés,Away,La Liga,2017,433,-1,2,2.484705077,2.3168012,0,0.130410727,21,8,38.0952,0.0000,1,0.626713665,0.4615135,0,0.144333124,8,3,40.74,67,74.778761,0.7097147,565,11,32,1,30,2,7.3438,0.0475,0.0387,18,19,2,0,3,2.5728,0.2934,1.2066625,0.4969478,0.7097147
Real Madrid,7,Espanyol,Home,La Liga,2017,41212,-1,2,2.7114619,2.5498286,0.661938675,0.1616334,23,8,34.7826,0.0000,0,0.33381941,0.2362904,0,0.0975289,8,3,40.8975,64,81.5789473,1.1330401,644,15,37,2,33,1,9.303,0.1516,0.1472,10,8,2,0,3,2.7874,0.1354,1.6384346,0.5053945,1.1330401
Real Madrid,8,Getafe,Away,La Liga,2017,442,-1,2,1.892790383,1.1203231,0,0.692857373,16,6,37.5000,0.0000,1,0.859234456,0.8314283,0,0.027806185,8,3,35.1225,69,63.2727272,0.5377929,563,15,23,3,18,3,5.2647,0.0506,0.0333,22,8,3,0,3,2.1642,0.6072,0.7641031,0.2263102,0.5377929
Real Madrid,9,Eibar,Home,La Liga,2017,41212,-1,3,1.582401628,1.4957409,0,0,15,7,46.6667,0.0000,0,0.252835727,0.2528357,0.033033494,0,9,2,26.4075,58,58.8414634,0.6507192,609,14,25,2,13,8,17.5625,0.0172,0.0058,7,9,1,0,3,2.4702,0.3342,0.9972759,0.3465567,0.6507192
Real Madrid,10,Girona,Away,La Liga,2017,4312,-1,1,1.818378982,1.444589,0.561899904,0.373789955,14,6,42.8571,0.0000,2,2.114593882,2.0909327,0,0,15,4,31.71,61,61.4545454,0.7841977,554,19,44,7,19,5,10,0.0137,0.0095,21,11,1,0,0,1.17,1.5702,1.0117347,0.227537,0.7841977
Real Madrid,11,Las Palmas,Home,La Liga,2017,4312,-1,3,2.763383558,2.0282995,0,0.688044412,27,9,33.3333,0.0000,0,0.15571012,0.1557102,0,0,0,1,43.9425,59,75,0.5853654,643,13,31,1,33,9,8.619,0.0334,0.0177,9,9,2,0,3,2.857,0.082,0.9323761,0.3470107,0.5853654
Real Madrid,12,Atlético de Madrid,Away,La Liga,2017,4312,-1,0,1.303742128,1.1868057,0,0.058475968,14,3,21.4286,0.0000,0,0.690558301,0.6509224,0,0.039636049,7,1,29.6625,66,61.4093959,0.9782258,668,19,23,0,27,6,8.0345,0.0216,0.0169,21,6,2,0,1,1.8288,0.8532,1.425758,0.4475322,0.9782258
Real Madrid,13,Málaga,Home,La Liga,2017,41212,-1,3,3.523451186,1.8497155,0,0.891986856,16,9,56.2500,0.0000,2,0.472981623,0.441123,0,0.031858522,9,3,33.81,58,63.9534883,0.5816777,524,6,29,0,20,8,10.1786,0.033,0.0285,12,15,1,0,3,2.8916,0.0638,0.7875721,0.2058944,0.5816777
Real Madrid,14,Athletic Club,Away,La Liga,2017,4312,-1,0,1.629652114,1.1927227,0,0.397107144,19,4,21.0526,0.0000,0,1.024557736,0.3272023,0,0.697355427,11,4,34.545,65,62.0805369,0.6321661,631,20,42,0,29,8,9.1852,0.1402,0.1096,19,13,3,1,1,1.777,0.9346,1.0748379,0.4426718,0.6321661
Real Madrid,15,Sevilla,Home,La Liga,2017,442,-1,5,3.411356123,1.9618502,0.473858208,0.667756787,21,8,38.0952,0.0000,0,0.31845204,0.2577031,0,0.060749017,10,3,35.07,59,63.0985915,0.8954473,643,11,36,1,25,7,12.1538,0.0585,0.043,9,12,0,0,3,2.9292,0.0432,1.539877,0.6444297,0.8954473
Real Madrid,16,Leganés,Away,La Liga,2017,4231,-1,3,1.935637263,1.0996955,0,0.054192785,13,7,53.8462,0.0000,1,1.493020919,0.1242405,0,1.368780507,7,3,31.3425,60,55.6338028,0.642421,642,20,29,1,16,6,9.8182,0.0623,0.0466,18,7,1,0,3,2.1234,0.5946,1.0242075,0.3817865,0.642421
Real Madrid,17,Barcelona,Home,La Liga,2017,4132,-1,0,1.012159765,0.3957676,0,0.616392164,14,5,35.7143,0.0000,3,3.606067718,2.6854605,0,0.116981512,18,11,34.965,45,47.9820627,0.6576757,449,2,31,1,25,3,13.4848,0.0192,0.0055,10,14,2,1,0,0.2048,2.7038,0.9368794,0.2792037,0.6576757
Real Madrid,18,Celta de Vigo,Away,La Liga,2017,4312,-1,2,1.888266398,1.775643,0.234421477,0.1126236,19,8,42.1053,0.0000,2,1.827151132,1.0454021,0.041800071,0,10,5,33.6525,50,49.235474,0.8619982,479,10,31,4,19,3,10.1515,0.1588,0.0072,10,15,2,0,1,1.3688,1.3574,1.346685,0.4846868,0.8619982
Real Madrid,19,Villarreal,Home,La Liga,2017,41212,-1,0,2.13993991,1.7400248,0,0.26810821,28,7,25.0000,0.0000,1,1.109907835,1.0830034,0.515075378,0.026904484,10,4,46.095,58,72,1.2973396,599,8,59,0,44,6,11.125,0.0874,0.0417,12,11,2,0,0,2.1082,0.667,2.2686079,0.9712683,1.2973396
Real Madrid,20,Deportivo de La Coruña,Home,La Liga,2017,433,-1,7,2.829566309,2.2138673,0,0.61569887,24,14,58.3333,0.0000,1,1.933694154,1.2605337,0,0.673160508,0,3,32.9175,62,70.1754385,1.1887314,569,15,50,0,34,12,10.0385,0.1348,0.1299,11,7,0,0,3,1.9124,0.8738,1.5687384,0.380007,1.1887314
Real Madrid,21,Valencia CF,Away,La Liga,2017,433,-1,4,2.816919767,1.158675,0,0.071795091,13,7,53.8462,0.0000,1,1.174281458,0.7711374,0,0.403144136,11,4,33.7575,57,51.3422818,0.6406471,584,13,23,1,15,5,8.2571,0.0771,0.0717,18,22,2,0,3,2.4646,0.3868,0.8833532,0.2427061,0.6406471
Real Madrid,22,Levante,Away,La Liga,2017,433,-1,2,1.715765087,1.5196757,0,0.14951917,23,9,39.1304,0.0000,2,1.475336622,1.0600498,0.103420146,0.415286777,12,4,32.865,72,71.3286713,0.7639021,698,14,38,1,21,6,8.2308,0.0391,0.0303,14,7,3,0,1,1.542,1.1922,1.2634614,0.4995593,0.7639021
Real Madrid,23,Real Sociedad,Home,La Liga,2017,442,-1,5,4.397768859,4.0798759,0,0.317892931,18,9,50.0000,0.0000,2,0.859231859,0.3891088,0,0.363613499,8,3,32.76,52,60.7260726,1.5011915,607,11,48,4,18,9,20.1,0.0211,0.0121,9,11,2,0,3,2.9074,0.0628,1.6636449,0.1624534,1.5011915
Real Madrid,24,Real Betis,Away,La Liga,2017,442,-1,5,1.547242004,1.4256502,0,0.121591821,12,9,75.0000,491.6667,3,1.889829422,0.9447679,0,0.839454471,21,5,30.03,43,43.2558139,0.453642,385,13,23,3,17,1,13.75,0.077,0.0721,7,15,5,0,3,1.1314,1.6342,0.5673942,0.1137522,0.453642
Real Madrid,25,Alavés,Home,La Liga,2017,442,-1,4,3.074082275,2.2243053,0.312046945,0.068027768,24,10,41.6667,0.0000,0,0.489072815,0.4160731,0,0.03340733,11,5,35.28,64,63.8297872,0.9595624,591,29,53,2,22,10,7.871,0.0771,0.0538,14,9,1,0,3,2.812,0.124,1.2850481,0.3254857,0.9595624
Real Madrid,26,Espanyol,Away,La Liga,2017,4231,-1,0,0.940898555,0.7502277,0,0.120397925,12,5,41.6667,0.0000,1,1.140850102,1.1014202,0.025028396,0.039429907,16,7,35.805,62,68.4397163,0.5545864,598,19,21,1,29,3,8.7576,0.0217,0.0151,15,10,1,0,0,1.1902,1.489,1.0269648,0.4723784,0.5545864
