Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Real Sociedad,1,Celta de Vigo,Away,La Liga,2017,433,-1,3,1.908120074,0.9677869,0,0.115165721,13,6,46.1538,0.0000,2,1.717968138,1.3337962,0.078299448,0.361119721,16,5,33.2325,47,38,0.3770479,402,4,15,1,16,4,15.1304,0.0162,0.0148,11,11,1,0,3,1.545,1.1862,0.4246667,0.0476188,0.3770479
Real Sociedad,2,Villarreal,Home,La Liga,2017,433,-1,3,3.1307229,1.0339948,0,2.0967281,15,9,60.0000,0.0000,0,0.15886136,0.1296971,0,0.0291643,6,1,31.08,61,67.3728813,0.9355046,489,5,39,1,27,4,10.6522,0.0158,0.0131,21,12,2,0,3,2.9302,0.0382,0.8662179,-0.0692867,0.9355046
Real Sociedad,3,Deportivo de La Coruña,Away,La Liga,2017,433,-1,4,1.817370018,1.1125075,0.018912841,0.704862349,15,4,26.6667,0.0000,2,0.988719215,0.6650776,0,0.278594762,11,4,23.1525,58,52.3206751,0.264266,456,12,27,0,19,4,8.0345,0.0252,0.0133,18,14,3,0,3,1.999,0.7594,0.5533861,0.2891201,0.264266
Real Sociedad,4,Real Madrid,Home,La Liga,2017,433,-1,1,0.376727,0.2618985,0,0.1148285,10,5,50.0000,90.0000,3,2.63145572,2.5871253,0,0.0443303,19,6,35.5425,50,44.6351931,0.4137283,450,3,20,1,21,4,10.4839,0.0272,0.0125,15,12,3,0,0,0.1554,2.7624,0.5866731,0.1729448,0.4137283
Real Sociedad,5,Levante,Away,La Liga,2017,4231,-1,0,0.650224259,0.3316501,0,0.160185857,13,3,23.0769,0.0000,3,1.784489109,0.7636119,0,0.095436875,13,9,32.97,68,61.3718411,0.5170254,543,5,24,0,28,4,8.2273,0.0404,0.0335,12,11,0,1,0,0.4802,2.3132,0.8083245,0.2912991,0.5170254
Real Sociedad,6,Valencia CF,Home,La Liga,2017,4141,-1,2,1.036041154,0.3759874,0,0.545087831,18,6,33.3333,0.0000,3,1.72590915,1.7144387,0,0.011470508,13,4,35.07,58,68.7258687,0.3487308,484,12,25,1,29,2,10.5,0.0171,0.0098,13,11,2,0,0,0.793,1.9348,0.7404817,0.3917509,0.3487308
Real Sociedad,7,Real Betis,Home,La Liga,2017,433,-1,4,1.797186103,1.4284247,0,0.368761394,18,6,33.3333,0.0000,4,2.30445192,1.8701598,0.901768826,0.371033378,10,6,35.385,56,58.951965,0.6354148,439,10,26,0,31,2,14.4,0.0891,0.0873,17,9,3,0,1,1.028,1.742,0.7621754,0.1267606,0.6354148
Real Sociedad,8,Alavés,Away,La Liga,2017,433,-1,2,1.19196931,0.3273884,0,0.844038835,14,6,42.8571,0.0000,0,0.420236146,0.3461414,0.039093185,0.074094668,8,0,28.2975,74,71.1610486,0.3661273,668,9,17,1,23,0,7.7273,0.0455,0.0402,11,7,1,0,3,2.065,0.6382,0.7196902,0.3535629,0.3661273
Real Sociedad,9,Espanyol,Home,La Liga,2017,433,-1,1,1.039163943,0.7851163,0,0.230871039,19,5,26.3158,0.0000,1,0.500030909,0.4797825,0,0.020248495,4,1,43.89,62,66.8292682,0.3830434,553,15,28,0,28,1,8.7714,0.0557,0.0502,15,11,3,1,1,1.767,0.8748,0.7050594,0.322016,0.3830434
Real Sociedad,10,Getafe,Away,La Liga,2017,433,-1,1,0.964035093,0.6101772,0.243855342,0.331878758,15,4,26.6667,0.0000,2,2.063809905,1.2606453,0,0,10,5,21,56,43.119266,0.4321691,424,12,15,0,17,3,13.4444,0.0635,0.0603,19,16,2,0,0,0.5146,2.2876,0.5412866,0.1091175,0.4321691
Real Sociedad,11,Eibar,Home,La Liga,2017,433,-1,3,2.63232087,2.5479749,0,0.039645836,10,6,60.0000,0.0000,1,0.255165936,0.2051416,0,0.050024308,9,5,29.4,51,39.7905759,0.5148109,433,11,18,1,17,3,13.2174,0.0106,0.0084,15,10,0,0,3,2.8318,0.0982,0.7491649,0.234354,0.5148109
Real Sociedad,12,Girona,Away,La Liga,2017,433,-1,1,1.184537853,1.0639658,0,0.094850449,14,5,35.7143,0.0000,1,1.055119381,0.9792916,0,0.034769032,14,4,28.455,46,38.0090497,0.3958109,357,17,23,2,14,0,12.6667,0.0643,0.0402,27,10,2,0,1,1.455,1.2378,0.5450012,0.1491903,0.3958109
Real Sociedad,13,Las Palmas,Home,La Liga,2017,433,-1,2,2.01872763,1.8888515,0,0.091546085,16,3,18.7500,0.0000,2,1.833492153,1.8334922,0,0,8,7,59.64,51,75.6862745,0.4095683,472,13,39,1,36,2,9.1304,0.0476,0.0409,13,22,3,0,1,1.502,1.2524,0.8378749,0.4283066,0.4095683
Real Sociedad,14,Atlético de Madrid,Away,La Liga,2017,433,-1,1,1.74428723,0.5742077,0,0.388330544,10,2,20.0000,0.0000,2,2.969491742,2.6780283,0,0.29146339,16,10,23.31,44,26.8382352,0.4485384,422,7,19,2,14,1,16.0526,0.0222,0.0145,12,10,2,0,0,0.635,2.177,0.3432961,-0.1052423,0.4485384
Real Sociedad,15,Málaga,Home,La Liga,2017,433,-1,0,1.433059491,1.0625606,0,0.370498912,18,2,11.1111,0.0000,2,2.087543155,0.1601546,0,0.337685293,9,5,33.705,67,75.6198347,1.055485,529,10,40,3,39,3,9.4583,0.0179,0.0115,12,10,1,0,0,0.9706,1.7542,1.059567,0.004082,1.055485
Real Sociedad,16,Athletic Club,Away,La Liga,2017,433,-1,0,0.46773635,0.3730463,0,0.061588023,10,2,20.0000,0.0000,0,0.664537274,0.2681997,0,0.396337543,0,2,28.56,61,54.0084388,0.0371561,541,18,23,0,20,1,13,0.1071,0.1036,14,9,0,0,1,1.0756,1.504,0.6101884,0.5730323,0.0371561
Real Sociedad,17,Sevilla,Home,La Liga,2017,433,-1,3,1.840480449,1.5875075,0,0.252973061,14,5,35.7143,0.0000,1,0.267777832,0.167577,0,0.077137824,9,4,35.595,50,52.8634361,0.6747537,479,14,29,1,18,4,11.25,0.0863,0.0839,18,9,1,0,3,2.619,0.2364,0.9304287,0.255675,0.6747537
Real Sociedad,18,Leganés,Away,La Liga,2017,433,-1,0,0.6662999,0.6265543,0,0.0397456,9,5,55.5556,0.0000,1,0.88970218,0.3276625,0,0.5620396,8,4,35.07,69,67.7824267,0.5266235,671,6,16,0,28,5,9.2692,0.0507,0.043,13,11,1,0,0,1.0692,1.5552,0.7454619,0.2188384,0.5266235
Real Sociedad,19,Barcelona,Home,La Liga,2017,4411,-1,2,1.125366134,1.0225665,0,0.102799568,15,6,40.0000,0.0000,4,1.327733688,1.2495772,0,0,11,5,38.9025,50,61.6915422,0.2403877,448,6,20,6,20,2,10.8333,0.0254,0.0186,13,14,2,0,0,1.1598,1.5396,0.4083814,0.1679937,0.2403877
Real Sociedad,20,Celta de Vigo,Home,La Liga,2017,433,-1,1,1.691309461,0.8777278,0,0.011682491,16,2,12.5000,0.0000,2,1.579390091,0.7538138,0,0.023404768,10,3,40.425,56,67.3913043,0.5384294,557,16,34,0,30,2,10.8788,0.0425,0.0149,7,10,1,0,0,1.3842,1.3032,0.869299,0.3308696,0.5384294
Real Sociedad,21,Villarreal,Away,La Liga,2017,3241,-1,2,1.21479533,0.9825504,0,0.232245024,24,6,25.0000,0.0000,4,2.087685278,1.6034861,0.547503829,0.393355697,11,7,42.42,62,76.8339768,0.5244839,587,15,39,1,37,6,14.0909,0.1078,0.0101,16,6,1,0,0,0.7242,2.058,1.0070886,0.4826047,0.5244839
Real Sociedad,22,Deportivo de La Coruña,Home,La Liga,2017,433,-1,5,2.821016845,2.1031094,0,0.653045565,19,8,42.1053,0.0000,0,0.214800399,0.1727593,0,0.042041067,4,1,36.435,63,67.1361502,0.4875801,523,5,30,1,20,3,8.5172,0.0444,0.034,10,11,0,0,3,2.867,0.08,0.8524268,0.3648467,0.4875801
Real Sociedad,23,Real Madrid,Away,La Liga,2017,442,-1,2,0.859231859,0.3891088,0,0.363613499,8,3,37.5000,0.0000,5,4.397768859,4.0798759,0,0.317892931,18,9,24.78,48,39.2739273,0.1600981,552,6,20,0,14,2,19.1818,0.0073,0.0025,11,10,1,0,0,0.0628,2.9074,0.4635792,0.3034811,0.1600981
Real Sociedad,24,Levante,Home,La Liga,2017,433,-1,3,1.863250268,1.0815012,0,0,13,3,23.0769,0.0000,0,0.928410123,0.9092351,0,0.019175017,9,1,28.77,68,56.6523605,0.8435709,645,11,28,2,12,0,9.65,0.045,0.0352,13,12,0,0,3,2.1494,0.6086,1.1935101,0.3499392,0.8435709
Real Sociedad,25,Valencia CF,Away,La Liga,2017,433,-1,1,1.490139961,0.4752769,0,0.639459414,9,3,33.3333,0.0000,2,1.433681093,1.3123908,0,0.068696491,7,4,34.965,65,56.0311284,0.424004,653,10,16,0,16,3,9.7083,0.03,0.0257,12,9,3,0,0,1.391,1.3106,0.5839181,0.1599141,0.424004
