Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Sevilla,1,Espanyol,Home,La Liga,2017,4141,-1,1,2.0803293,1.2415624,0,0.8387669,9,4,44.4444,0.0000,1,1.19713948,1.1326664,0,0.0644731,9,6,35.1225,62,58.3673469,0.5809144,617,8,22,3,20,2,8.3438,0.0448,0.0304,12,14,2,1,1,2.0952,0.6648,0.7984853,0.2175709,0.5809144
Sevilla,2,Getafe,Away,La Liga,2017,4141,-1,1,0.9954086,0.8877652,0.499009639,0.1076434,6,3,50.0000,0.0000,0,1.43800391,1.241003,0,0.1970009,15,3,21,57,50.1872659,0.3071934,478,12,17,3,11,3,12.5,0.0305,0.0237,20,10,1,0,3,1.0064,1.6844,0.499297,0.1921036,0.3071934
Sevilla,3,Eibar,Home,La Liga,2017,4141,-1,3,2.4532199,2.2766324,0,0.1765875,12,6,50.0000,0.0000,0,0.52804819,0.453644,0,0.0744042,7,2,35.28,60,59.4202898,0.6596635,527,6,28,1,17,4,10.8077,0.2045,0.1992,15,14,1,0,3,2.7042,0.186,1.0236799,0.3640164,0.6596635
Sevilla,4,Girona,Away,La Liga,2017,433,-1,1,1.184294729,1.0866421,0.251055717,0.014326052,13,8,61.5385,0.0000,0,1.900943332,0.514984,0,0.581489569,14,0,30.03,55,40.3669724,0.485733,492,7,15,3,6,0,8.3529,0.0101,0.0058,14,19,4,0,3,0.804,1.9518,0.6913487,0.2056157,0.485733
Sevilla,5,Las Palmas,Home,La Liga,2017,4231,-1,1,1.2164669,1.1034593,0,0.1130075,14,9,64.2857,0.0000,0,0.33163249,0.1817528,0,0.1498796,7,0,46.0425,59,72.4576271,0.3893734,578,7,34,1,36,2,8.2045,0.0462,0.0354,7,21,2,0,3,2.163,0.5532,0.6735246,0.2841512,0.3893734
Sevilla,6,Atlético de Madrid,Away,La Liga,2017,433,-1,0,0.3843263,0.2065197,0,0.1778067,11,0,0.0000,0.0000,2,1.17454275,1.0508541,0,0.1236886,13,4,29.2425,61,58.422939,0.7600569,579,14,33,3,11,3,7.1842,0.0294,0.0181,11,17,3,0,0,0.5936,2.1086,0.9020806,0.1420237,0.7600569
Sevilla,7,Málaga,Home,La Liga,2017,433,-1,2,2.27864439,1.2311604,0,0.265734941,12,5,41.6667,0.0000,0,0.357813884,0.2183555,0,0.117474215,10,3,31.1325,63,65.8986175,0.5489222,554,18,22,2,11,4,7.5143,0.0321,0.0249,10,11,2,0,3,2.7328,0.166,0.8464079,0.2974857,0.5489222
Sevilla,8,Athletic Club,Away,La Liga,2017,4231,-1,0,1.913911576,1.6738261,0,0.154360721,15,6,40.0000,0.0000,1,0.800318105,0.5099066,0.096326865,0.290411515,13,2,24.4125,58,43.7751004,0.8325733,433,8,26,3,15,4,8.1667,0.0254,0.0226,17,9,5,0,0,2.2064,0.5888,1.1508321,0.3182588,0.8325733
Sevilla,9,Valencia CF,Away,La Liga,2017,4141,-1,0,0.727155644,0.6143673,0,0.038472687,17,5,29.4118,0.0000,4,2.218814466,1.9978125,0.536571145,0.152290281,18,8,35.805,48,51.3392857,0.7275488,376,5,23,1,18,3,8.8889,0.0211,0.0185,15,21,4,0,0,0.4074,2.4354,0.8593936,0.1318448,0.7275488
Sevilla,10,Leganés,Home,La Liga,2017,433,-1,2,1.615052121,1.6023682,0,0.012684016,9,5,55.5556,0.0000,1,1.077821783,0.2007515,0,0.095321276,10,1,31.395,61,47.4576271,0.434414,542,9,23,1,13,4,6.8611,0.0587,0.0341,18,16,0,0,3,1.8214,0.8662,0.8067597,0.3723457,0.434414
