Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Valencia CF,1,Girona,Home,La Liga,2022,433,3421,1,1.705715215,0.431022,0.044994667,0.374061771,17,2,11.7647,0.0000,0,0.148354707,0.0655176,0,0.082837114,5,1,30.345,46,46.9194312,0.5455892,352,8,20,2,13,2,10.6667,0.202,0.0099,13,18,2,1,3,2.7092,0.167,0.6505288,0.1049396,0.5455892
Valencia CF,2,Athletic Club,Away,La Liga,2022,433,4231,0,0.7429007,0.6909559,0,0.0519448,10,0,0.0000,0.0000,1,0.95388745,0.8224575,0.128388703,0.1314298,12,2,33.495,63,61.003861,0.3755346,511,12,25,1,28,2,8.5185,0.0254,0.0118,10,15,2,0,0,1.1418,1.503,0.5905562,0.2150216,0.3755346
Valencia CF,3,Atlético de Madrid,Home,La Liga,2022,4231,532,0,0.521439258,0.3366519,0,0.083964839,12,2,16.6667,0.0000,1,1.962377548,1.5819442,0.442437977,0.380433328,13,7,58.8,70,76.9585253,0.4544482,583,11,22,0,28,4,8,0.043,0.0368,16,15,4,0,0,0.4142,2.405,0.8027056,0.3482574,0.4544482
Valencia CF,4,Getafe,Home,La Liga,2022,433,442,5,3.0974929,2.5878115,0,0.5096815,24,9,37.5000,0.0000,1,0.55171216,0.4903292,0,0.0613829,7,4,30.6075,70,70.8737864,0.4962622,546,9,37,3,22,6,11.2941,0.028,0.0252,22,11,1,1,3,2.7846,0.1422,0.8757823,0.3795201,0.4962622
Valencia CF,5,Rayo Vallecano,Away,La Liga,2022,4231,4231,1,1.926315227,1.1463999,0,0.757031694,17,4,23.5294,94.1176,2,1.738278165,1.4573661,0,0.280912027,15,6,23.0475,54,40.5529953,0.4000591,345,15,30,0,23,2,13.7143,0.0109,0.0092,21,11,2,0,0,1.5312,1.2288,0.4364514,0.0363923,0.4000591
Valencia CF,6,Celta de Vigo,Home,La Liga,2022,433,4132,3,1.907019451,1.7115175,0.126514226,0.195501989,14,7,50.0000,0.0000,0,0.538777467,0.1422759,0,0.309476666,6,2,34.2825,66,61.1111111,0.2005939,462,8,22,1,20,5,7.2593,0.0962,0.088,23,18,3,0,3,2.3584,0.4414,0.5537593,0.3531654,0.2005939
Valencia CF,7,Espanyol,Away,La Liga,2022,433,4231,2,1.266445776,0.8166568,0,0.409966594,12,5,41.6667,0.0000,2,0.65402634,0.5341261,0.050461046,0.119900208,10,5,23.94,62,50.5660377,0.4102525,499,5,18,2,16,1,7.9583,0.548387097,0.225806452,16,15,1,1,1,1.9144,0.793,0.6631575,0.252905,0.4102525
Valencia CF,8,Osasuna,Away,La Liga,2022,442,451,2,2.640053989,1.3030628,0,0.555242142,15,7,46.6667,0.0000,1,1.551241407,0.098098,0,0.671394412,11,2,29.9775,55,57.9646017,0.3710913,396,5,22,4,18,1,9.3077,0.638888889,0.444444444,10,19,4,1,3,2.179,0.6046,0.6823574,0.3112661,0.3710913
Valencia CF,9,Elche,Home,La Liga,2022,433,541,2,3.561902521,2.3653105,0,0.414843,20,8,40.0000,0.0000,2,1.61808652,0.7600558,0,0.076281814,0,6,55.125,60,83.203125,0.8065665,477,9,43,0,24,6,8.1892,0.0628,0.0489,19,14,3,0,1,2.488,0.3772,1.1338355,0.327269,0.8065665
Valencia CF,10,Sevilla,Away,La Liga,2022,541,541,1,1.520491981,0.5068506,0,0.231892491,13,5,38.4615,0.0000,1,1.165435839,0.5004892,0,0.632605258,18,5,34.44,36,39.1534391,0.1829941,273,4,16,0,13,6,9.4878,0.0396,0.0326,11,26,6,0,1,1.6834,1.0156,0.0512314,-0.1317627,0.1829941
