Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Real Valladolid,1,Real Sociedad,Home,La Liga,2020,4231,4141,1,0.562867968,0.4245687,0,0.138299229,8,3,37.5000,0.0000,1,0.288363369,0.143507,0.021132553,0.082220501,8,2,30.8175,40,42.1568627,0.2410682,262,4,19,0,16,0,12.24,0.0224,0.0088,16,15,4,0,1,1.5474,0.9498,0.295642,0.0545738,0.2410682
Real Valladolid,2,Real Betis,Away,La Liga,2020,4231,4231,0,0.254305869,0.2158074,0,0.019004993,9,2,22.2222,0.0000,2,1.791742198,0.614514,0.219451893,0.395479277,16,6,35.49,44,41.9117647,0.2917575,390,10,13,1,19,3,10.9032,0.0313,0.0116,16,10,0,0,0,0.2178,2.6448,0.3504571,0.0586996,0.2917575
Real Valladolid,3,Celta de Vigo,Home,La Liga,2020,442,4231,1,1.384936295,0.4368218,0,0.078729482,10,4,40.0000,0.0000,1,1.041944703,1.0219185,0.453521311,0,5,1,49.56,54,64.5833333,0.3559723,352,13,17,0,28,3,5.6531,0.0324,0.0176,14,26,3,0,1,1.69,0.9826,0.5040458,0.1480735,0.3559723
Real Valladolid,4,Real Madrid,Away,La Liga,2020,4231,4312,0,0.5041331,0.3780307,0.127075657,0.1261024,11,5,45.4545,0.0000,1,2.31220363,1.6463705,0.694311753,0.6658331,15,5,26.25,37,38.3211678,0.2276153,322,3,10,0,28,3,15.5,0.013,0.002,11,7,1,0,0,0.254,2.6228,0.4738798,0.2462645,0.2276153
Real Valladolid,5,Eibar,Home,La Liga,2020,442,4231,1,1.049969873,0.1930212,0,0.041029021,9,3,33.3333,0.0000,2,2.189739803,0.9216644,0,0.095455764,11,5,31.9725,53,48.4848484,0.2555848,347,6,17,0,17,1,9.9583,0.0723,0.0447,17,11,2,0,0,0.5036,2.276,0.2481115,-0.0074733,0.2555848
Real Valladolid,6,Huesca,Away,La Liga,2020,4231,4231,2,1.030824314,0.1831869,0,0.0658883,5,3,60.0000,0.0000,2,0.919484478,0.4404178,0,0.479066602,12,7,26.985,34,47.5095785,0.1017851,298,10,11,1,8,2,11.2051,0.0484,0.0206,14,24,2,0,1,1.535,1.1018,0.2146776,0.1128925,0.1017851
Real Valladolid,7,Alavés,Home,La Liga,2020,442,442,0,0.257175576,0.1977088,0,0.059466734,5,1,20.0000,0.0000,2,2.671024244,1.7491414,0,0.140133902,14,4,26.25,44,51.4018691,0.3393454,344,3,11,0,15,2,21.75,0.0302,0.0231,7,9,1,1,0,0.0576,2.9022,0.4427879,0.1034425,0.3393454
Real Valladolid,8,Villarreal,Away,La Liga,2020,4231,442,0,0.632312089,0.5182461,0,0.114065863,11,1,9.0909,0.0000,2,1.734928361,0.8088788,0,0.840435048,11,5,41.895,40,55.2884615,0.3460506,335,10,17,0,41,0,11.425,0.1248,0.0748,12,13,3,0,0,0.4514,2.3384,0.5342259,0.1881753,0.3460506
Real Valladolid,9,Athletic Club,Home,La Liga,2020,442,4231,2,2.130136387,1.1716331,0,0,7,4,57.1429,0.0000,1,1.647785514,0.5428841,0,0.2380051,17,2,24.3075,30,34.3612334,0.4239569,212,7,14,0,13,0,10.875,0.0205,0.0011,10,23,4,0,3,1.81,0.9298,0.468538,0.0445811,0.4239569
Real Valladolid,10,Granada CF,Away,La Liga,2020,442,4231,3,1.346184408,1.0352847,0.477708519,0.310899682,9,3,33.3333,0.0000,1,1.398175049,0.3540035,0,1.044171693,16,6,32.34,40,47.804878,0.0995569,280,11,12,1,13,1,10.7419,0.0559,0.0031,14,14,3,0,3,1.3404,1.3614,0.2596185,0.1600616,0.0995569
Real Valladolid,11,Levante,Home,La Liga,2020,442,442,1,1.427418473,1.4071783,0.32376051,0,10,4,40.0000,0.0000,1,1.137207338,0.2953892,0,0.060069077,10,3,28.035,35,36.7149758,0.2315825,252,7,15,0,16,0,11.6452,0.0398,0.0224,11,18,0,0,1,1.57,1.1092,0.1470645,-0.084518,0.2315825
Real Valladolid,12,Atlético de Madrid,Away,La Liga,2020,442,3412,0,0.5709477,0.533558,0.018029699,0.0373898,13,3,23.0769,0.0000,2,1.0921976,0.9202858,0,0.1719119,14,4,26.04,46,44.7653429,0.4586326,471,4,14,1,16,4,15.6538,0.0254,0.0231,10,10,2,0,0,0.8542,1.8166,0.5863937,0.1277611,0.4586326
Real Valladolid,13,Osasuna,Home,La Liga,2020,442,442,3,1.876690411,0.9884642,0.042300988,0.106477257,11,6,54.5455,0.0000,2,1.680511674,0.9508767,0,0.729635011,13,6,21.945,47,42.7272727,0.2503142,366,9,18,1,14,2,15.9474,0.0244,0.0074,16,14,4,0,3,1.5274,1.201,0.4713972,0.221083,0.2503142
