Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Villarreal,1,Huesca,Home,La Liga,2020,4411,4231,1,2.150371608,1.0921292,0,0.276493441,15,4,26.6667,0.0000,1,0.607345213,0.4913146,0,0.116030753,10,3,40.8975,66,75.1968503,0.9127341,549,10,37,0,30,2,8.0667,0.0369,0.0234,20,10,1,0,1,2.5294,0.3184,1.0626761,0.149942,0.9127341
Villarreal,2,Eibar,Home,La Liga,2020,442,433,2,3.0394281,2.2659592,0.431128234,0.7734688,14,8,57.1429,0.0000,1,1.14034345,1.1403435,0.437563777,0,12,4,26.4075,58,48.095238,0.7837682,434,11,34,6,15,1,11.1905,0.0167,0.0093,12,5,1,0,3,2.477,0.3824,1.2673323,0.4835641,0.7837682
Villarreal,3,Barcelona,Away,La Liga,2020,442,4231,0,0.228582907,0.1839055,0,0.044677317,5,1,20.0000,0.0000,4,3.135382877,2.3061785,0,0.023159662,18,9,31.605,43,38.9048991,0.2524141,517,10,23,2,18,1,19.0435,0.0364,0.0331,7,10,1,0,0,0.0506,2.9162,0.4764325,0.2240184,0.2524141
Villarreal,4,Alavés,Home,La Liga,2020,4141,442,3,2.401466716,1.5925418,0,0,10,6,60.0000,0.0000,1,1.029051589,1.0290515,0,0,8,3,36.12,59,52.0930232,0.3416326,549,16,17,0,14,1,9.9032,0.0579,0.0528,13,11,0,0,3,2.3872,0.418,0.5765719,0.2349393,0.3416326
Villarreal,5,Atlético de Madrid,Away,La Liga,2020,4141,442,0,0.1958554,0.1958554,0,0,6,2,33.3333,0.0000,0,0.49634658,0.3334991,0,0.1628474,13,0,20.79,46,34.0277777,0.4417624,510,11,13,0,12,3,14.5385,0.1786,0.1691,11,7,2,0,1,0.8794,1.5796,0.6859609,0.2441985,0.4417624
Villarreal,6,Valencia CF,Home,La Liga,2020,4141,442,2,2.021542079,1.1938988,0,0.022593267,16,6,37.5000,0.0000,1,0.604833181,0.1676342,0.078832202,0.320586714,11,3,26.3025,62,69.3333333,0.556433,595,8,23,0,12,3,11.6087,0.0317,0.0181,7,13,3,0,3,2.4658,0.3712,0.8484464,0.2920134,0.556433
Villarreal,7,Cádiz,Away,La Liga,2020,433,442,0,0.619730875,0.5304317,0,0.063763067,7,2,28.5714,0.0000,0,0.224017909,0.2016594,0,0.022358488,5,0,28.875,76,69.787234,0.5403887,748,8,11,2,21,2,9.1053,0.0337,0.0308,13,7,2,0,1,1.7496,0.7884,0.747602,0.2072133,0.5403887
Villarreal,8,Real Valladolid,Home,La Liga,2020,442,4231,2,1.734928361,0.8088788,0,0.840435048,11,5,45.4545,0.0000,0,0.632312089,0.5182461,0,0.114065863,11,1,25.41,60,44.7115384,0.7194647,541,17,15,3,13,0,8.1,0.0787,0.0288,11,13,1,0,3,2.3384,0.4514,0.9488381,0.2293734,0.7194647
Villarreal,9,Getafe,Away,La Liga,2020,433,442,3,2.177096475,2.1435176,0.08209043,0.033578802,9,5,55.5556,0.0000,1,0.54930733,0.3576356,0,0.048244279,13,5,21.42,56,34.8837209,0.4787446,469,12,19,0,8,3,16.5,0.0499,0.0499,18,11,4,0,3,2.6178,0.2532,0.5326706,0.053926,0.4787446
Villarreal,10,Real Madrid,Home,La Liga,2020,442,4231,1,1.568824387,0.7294991,0,0.057576347,13,1,7.6923,0.0000,1,0.602004508,0.5882085,0,0.013795967,6,1,46.725,47,47.0119521,0.4366201,507,10,23,0,25,2,10.5,0.049,0.0186,14,16,1,0,1,2.2176,0.5388,0.7105058,0.2738857,0.4366201
Villarreal,11,Real Sociedad,Away,La Liga,2020,442,4231,1,1.122663937,0.2200094,0.044073269,0.120905478,10,2,20.0000,0.0000,1,2.005560831,0.423021,0,0.800790887,0,4,31.29,45,48.2142857,0.3098503,377,1,19,1,16,1,11.4516,0.0172,0.0128,17,12,3,0,1,0.6268,2.0998,0.518154,0.2083037,0.3098503
Villarreal,12,Elche,Home,La Liga,2020,4141,4141,0,0.589312742,0.5308953,0,0.027886813,12,3,25.0000,0.0000,0,0.068121513,0.0406276,0,0.027493911,0,0,54.705,57,73.8589211,0.8571335,544,13,22,1,14,1,9.122,0.0417,0.0344,13,16,3,0,1,1.839,0.6384,1.3291227,0.4719892,0.8571335
Villarreal,13,Real Betis,Away,La Liga,2020,442,4231,1,1.017451923,0.850306,0,0.167145874,7,2,28.5714,0.0000,1,0.414604684,0.2134268,0,0.108172569,11,5,40.11,53,50.2074688,0.397765,497,11,20,0,23,1,9.8235,0.02,0.0095,13,14,3,0,1,1.9626,0.7128,0.4330452,0.0352802,0.397765
Villarreal,14,Osasuna,Away,La Liga,2020,433,442,3,2.438122919,2.3515648,0,0.025376709,13,6,46.1538,0.0000,1,1.014137394,0.1974203,0,0.034967944,6,1,30.03,68,62.0567375,0.5589259,611,7,31,4,9,2,11.5294,0.0225,0.0153,17,16,2,0,3,2.4304,0.3916,1.0008013,0.4418754,0.5589259
Villarreal,15,Athletic Club,Home,La Liga,2020,433,4231,1,1.1540092,1.0555912,0,0.098418,17,6,35.2941,0.0000,1,0.81526163,0.7989008,0.124187835,0.0163609,9,3,29.19,66,65.6028368,0.4237497,593,10,28,3,24,2,8.5769,0.0544,0.0158,16,10,1,0,1,1.6502,1.046,0.7535347,0.329785,0.4237497
Villarreal,16,Sevilla,Away,La Liga,2020,442,433,0,0.495074477,0.4950744,0,0,6,2,33.3333,0.0000,2,2.191771963,0.952852,0.134522304,0.457170974,10,3,41.055,57,56.6115702,0.3704199,514,15,24,1,27,5,10.5,0.0218,0.0126,12,14,4,0,0,0.2276,2.6516,0.8190404,0.4486205,0.3704199
Villarreal,17,Levante,Home,La Liga,2020,433,3142,2,1.653384205,1.6050755,0.137323827,0.048308779,12,7,58.3333,0.0000,1,0.431430005,0.338184,0,0.020132115,9,2,40.74,50,52.8,0.4275184,495,10,26,0,5,0,12.1935,0.0469,0.0062,11,12,1,0,3,2.3616,0.4254,0.9632214,0.535703,0.4275184
Villarreal,18,Celta de Vigo,Away,La Liga,2020,433,4132,4,3.103934461,1.9117593,0,0.945690474,15,6,40.0000,0.0000,0,0.357789684,0.3359217,0,0,8,3,35.7,43,48.6725663,0.9636684,459,17,25,2,10,2,15.5517,0.035,0.0217,14,18,0,0,3,2.8794,0.0774,1.1042693,0.1406009,0.9636684
Villarreal,19,Granada CF,Home,La Liga,2020,433,4141,2,2.104939444,0.5020857,0,0,8,3,37.5000,0.0000,2,0.166139498,0.1661395,0.102308594,0,3,2,35.805,69,64.4628099,0.4114928,622,9,28,0,9,2,10.25,0.0944,0.0413,11,11,2,0,1,2.8722,0.0726,0.660086,0.2485932,0.4114928
Villarreal,20,Huesca,Away,La Liga,2020,3421,343,0,0.517465973,0.4389346,0,0.055176543,8,2,25.0000,0.0000,0,0.252702611,0.2193125,0,0.033390094,5,1,42.1575,56,63.0331753,0.4518406,621,9,22,0,10,3,9.9512,0.0282,0.01,9,15,1,0,1,1.5902,0.9098,0.6713435,0.2195029,0.4518406
Villarreal,21,Real Sociedad,Home,La Liga,2020,433,433,1,0.2841317,0.2841317,0,0,4,2,50.0000,0.0000,1,1.10415148,1.0679158,0.215252001,0.0362356,12,3,24.99,35,25.1082251,0.3167153,342,11,10,0,5,5,23.1579,0.0929,0.013,15,10,1,0,1,0.5564,2.1386,0.4882672,0.1715519,0.3167153
