Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Charlotte FC,1,D.C. United,Away,US Major League Soccer,2022,541,3421,0,1.154383114,1.0002159,0,0.15416716,11,5,45.4545,0.0000,3,1.623222575,0.5620544,0,0.279419154,11,4,36.12,53,43.2692307,0.1042215,427,3,20,1,24,1,9.6333,0.1067,0.095,13,15,1,0,0,0.9612,1.746,0.3631275,0.258906,0.1042215
Charlotte FC,2,LA Galaxy,Home,US Major League Soccer,2022,352,442,0,0.4944822,0.4090107,0,0.0854715,5,3,60.0000,0.0000,1,1.61250469,1.4431531,0,0.1693516,21,6,30.03,49,45.021645,0.1894333,467,7,11,0,18,0,11.5667,0.0557,0.0466,9,11,1,0,0,0.5038,2.2546,0.3846679,0.1952346,0.1894333
Charlotte FC,3,Atlanta United,Away,US Major League Soccer,2022,4141,433,1,1.094914351,0.9515829,0,0.143331325,12,7,58.3333,0.0000,2,1.87815161,0.9034183,0,0.137723468,14,8,30.345,39,47.8260869,0.1825916,297,9,10,0,16,1,10.8529,0.056,0.0128,7,16,4,0,0,0.7412,2.0006,0.2511817,0.0685901,0.1825916
Charlotte FC,4,New England Revolution,Home,US Major League Soccer,2022,442,4231,3,1.292914,1.0621845,0,0.2307293,15,5,33.3333,0.0000,1,2.2170083,1.3510227,0,0.0610948,18,5,22.2075,49,39.1891891,0.6278444,411,3,25,1,13,2,14.7368,0.526315789,0.368421053,14,12,4,0,3,0.7078,2.077,0.8685809,0.2407365,0.6278444
Charlotte FC,5,FC Cincinnati,Home,US Major League Soccer,2022,4132,3412,2,1.4739564,1.4489433,0,0,10,6,60.0000,0.0000,0,1.2924269,1.2924269,0,0,14,5,30.765,59,38.5214007,0.5571896,519,13,10,0,10,0,7,0.652173913,0.304347826,10,14,0,0,3,1.5108,1.2018,0.7124234,0.1552338,0.5571896
Charlotte FC,5,Philadelphia Union,Away,US Major League Soccer,2022,541,4132,0,0.402637171,0.2060065,0,0.173893835,10,1,10.0000,0.0000,2,1.502427131,1.2648784,0,0.23754869,9,6,25.725,59,44.2396313,0.2250449,505,4,8,0,25,5,13.1111,0.0083,0.0054,14,8,0,0,0,0.4448,2.3408,0.3202502,0.0952053,0.2250449
Charlotte FC,6,Atlanta United,Home,US Major League Soccer,2022,4132,3421,1,0.791768491,0.531086,0,0.260682458,15,4,26.6667,0.0000,0,1.034799309,0.7913457,0,0.154484309,16,6,36.54,51,55.8375634,0.442271,460,6,21,2,22,4,10.8824,0.416666667,0.291666667,8,17,3,0,3,1.1246,1.5404,0.311127,-0.131144,0.442271
Charlotte FC,7,New England Revolution,Away,US Major League Soccer,2022,4132,4312,1,0.333916251,0.2300556,0,0.032638524,8,6,75.0000,0.0000,2,0.978827139,0.6779038,0.068079352,0.300923368,13,6,28.77,61,55.8333333,0.2586215,555,4,14,0,21,4,8.6786,0.0766,0.0375,13,13,1,0,0,0.67,1.9882,0.3779356,0.1193141,0.2586215
Charlotte FC,8,Colorado Rapids,Away,US Major League Soccer,2022,4132,343,0,1.116163056,0.952834,0,0.139301177,16,5,31.2500,0.0000,0,1.143542109,0.9009236,0,0.242618557,11,0,29.19,55,57.6470588,0.417104,434,12,22,1,17,1,11.72,0.1138,0.0969,7,13,3,0,1,1.2418,1.429,0.5630587,0.1459547,0.417104
Charlotte FC,9,Orlando City SC,Away,US Major League Soccer,2022,41212,4231,1,1.029328202,0.2216019,0,0.025977379,8,1,12.5000,0.0000,2,1.010410487,0.8970958,0.452430967,0.113314658,7,4,43.05,58,63.3744855,0.4728191,525,10,10,1,19,3,9.9032,0.0447,0.0268,10,13,3,0,0,1.3674,1.2516,0.6031721,0.130353,0.4728191
