Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
FC Cincinnati,1,Austin FC,Away,US Major League Soccer,2022,4312,442,0,1.2874604,1.1699488,0.141124949,0.1175116,13,2,15.3846,0.0000,5,2.7442535,1.9363001,0,0.8079534,20,5,42.315,43,54,0.7388453,366,7,19,1,14,1,11.2105,0.473684211,0.289473684,16,6,2,0,0,0.5214,2.3118,1.221242,0.4823967,0.7388453
FC Cincinnati,2,D.C. United,Home,US Major League Soccer,2022,3412,3421,0,1.4258823,1.2998271,0.779905997,0.1260552,16,6,37.5000,0.0000,1,2.006352,1.184475,0,0.0174237,10,4,36.645,51,57.1428571,0.9247316,358,7,24,0,29,1,9.7419,0.583333333,0.472222222,11,16,1,0,0,0.96,1.7898,1.463373,0.5386414,0.9247316
FC Cincinnati,3,Orlando City SC,Away,US Major League Soccer,2022,3412,4231,2,1.0347603,0.9190955,0.303987086,0.1156648,9,3,33.3333,0.0000,1,1.1085225,0.8956417,0,0.1877599,18,6,21.21,30,25.6055363,0.1128995,270,7,10,3,8,0,20.8824,0.230769231,0.115384615,15,19,4,0,3,1.3144,1.3768,0.3360249,0.2231254,0.1128995
FC Cincinnati,4,Inter Miami CF,Home,US Major League Soccer,2022,3412,442,3,2.5327408,1.6809353,0,0.0700565,15,6,40.0000,0.0000,1,1.4654815,0.292386,0,0.3271909,13,2,26.6175,50,61.71875,1.0369883,412,19,16,0,14,1,19,0.558823529,0.411764706,18,12,3,0,3,2.1794,0.608,1.1110403,0.074052,1.0369883
FC Cincinnati,5,CF Montréal,Home,US Major League Soccer,2022,3412,343,3,2.2805834,1.2523935,0,0.2464409,18,7,38.8889,0.0000,4,1.0595923,1.0595923,0.440689832,0,9,6,32.13,42,41.9354838,0.3849212,330,7,23,0,20,1,13.0714,0.4375,0.3125,10,13,4,0,0,2.2738,0.5254,0.5905886,0.2056674,0.3849212
FC Cincinnati,5,Charlotte FC,Away,US Major League Soccer,2022,3412,4132,0,1.2924269,1.2924269,0,0,14,5,35.7143,0.0000,2,1.4739564,1.4489433,0,0,10,6,58.38,41,61.4785992,0.7152246,358,9,21,1,20,2,10.1591,0.511111111,0.288888889,12,10,2,0,0,1.2018,1.5108,0.89318,0.1779554,0.7152246
FC Cincinnati,6,Seattle Sounders FC,Away,US Major League Soccer,2022,532,3421,1,2.086278038,1.8109292,0,0.094719842,11,2,18.1818,0.0000,1,0.483804677,0.3849178,0,0,9,4,35.2275,47,45.7013574,0.6827606,448,11,19,1,11,0,8.6889,0.0474,0.0157,12,19,2,0,1,2.5698,0.2832,0.8272054,0.1444448,0.6827606
FC Cincinnati,7,Atlanta United,Away,US Major League Soccer,2022,3412,4231,0,1.5802294,1.2041791,0,0.3760502,10,0,0.0000,0.0000,0,2.9919024,2.0963392,0,0.0738541,22,6,18.9525,35,31.4176245,0.4536165,264,7,16,0,12,0,14.0909,0.363636364,0.242424242,9,12,2,1,1,0.4128,2.4234,0.5882296,0.1346131,0.4536165
FC Cincinnati,8,Los Angeles Football Club,Home,US Major League Soccer,2022,3412,4141,1,1.293784736,0.9496934,0,0.288131721,14,7,50.0000,0.0000,2,2.137952351,1.7327665,0.085284084,0.405185955,19,8,27.51,45,41.7670682,0.6259447,355,16,16,3,19,3,12.6154,0.019,0.0123,8,8,3,0,0,0.813,1.9626,0.7133434,0.0873987,0.6259447
FC Cincinnati,9,Toronto FC,Away,US Major League Soccer,2022,4231,3421,2,0.584516108,0.3416577,0.194591008,0.242858455,7,3,42.8571,0.0000,1,1.031078872,0.85851,0,0.172568785,11,3,28.35,34,33.4437086,0.3073703,326,6,21,7,10,1,11.8235,0.0286,0.0129,12,9,1,0,3,0.8958,1.7628,0.4704686,0.1630983,0.3073703
FC Cincinnati,10,Minnesota United FC,Away,US Major League Soccer,2022,3412,4231,1,1.693324869,1.5870725,0.080499008,0.106252458,14,6,42.8571,0.0000,0,0.965084598,0.5447118,0.089599565,0.332037617,15,5,20.685,48,44.5820433,0.6725461,419,4,21,2,20,2,19.5,0.0158,0.0147,6,9,3,0,3,2.0116,0.7444,0.8628902,0.1903441,0.6725461
FC Cincinnati,10,Toronto FC,Home,US Major League Soccer,2022,4231,3421,2,4.639930426,3.8581815,0.800247997,0,16,6,37.5000,0.0000,0,0.699969026,0.5927881,0,0.06092434,14,4,32.655,60,56.9721115,1.2296175,542,5,33,5,6,3,9.5926,0.0203,0.0145,10,16,3,0,3,2.9524,0.031,1.4924262,0.2628087,1.2296175
FC Cincinnati,11,Chicago Fire FC,Away,US Major League Soccer,2022,4231,433,2,0.659006816,0.2586203,0,0.400386488,9,3,33.3333,0.0000,1,0.870605118,0.524819,0,0.297138941,18,5,17.7975,40,27.118644,0.1676592,332,10,13,0,9,0,17.6316,0.0281,0.0225,13,13,2,0,3,1.1104,1.5328,0.2639243,0.0962651,0.1676592
FC Cincinnati,13,New England Revolution,Home,US Major League Soccer,2022,4231,4231,2,0.7859726,0.7690198,0,0.0169527,10,2,20.0000,0.0000,3,0.77174346,0.716835,0,0.0549085,10,4,29.4,53,54.5833333,0.5100881,510,5,22,2,17,0,17.4,0.2138,0.1297,7,9,1,0,0,1.3778,1.2566,0.5829562,0.0728681,0.5100881
FC Cincinnati,14,CF Montréal,Away,US Major League Soccer,2022,4231,3421,3,1.054920008,0.5356454,0,0.519274591,13,6,46.1538,0.0000,4,2.94083793,1.5366909,0.553377509,0.622397965,0,5,34.02,49,48.5576923,0.4087313,402,7,19,1,14,0,10.2581,0.0282,0.0064,11,13,2,0,0,0.2762,2.6036,0.6596326,0.2509013,0.4087313
FC Cincinnati,15,Philadelphia Union,Away,US Major League Soccer,2022,3412,41212,1,0.972677937,0.4504635,0,0.494490789,17,5,29.4118,0.0000,1,1.477968771,1.4021126,0,0.075856261,13,5,31.08,55,62.7240143,0.6267705,453,11,27,1,23,3,10.6429,0.0522,0.0472,8,12,4,0,1,0.9392,1.784,0.8379298,0.2111593,0.6267705
FC Cincinnati,16,Orlando City SC,Home,US Major League Soccer,2022,3412,4231,1,1.1888691,0.9723853,0,0.2164839,14,9,64.2857,0.0000,0,0.20043334,0.168014,0,0.0324193,7,2,37.905,46,51.8672199,0.7717314,422,6,21,0,11,3,12,0.0281,0.0151,10,14,1,0,3,2.3214,0.4056,0.9130962,0.1413648,0.7717314
FC Cincinnati,17,New York City FC,Home,US Major League Soccer,2022,3412,4231,4,2.690639397,2.1279633,0,0.562676057,16,10,62.5000,0.0000,4,2.415996669,0.6025617,0,0.940560236,13,7,35.91,45,51.2110726,0.9818769,401,9,30,1,16,2,12.8148,0.0453,0.0222,9,14,3,0,1,1.479,1.2798,1.1455779,0.163701,0.9818769
FC Cincinnati,18,New England Revolution,Away,US Major League Soccer,2022,3412,4231,2,1.544779552,1.5447794,0,0,12,3,25.0000,0.0000,2,1.211980279,0.9138893,0.275712669,0.071594074,17,7,26.985,45,47.5285171,0.8237327,414,4,28,1,15,3,14,0.2921,0.2902,6,13,2,0,1,1.6802,1.046,0.6557748,-0.1679579,0.8237327
FC Cincinnati,19,New York Red Bulls,Home,US Major League Soccer,2022,3412,4231,1,1.263042576,1.2195139,0.065578595,0,10,4,40.0000,0.0000,1,0.996955569,0.1647064,0,0.019068496,8,3,28.77,46,32.3943661,0.3953694,304,10,16,5,3,1,10.6522,0.2169,0.0581,9,11,2,2,1,1.4028,1.1712,0.6327849,0.2374155,0.3953694
