Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
D.C. United,,FC Cincinnati,Home,US Major League Soccer,2019,4231,4141,0,0,0,0,0,32,3,9.3750,0.0000,0,0,0,0,0,8,0,0,66,74.137931,0,536,5,0,2,34,0,0,0,0,8,11,1,0,1,0,0,0,0,0
D.C. United,,Vancouver Whitecaps FC,Away,US Major League Soccer,2019,442,4321,0,0,0,0,0,24,2,8.3333,0.0000,1,0,0,0,0,8,0,0,65,71.942446,0,559,11,0,1,29,0,0,0,0,17,8,1,0,0,0,0,0,0,0
D.C. United,,New York Red Bulls,Home,US Major League Soccer,2019,442,4231,1,0,0,0,0,17,3,17.6471,0.0000,2,0,0,0,0,20,0,0,53,49.5049504,0,417,10,0,0,18,0,0,0,0,13,13,2,1,0,0,0,0,0,0
D.C. United,,Philadelphia Union,Away,US Major League Soccer,2019,4231,4231,1,0,0,0,0,7,4,57.1429,0.0000,3,0,0,0,0,14,0,0,48,39.7553516,0,501,16,0,1,20,0,0,0,0,9,10,2,0,0,0,0,0,0,0
D.C. United,,CF Montréal,Away,US Major League Soccer,2019,4231,4231,3,0,0,0,0,7,4,57.1429,0.0000,0,0,0,0,0,24,0,0,34,23.7951807,0,336,8,0,0,8,0,0,0,0,10,7,1,0,3,0,0,0,0,0
D.C. United,,Portland Timbers,Away,US Major League Soccer,2019,4231,433,1,0,0,0,0,7,4,57.1429,0.0000,0,0,0,0,0,23,0,0,32,23.0136986,0,302,10,0,0,15,0,0,0,0,12,8,1,0,3,0,0,0,0,0
D.C. United,,Seattle Sounders FC,Home,US Major League Soccer,2019,4231,4231,2,0,0,0,0,12,4,33.3333,0.0000,0,0,0,0,0,17,0,0,51,50.1597444,0,528,16,0,0,11,0,0,0,0,10,8,0,0,3,0,0,0,0,0
D.C. United,,New York Red Bulls,Away,US Major League Soccer,2019,4231,4231,0,0,0,0,0,7,0,0.0000,0.0000,0,0,0,0,0,15,0,0,47,36.4285714,0,373,9,0,0,10,0,0,0,0,17,19,1,0,1,0,0,0,0,0
D.C. United,,Real Salt Lake,Home,US Major League Soccer,2019,4231,4231,5,0,0,0,0,22,7,31.8182,0.0000,0,0,0,0,0,4,0,0,57,62.1951219,0,560,9,0,2,14,0,0,0,0,13,11,3,0,3,0,0,0,0,0
D.C. United,,LA Galaxy,Home,US Major League Soccer,2019,4231,4231,2,0,0,0,0,12,7,58.3333,0.0000,1,0,0,0,0,29,0,0,30,27.7777777,0,232,5,0,2,8,0,0,0,0,9,9,1,0,3,0,0,0,0,0
D.C. United,,Orlando City SC,Away,US Major League Soccer,2019,4231,3412,2,0,0,0,0,4,3,75.0000,0.0000,1,0,0,0,0,16,0,0,46,28.4172661,0,392,16,0,3,8,0,0,0,0,8,15,1,0,3,0,0,0,0,0
D.C. United,,Los Angeles Football Club,Home,US Major League Soccer,2019,4231,4231,0,0,0,0,0,13,4,30.7692,0.0000,4,0,0,0,0,20,0,0,48,52.6548672,0,392,19,0,0,28,0,0,0,0,14,13,3,1,0,0,0,0,0,0
D.C. United,,CF Montréal,Home,US Major League Soccer,2019,4231,433,0,0,0,0,0,7,0,0.0000,0.0000,0,0,0,0,0,11,0,0,53,58.1151832,0,522,13,0,1,15,0,0,0,0,14,11,2,0,1,0,0,0,0,0
D.C. United,,Colorado Rapids,Away,US Major League Soccer,2019,541,4411,3,0,0,0,0,9,4,44.4444,0.0000,2,0,0,0,0,20,0,0,45,31.2030075,0,406,8,0,0,9,0,0,0,0,8,12,1,0,3,0,0,0,0,0
D.C. United,,New York City FC,Home,US Major League Soccer,2019,4231,343,0,0,0,0,0,10,3,30.0000,0.0000,2,0,0,0,0,18,0,0,54,47.9069767,0,457,11,0,1,20,0,0,0,0,13,10,3,0,0,0,0,0,0,0
D.C. United,,Columbus Crew,Away,US Major League Soccer,2019,343,4231,1,0,0,0,0,16,6,37.5000,0.0000,0,0,0,0,0,18,0,0,41,29.9651567,0,377,7,0,0,12,0,0,0,0,8,12,2,0,3,0,0,0,0,0
D.C. United,,Minnesota United FC,Away,US Major League Soccer,2019,343,433,0,0,0,0,0,13,1,7.6923,0.0000,1,0,0,0,0,9,0,0,56,47.5247524,0,599,12,0,0,15,0,0,0,0,13,11,1,0,0,0,0,0,0,0
D.C. United,,Toronto FC,Home,US Major League Soccer,2019,442,4141,1,0,0,0,0,12,4,33.3333,0.0000,1,0,0,0,0,12,0,0,57,59.4059405,0,558,8,0,0,23,0,0,0,0,15,10,1,0,1,0,0,0,0,0
D.C. United,,Columbus Crew,Home,US Major League Soccer,2019,343,4231,3,0,0,0,0,11,5,45.4545,290.9091,1,0,0,0,0,13,0,0,47,36.3309352,0,477,23,0,2,3,0,0,0,0,8,10,1,0,3,0,0,0,0,0
D.C. United,,Sporting Kansas City,Home,US Major League Soccer,2019,4231,433,1,0,0,0,0,15,5,33.3333,0.0000,0,0,0,0,0,11,0,0,50,51.7391304,0,473,10,0,0,26,0,0,0,0,9,14,1,0,3,0,0,0,0,0
D.C. United,,Toronto FC,Away,US Major League Soccer,2019,352,3511,0,0,0,0,0,3,2,66.6667,0.0000,0,0,0,0,0,36,0,0,29,13.0548302,0,302,4,0,1,5,0,0,0,0,5,14,1,0,1,0,0,0,0,0
D.C. United,,Houston Dynamo FC,Away,US Major League Soccer,2019,4231,4231,1,0,0,0,0,11,2,18.1818,0.0000,2,0,0,0,0,20,0,0,45,40.3361344,0,370,5,0,0,12,0,0,0,0,9,16,1,1,0,0,0,0,0,0
D.C. United,,New England Revolution,Away,US Major League Soccer,2019,4231,4141,1,0,0,0,0,21,5,23.8095,0.0000,1,0,0,0,0,14,0,0,68,51.590106,0,584,13,0,0,25,0,0,0,0,13,11,0,0,1,0,0,0,0,0
D.C. United,,Chicago Fire FC,Home,US Major League Soccer,2019,4231,4231,3,0,0,0,0,13,4,30.7692,0.0000,3,0,0,0,0,24,0,0,53,40.3921568,0,504,11,0,0,20,0,0,0,0,6,10,1,0,1,0,0,0,0,0
D.C. United,,San Jose Earthquakes,Home,US Major League Soccer,2019,3421,4141,1,0,0,0,0,15,5,33.3333,0.0000,1,0,0,0,0,22,0,0,46,46.9387755,0,371,7,0,0,14,0,0,0,0,14,11,3,0,1,0,0,0,0,0
D.C. United,,Orlando City SC,Home,US Major League Soccer,2019,343,433,1,0,0,0,0,15,4,26.6667,0.0000,0,0,0,0,0,19,0,0,46,35.6495468,0,430,7,0,0,9,0,0,0,0,13,11,1,0,3,0,0,0,0,0
D.C. United,,Atlanta United,Home,US Major League Soccer,2019,4231,343,2,0,0,0,0,17,6,35.2941,0.0000,0,0,0,0,0,9,0,0,44,39.208633,0,469,6,0,1,24,0,0,0,0,9,6,0,0,3,0,0,0,0,0
D.C. United,,FC Dallas,Away,US Major League Soccer,2019,4231,4231,0,0,0,0,0,7,1,14.2857,0.0000,2,0,0,0,0,23,0,0,42,37.8504672,0,354,7,0,0,13,0,0,0,0,16,18,3,1,0,0,0,0,0,0
D.C. United,,New England Revolution,Home,US Major League Soccer,2019,541,4231,2,0,0,0,0,17,3,17.6471,0.0000,2,0,0,0,0,12,0,0,65,64.1434262,0,555,13,0,0,17,0,0,0,0,8,15,3,0,1,0,0,0,0,0
D.C. United,,New York City FC,Away,US Major League Soccer,2019,4231,4141,0,0,0,0,0,7,3,42.8571,0.0000,0,0,0,0,0,21,0,0,34,30.8641975,0,283,6,0,1,14,0,0,0,0,19,17,2,0,1,0,0,0,0,0
D.C. United,,FC Cincinnati,Away,US Major League Soccer,2019,541,4231,4,0,0,0,0,17,8,47.0588,0.0000,1,0,0,0,0,11,0,0,43,44.7761194,0,365,8,0,1,8,0,0,0,0,15,12,4,0,3,0,0,0,0,0
D.C. United,,Atlanta United,Away,US Major League Soccer,2019,3421,352,0,0,0,0,0,7,3,42.8571,0.0000,2,0,0,0,0,18,0,0,29,19.4852941,0,253,15,0,2,10,0,0,0,0,8,8,0,0,0,0,0,0,0,0
D.C. United,,Chicago Fire FC,Away,US Major League Soccer,2019,343,4231,0,0,0,0,0,10,1,10.0000,0.0000,0,0,0,0,0,14,0,0,53,37.0833333,0,512,14,0,2,11,0,0,0,0,9,7,1,0,1,0,0,0,0,0
D.C. United,,Philadelphia Union,Home,US Major League Soccer,2019,3421,41212,1,0,0,0,0,11,3,27.2727,0.0000,5,0,0,0,0,26,0,0,40,33.4405144,0,370,10,0,4,18,0,0,0,0,11,9,0,1,0,0,0,0,0,0
