Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Inter Miami CF,1,Los Angeles Football Club,Away,US Major League Soccer,2020,4231,433,0,1.194389453,0.4707558,0,0.723633764,16,7,43.7500,0.0000,1,2.31473326,1.2750702,0,0.988088526,21,9,28.56,39,43.6974789,0.8197,293,11,27,0,28,2,11.2941,0.0424,0.0382,14,16,3,0,0,0.6476,2.1494,1.0094462,0.1897462,0.8197
Inter Miami CF,2,D.C. United,Away,US Major League Soccer,2020,343,433,1,1.372090355,1.1008383,0.513005376,0.271252054,15,5,33.3333,0.0000,2,1.379070542,0.4669844,0,0.074772386,8,3,32.025,45,56.048387,0.6997292,394,14,28,1,21,3,14.0714,0.0384,0.0293,20,17,2,1,0,1.3196,1.3796,0.9634196,0.2636904,0.6997292
Inter Miami CF,3,Orlando City SC,Away,US Major League Soccer,2020,541,4231,1,1.205800179,1.0718638,0,0.109783907,8,1,12.5000,0.0000,2,2.02446565,1.9688518,0,0.055613859,10,3,30.45,42,43.8016528,0.4924823,348,10,20,0,17,3,12.4815,0.0282,0.0143,16,12,2,0,0,0.7044,2.0538,0.5809992,0.0885169,0.4924823
Inter Miami CF,4,Philadelphia Union,Away,US Major League Soccer,2020,4231,4312,1,1.0171082,0.66033,0,0.3567783,10,4,40.0000,0.0000,2,0.33478849,0.2098394,0.05951846,0.1249491,8,3,35.1225,55,54.2986425,0.6733466,456,8,28,3,22,4,11.9583,0.0191,0.0164,19,16,1,1,0,2.0316,0.6408,1.0958617,0.4225151,0.6733466
Inter Miami CF,5,New York City FC,Home,US Major League Soccer,2020,4231,4231,0,0.251315557,0.1590294,0,0.092286101,8,2,25.0000,0.0000,1,0.890546618,0.6723499,0,0.131394982,7,2,37.695,41,44.5714285,0.252128,266,5,18,0,18,1,9.5,0.0192,0.0016,19,21,1,1,0,0.6268,2.0122,-0.0258689,-0.2779969,0.252128
Inter Miami CF,6,Orlando City SC,Home,US Major League Soccer,2020,4231,4231,3,1.02616238,0.8182934,0.031394277,0.207869064,11,4,36.3636,0.0000,2,0.922878205,0.9023937,0,0,12,5,36.33,35,41.2698412,0.3882923,317,16,15,0,17,0,13.2121,0.1037,0.006,12,17,4,0,3,1.4714,1.19,0.6645296,0.2762373,0.3882923
Inter Miami CF,7,Atlanta United,Home,US Major League Soccer,2020,4231,4231,2,0.843341313,0.7843386,0.079870142,0.059002731,8,3,37.5000,0.0000,1,1.820144171,0.8438756,0,0.047209363,13,5,27.3,35,37.8640776,0.3023898,238,9,21,0,14,0,12.44,0.0602,0.0579,8,21,3,0,3,0.5612,2.201,0.5466351,0.2442453,0.3023898
Inter Miami CF,8,Nashville SC,Away,US Major League Soccer,2020,4231,4231,0,1.525956763,0.6641842,0,0.78340117,19,5,26.3158,0.0000,1,1.135585313,0.2999737,0,0.053862631,5,2,38.6925,53,53.6945812,0.5809859,404,7,28,1,32,3,7.5135,0.0329,0.0305,18,17,3,0,0,1.6128,1.0632,0.7971949,0.216209,0.5809859
Inter Miami CF,9,Atlanta United,Away,US Major League Soccer,2020,4231,4141,0,1.006822,0.2653157,0,0.7415063,10,3,30.0000,0.0000,0,0.41650951,0.404409,0,0.0121005,5,1,42.105,40,53.5087719,0.4267396,347,12,28,2,28,1,11.3158,0.035,0.0088,16,22,3,0,1,1.8598,0.7774,0.5835666,0.156827,0.4267396
Inter Miami CF,10,Nashville SC,Home,US Major League Soccer,2020,4231,4231,0,1.844217053,1.7200355,0.026536249,0.020293513,13,5,38.4615,0.0000,0,1.639925897,0.8567139,0,0.78321204,16,4,43.05,54,57.1428571,0.5807788,433,14,27,1,28,4,9,0.051,0.0279,11,11,1,0,1,1.5322,1.1962,0.5805797,-0.0001991,0.5807788
Inter Miami CF,12,Orlando City SC,Away,US Major League Soccer,2020,4231,4231,1,0.560753425,0.2682588,0.053839494,0.292494687,12,3,25.0000,91.6667,2,0.4809537,0.2526352,0,0.028212802,9,3,36.855,46,46.8085106,0.2563923,322,8,21,0,28,0,12.72,0.0643,0.0575,20,14,4,0,0,1.3422,1.1886,0.340623,0.0818521,0.2563923
Inter Miami CF,13,Atlanta United,Away,US Major League Soccer,2020,4231,4141,2,2.218780734,1.5817031,0,0.637077697,14,5,35.7143,0.0000,1,0.70978552,0.6626389,0,0.047146719,8,3,32.445,43,54.6816479,0.8390343,397,5,30,0,16,4,17.5,0.0374,0.0316,8,11,2,0,3,2.4762,0.3582,1.1512453,0.3120489,0.8390343
Inter Miami CF,14,New York Red Bulls,Home,US Major League Soccer,2020,4231,442,1,1.397064319,0.7435073,0,0.653556941,14,4,28.5714,0.0000,4,3.158053315,1.8608102,0,0.515494175,10,5,38.955,65,62.1276595,0.4828683,517,11,25,0,12,1,7.1667,0.0453,0.0336,13,13,2,0,0,0.4248,2.4414,0.6789793,0.196111,0.4828683
Inter Miami CF,15,Philadelphia Union,Away,US Major League Soccer,2020,4231,41212,0,1.743223957,0.5363333,0,0.425141634,16,3,18.7500,0.0000,3,1.524502482,1.5245026,0,0,7,5,31.605,59,51.4056224,0.5157032,451,9,25,0,36,5,11.2,0.0159,0.0081,15,10,1,0,0,1.5224,1.1768,0.7964841,0.2807809,0.5157032
Inter Miami CF,16,New York City FC,Home,US Major League Soccer,2020,4141,4231,2,1.2031384,0.7394822,0,0.4636562,13,5,38.4615,0.0000,3,1.60002514,1.6000251,0.892894506,0,9,5,44.52,59,67.9104477,0.9150088,501,12,35,0,34,0,9.125,0.0312,0.0251,17,11,3,0,0,1.0016,1.724,0.8880355,-0.0280506,0.9150088
Inter Miami CF,17,New York Red Bulls,Away,US Major League Soccer,2020,4141,4231,2,0.728998807,0.5482074,0,0.092192428,9,4,44.4444,0.0000,1,1.795573106,0.8728636,0,0.922709415,14,5,19.215,43,42.4242424,0.5013926,340,9,23,0,12,4,12.4167,0.0496,0.0403,16,9,1,0,3,0.5514,2.2122,0.5309957,0.0296031,0.5013926
Inter Miami CF,17,Houston Dynamo FC,Home,US Major League Soccer,2020,3421,442,1,1.846302393,0.9593315,0,0.105221858,14,4,28.5714,0.0000,0,0.564058836,0.4195932,0.037519466,0.120861107,10,2,30.87,56,56.3492063,0.2950683,509,8,21,0,24,3,11.7083,0.0546,0.029,14,14,1,0,3,2.4188,0.3884,0.2686873,-0.026381,0.2950683
Inter Miami CF,18,Atlanta United,Home,US Major League Soccer,2020,433,4231,1,1.7403071,1.54435,0.03915162,0.010555521,21,6,28.5714,0.0000,1,0.471279608,0.4110664,0,0.060213255,0,1,47.67,55,64.5631067,0.6529872,454,8,21,1,18,4,9.0588,0.0221,0.0122,17,18,1,0,1,2.3442,0.4296,0.839727,0.1863047,0.6529872
Inter Miami CF,19,CF Montréal,Away,US Major League Soccer,2020,433,4222,1,0.908786923,0.802239,0,0.084635587,13,4,30.7692,0.0000,2,1.53599276,1.4840019,0,0.051990853,16,8,30.03,49,49.1935483,0.3432284,481,10,15,0,28,2,20.2,0.0659,0.0442,7,5,2,1,0,0.8226,1.9068,0.5309047,0.1876763,0.3432284
Inter Miami CF,20,Orlando City SC,Home,US Major League Soccer,2020,4231,442,2,2.276825534,1.3043187,0,0.870982105,20,4,20.0000,0.0000,1,1.110001145,0.5501835,0,0.537439844,8,2,37.065,49,51.980198,0.3867613,353,6,31,0,31,4,9.1563,0.0404,0.0168,11,14,5,0,3,2.174,0.6146,0.4065127,0.0187281,0.3867613
Inter Miami CF,21,FC Dallas,Away,US Major League Soccer,2020,4231,4231,1,1.298729953,0.9795779,0,0.319152063,10,6,60.0000,0.0000,2,2.567768465,1.1533929,0,0.584882878,12,6,30.03,44,47.9400749,0.4120121,387,15,18,1,26,2,13.6071,0.1468,0.1412,13,13,4,0,0,0.5162,2.3006,0.6041766,0.1921645,0.4120121
Inter Miami CF,23,Toronto FC,Away,US Major League Soccer,2020,541,4231,1,0.621582283,0.5568384,0,0.064743877,12,2,16.6667,0.0000,2,1.540015633,0.6908333,0,0.067433365,9,3,36.96,42,52.6119402,0.6233672,404,12,21,0,20,1,15.1724,0.0306,0.0179,9,13,2,0,0,0.5092,2.2564,0.7149906,0.0916234,0.6233672
Inter Miami CF,24,FC Cincinnati,Home,US Major League Soccer,2020,4231,4231,2,1.117130106,0.7207951,0,0.396334989,13,4,30.7692,0.0000,1,0.570096464,0.2257039,0,0.299699413,12,4,33.4425,35,46.875,0.4127903,315,5,21,3,16,3,18.4231,0.0038,0.002,10,17,0,1,3,1.8246,0.8532,0.5589144,0.1461241,0.4127903
