Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
CF Montréal,,Chicago Fire FC,Away,US Major League Soccer,2017,433,433,2,0,0,0,0,10,4,40.0000,0.0000,2,0,0,0,0,12,0,0,40,42.3280423,0,349,10,0,0,10,0,0,0,0,14,20,4,1,1,0,0,0,0,0
CF Montréal,,New England Revolution,Away,US Major League Soccer,2017,532,4231,0,0,0,0,0,10,2,20.0000,0.0000,1,0,0,0,0,11,0,0,54,47.8599221,0,495,6,0,1,18,0,0,0,0,12,12,1,0,0,0,0,0,0,0
CF Montréal,,Minnesota United FC,Home,US Major League Soccer,2017,433,4231,2,0,0,0,0,17,5,29.4118,0.0000,3,0,0,0,0,10,0,0,54,59.7345132,0,416,8,0,1,20,0,0,0,0,6,20,3,0,0,0,0,0,0,0
CF Montréal,,Toronto FC,Away,US Major League Soccer,2017,3412,532,5,0,0,0,0,15,5,33.3333,493.3333,3,0,0,0,0,17,0,0,35,27.244582,0,350,5,0,1,6,0,0,0,0,7,5,0,0,3,0,0,0,0,0
CF Montréal,,Atlanta United,Away,US Major League Soccer,2017,3412,4231,0,0,0,0,0,3,2,66.6667,0.0000,2,0,0,0,0,15,0,0,46,43.438914,0,404,4,0,0,8,0,0,0,0,15,15,0,0,0,0,0,0,0,0
CF Montréal,,New York City FC,Away,US Major League Soccer,2017,4231,433,1,0,0,0,0,13,5,38.4615,0.0000,1,0,0,0,0,18,0,0,43,36.7567567,0,393,7,0,1,12,0,0,0,0,11,19,1,0,1,0,0,0,0,0
CF Montréal,,New York City FC,Home,US Major League Soccer,2017,3412,4231,0,0,0,0,0,10,3,30.0000,0.0000,1,0,0,0,0,22,0,0,42,34.1549295,0,356,4,0,0,16,0,0,0,0,14,15,1,0,0,0,0,0,0,0
CF Montréal,,Colorado Rapids,Away,US Major League Soccer,2017,4231,4231,1,0,0,0,0,18,4,22.2222,0.0000,2,0,0,0,0,10,0,0,68,66.6666666,0,534,8,0,0,15,0,0,0,0,9,6,0,1,0,0,0,0,0,0
CF Montréal,,New England Revolution,Home,US Major League Soccer,2017,433,4231,2,0,0,0,0,19,9,47.3684,0.0000,3,0,0,0,0,14,0,0,54,49.6183206,0,474,11,0,2,14,0,0,0,0,6,9,3,0,0,0,0,0,0,0
CF Montréal,,Toronto FC,Home,US Major League Soccer,2017,433,532,1,0,0,0,0,14,6,42.8571,0.0000,3,0,0,0,0,15,0,0,42,47.107438,0,330,12,0,0,19,0,0,0,0,15,8,3,0,0,0,0,0,0,0
