Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
New York City FC,1,D.C. United,Away,US Major League Soccer,2021,4231,541,1,1.193017758,1.0152414,0,0.063384844,12,4,33.3333,0.0000,2,0.398930655,0.2605698,0,0.138360889,11,4,30.24,62,57.0281124,0.7495362,512,10,18,1,15,4,7.0909,0.0759,0.0603,13,18,2,0,0,2.1922,0.5398,0.8226352,0.073099,0.7495362
New York City FC,2,FC Cincinnati,Home,US Major League Soccer,2021,4231,4411,5,2.065566791,0.8920578,0,1.125536472,22,10,45.4545,0.0000,0,2.040268353,0.3330772,0,1.707191128,13,5,43.7325,53,68.115942,0.66937,456,9,30,0,19,3,8.7317,0.0762,0.0495,14,18,2,0,3,1.8326,0.8942,0.6655301,-0.0038399,0.66937
New York City FC,3,Philadelphia Union,Away,US Major League Soccer,2021,3142,41212,2,2.6994221,2.3763729,0,0.3230491,23,7,30.4348,0.0000,0,0.39911621,0.0386632,0,0.360453,4,0,44.4675,67,78.7037037,1.4586551,690,17,44,0,20,8,7.9429,0.0448,0.0182,9,12,3,0,3,2.7906,0.1332,1.7507422,0.2920871,1.4586551
New York City FC,4,Orlando City SC,Away,US Major League Soccer,2021,3412,442,1,1.584928519,0.7584374,0,0.044742029,9,4,44.4444,0.0000,1,1.08875438,0.5966126,0,0.492141778,11,5,29.925,43,47.9069767,0.3628236,384,6,15,1,10,1,12.2188,0.0503,0.0362,12,15,1,0,1,1.8558,0.8772,0.5388469,0.1760233,0.3628236
New York City FC,5,Toronto FC,Home,US Major League Soccer,2021,3412,4231,1,1.7478207,0.6338877,0,0.972069353,13,6,46.1538,0.0000,1,0.41842333,0.3407677,0,0.077655645,7,3,34.0725,59,48.9177489,0.8199964,460,5,23,1,12,2,8.5385,0.0578,0.0424,12,16,2,0,1,2.4682,0.3514,1.0629862,0.2429898,0.8199964
New York City FC,6,Columbus Crew,Home,US Major League Soccer,2021,3412,4231,1,1.325768337,1.2760821,0.09421657,0.049686264,17,4,23.5294,0.0000,2,0.378855071,0.2384968,0,0.018921645,10,3,37.275,43,52.3364485,1.0506733,389,7,28,1,14,4,12.6774,0.0185,0.0103,11,16,2,0,0,2.169,0.5622,1.3573956,0.3067223,1.0506733
New York City FC,7,Los Angeles Football Club,Away,US Major League Soccer,2021,3412,433,2,0.7042544,0.2062312,0,0.4980232,10,4,40.0000,0.0000,1,1.81450778,1.7239536,0,0.0905542,10,5,33.4425,41,34.137931,0.4010763,411,12,12,0,13,2,10.7895,0.0498,0.0415,11,11,1,1,3,0.481,2.2912,0.5739818,0.1729055,0.4010763
New York City FC,8,New England Revolution,Home,US Major League Soccer,2021,4312,4411,2,2.886541068,1.1290865,0,0.975705557,18,9,50.0000,0.0000,3,1.696395442,1.1682189,0,0.528176576,8,5,32.76,51,53.7777777,0.6329422,416,7,33,4,20,0,10.5667,0.0893,0.0821,9,16,3,0,0,2.1318,0.6708,0.8551461,0.2222039,0.6329422
New York City FC,9,Atlanta United,Home,US Major League Soccer,2021,41212,433,1,1.663411047,1.5661944,0,0.034947168,18,7,38.8889,0.0000,0,0.562955789,0.5036184,0,0.032853013,6,3,40.5825,47,68.7179487,0.5466625,391,12,27,3,9,5,11.2941,0.016,0.0083,17,19,0,0,3,2.2276,0.5302,0.8008415,0.254179,0.5466625
New York City FC,10,D.C. United,Home,US Major League Soccer,2021,4231,343,2,1.6616321,1.3354128,0.424132556,0.3262193,14,7,50.0000,0.0000,1,0.88236023,0.3809137,0,0.5014465,8,4,39.375,64,63.9705882,0.5949827,597,17,44,0,12,4,8.4516,0.1751,0.1621,16,9,0,0,3,1.9714,0.7666,0.7660507,0.171068,0.5949827
New York City FC,12,CF Montréal,Away,US Major League Soccer,2021,3421,3412,1,0.616210805,0.5839587,0,0.032252086,10,4,40.0000,0.0000,2,1.713124041,0.8210348,0,0.024766797,8,4,45.5175,59,73.7089201,0.5127653,555,8,22,4,17,3,9.6571,0.0669,0.0645,10,14,4,0,0,0.4272,2.3586,0.6065396,0.0937743,0.5127653
New York City FC,13,Columbus Crew,Away,US Major League Soccer,2021,4231,4231,1,2.048559187,1.5643339,0,0.401124297,21,7,33.3333,0.0000,2,0.679106088,0.5521731,0,0.032216199,6,3,56.175,60,69.9604743,0.7088833,469,11,39,1,26,4,6.675,0.1799,0.1321,11,15,4,0,0,2.2974,0.4842,1.158956,0.4500727,0.7088833
New York City FC,14,CF Montréal,Home,US Major League Soccer,2021,4231,3412,1,2.2296951,2.0973904,0.109062023,0.1323048,17,5,29.4118,0.0000,0,0.27910271,0.2585985,0,0.0205042,7,1,33.075,44,55.721393,0.6937243,385,6,40,0,19,0,11.8824,0.0267,0.0178,10,11,1,0,3,2.7426,0.1584,1.059095,0.3653707,0.6937243
New York City FC,15,Orlando City SC,Home,US Major League Soccer,2021,4231,4231,5,4.9019233,4.6497418,1.00660339,0.2521815,23,15,65.2174,0.0000,0,0.61385346,0.6138535,0,0,5,3,41.265,61,70.3517587,1.2025026,498,12,40,7,18,2,8.0278,0.0904,0.0648,10,15,1,0,3,2.9728,0.0166,1.5464383,0.3439357,1.2025026
New York City FC,16,Columbus Crew,Home,US Major League Soccer,2021,4231,4231,4,4.413241656,4.2521208,0,0.161120983,24,9,37.5000,0.0000,1,1.227947225,0.3956106,0,0.021848315,9,1,34.2825,44,51.5306122,1.2869871,365,7,39,0,15,2,12,0.0412,0.0274,3,15,4,0,3,2.8066,0.1264,1.3087597,0.0217726,1.2869871
New York City FC,17,Chicago Fire FC,Away,US Major League Soccer,2021,4231,352,0,1.332226,1.2393205,0,0.0929055,15,4,26.6667,0.0000,0,0.23050388,0.2028689,0,0.027635,5,1,30.765,47,48.2517482,1.0137404,442,8,30,0,11,4,8.641,0.042,0.0286,6,15,1,1,1,2.3208,0.4242,1.106787,0.0930466,1.0137404
New York City FC,18,Toronto FC,Away,US Major League Soccer,2021,4231,4231,2,1.1907674,1.1642837,0,0.0264837,15,5,33.3333,0.0000,2,2.18696166,1.6754738,0.580011941,0.5114878,10,6,30.765,52,41.4035087,0.8228918,474,15,19,1,4,0,7.3,0.2589,0.0487,6,17,1,0,1,0.696,2.0958,1.0182721,0.1953803,0.8228918
New York City FC,19,Inter Miami CF,Home,US Major League Soccer,2021,4231,433,2,2.376765268,1.0509515,0.447472423,0.544064853,12,3,25.0000,0.0000,0,0.232047107,0.1927373,0,0.019331783,7,4,39.165,53,57.3529411,0.3416155,445,8,24,2,13,2,7.3333,0.0361,0.0158,15,17,2,0,3,2.832,0.1002,0.5008093,0.1591938,0.3416155
New York City FC,20,Philadelphia Union,Away,US Major League Soccer,2021,4231,4312,0,0.896400914,0.700308,0,0.112271767,15,2,13.3333,0.0000,1,0.986840976,0.874631,0,0.112209978,7,2,30.9225,59,55.8704453,0.5504934,446,4,29,1,19,6,8.4231,0.0257,0.0188,9,16,2,0,0,1.1692,1.4962,1.0024111,0.4515862,0.5504934
New York City FC,21,New York Red Bulls,Away,US Major League Soccer,2021,3421,4231,1,1.138607312,0.8568811,0,0.281726176,12,6,50.0000,0.0000,1,1.332877647,0.4247869,0,0.126341825,15,5,39.06,49,49.4791666,0.5560876,338,10,21,0,17,6,8.3143,0.0519,0.0399,20,23,2,2,1,1.1578,1.5352,0.6125278,0.0564402,0.5560876
New York City FC,22,New England Revolution,Home,US Major League Soccer,2021,4231,442,2,2.304209602,2.1306289,0,0.173580863,19,5,26.3158,0.0000,0,1.465439292,1.2915021,0.150461588,0.094784144,12,1,33.285,52,54.0772532,0.7058473,471,5,26,1,22,5,10.125,0.0639,0.048,7,17,5,0,3,1.8704,0.8834,1.4916788,0.7858717,0.7058473
New York City FC,23,Nashville SC,Away,US Major League Soccer,2021,4231,352,1,2.3930894,2.1955801,0,0.1975093,24,7,29.1667,95.8333,3,1.105587,1.0092014,0.133416247,0.0963856,14,7,34.86,57,74.5819397,1.1923567,535,9,31,4,15,4,12,0.0408,0.0263,8,7,3,1,0,2.23,0.5896,1.5387434,0.3463867,1.1923567
New York City FC,24,New England Revolution,Away,US Major League Soccer,2021,4231,4312,1,0.9293391,0.8030166,0,0.1263225,10,3,30.0000,0.0000,2,1.88555579,1.7644088,0.477694929,0.121147,12,6,30.345,42,46.1206896,0.6211648,412,8,17,2,14,1,17.5,0.0158,0.0096,12,17,2,1,0,0.6812,2.0726,0.8590252,0.2378604,0.6211648
New York City FC,25,FC Dallas,Home,US Major League Soccer,2021,4231,4231,3,2.3270434,2.1564938,0,0.1705495,15,6,40.0000,0.0000,3,2.07802842,1.594515,0,0.4835135,11,6,40.005,59,67.6056338,0.9355744,512,11,49,1,20,5,8.75,0.0276,0.0135,12,10,0,1,1,1.528,1.2166,1.1292839,0.1937095,0.9355744
New York City FC,26,FC Cincinnati,Away,US Major League Soccer,2021,4231,4231,2,1.541501284,0.5241432,0,0.23560899,13,4,30.7692,0.0000,1,1.213013658,1.0226188,0,0.190394901,9,3,43.575,57,69.7211155,0.3786481,455,6,26,0,15,2,8.5455,0.0765,0.0203,13,13,5,0,3,1.634,1.0676,0.6173234,0.2386753,0.3786481
New York City FC,27,New York Red Bulls,Home,US Major League Soccer,2021,4231,343,0,1.476212949,0.5483492,0,0.855605876,14,4,28.5714,0.0000,1,1.279663371,0.8347653,0,0.357332949,16,6,32.3925,65,48.6607142,0.6909001,503,5,28,0,18,3,8.8696,0.1454,0.0396,18,14,2,0,0,1.5444,1.1718,0.8013328,0.1104327,0.6909001
New York City FC,28,Chicago Fire FC,Away,US Major League Soccer,2021,4231,3142,0,0.321659978,0.1603404,0,0.16131955,10,2,20.0000,0.0000,2,1.382450702,0.7612109,0,0.621239692,12,5,41.7375,52,49.2424242,0.6105505,492,9,25,0,24,1,9.0513,0.0503,0.037,11,13,2,0,0,0.4774,2.2774,0.8309613,0.2206852,0.6105505
