Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
New York Red Bulls,1,FC Cincinnati,Home,US Major League Soccer,2020,442,4141,3,2.2184501,2.0754459,0.048803784,0.1430043,15,6,40.0000,0.0000,2,2.33696597,2.2023895,0.609632917,0.1345765,11,5,36.015,44,59.589041,0.8475606,443,11,19,0,12,4,12.0769,0.1144,0.0723,6,10,2,0,3,1.3972,1.3594,1.0390269,0.1914663,0.8475606
New York Red Bulls,2,Real Salt Lake,Away,US Major League Soccer,2020,442,4231,1,0.149142524,0.1491425,0,0,4,2,50.0000,0.0000,1,3.311107536,0.7626096,0,2.525061356,21,5,28.245,37,54.6728971,0.2345142,279,11,7,2,11,2,14.0345,0.1367,0.1205,14,14,2,0,1,0.0344,2.9354,0.2468522,0.012338,0.2345142
New York Red Bulls,3,Atlanta United,Away,US Major League Soccer,2020,442,3421,1,1.660211308,1.3665207,0,0.293690592,6,4,66.6667,0.0000,0,1.209219289,0.872893,0,0.313847835,14,4,31.3425,31,50.9433962,0.4187332,262,2,14,2,17,1,15.0313,0.0162,0.0055,11,13,1,0,3,1.7374,0.9886,0.4743835,0.0556503,0.4187332
New York Red Bulls,4,Columbus Crew,Away,US Major League Soccer,2020,442,4231,0,0.2687945,0.1951439,0,0.0736504,7,0,0.0000,0.0000,2,1.39593834,1.3636231,0,0.0323151,11,3,36.54,48,58.6206896,0.6645964,423,6,19,0,27,1,8.975,0.1473,0.1438,13,17,2,0,0,0.403,2.3536,0.7149514,0.050355,0.6645964
New York Red Bulls,5,FC Cincinnati,Away,US Major League Soccer,2020,442,532,0,1.216557196,0.9571194,0,0.180492312,19,4,21.0526,0.0000,2,0.253180548,0.2531805,0,0,5,2,50.1375,68,85.3260869,0.8655097,603,7,38,1,51,3,8.5758,0.0628,0.0549,13,13,1,0,0,2.1802,0.52,1.2055664,0.3400567,0.8655097
New York Red Bulls,6,New York City FC,Home,US Major League Soccer,2020,442,532,1,0.4360338,0.3953759,0,0.0406577,14,7,50.0000,0.0000,0,0.86734708,0.6339413,0,0.2334058,8,2,38.64,46,60.4477611,0.3596359,444,10,10,1,14,3,10.875,0.0365,0.0259,15,4,0,0,3,0.85,1.7698,0.5317697,0.1721338,0.3596359
New York Red Bulls,7,Philadelphia Union,Away,US Major League Soccer,2020,442,41212,0,0.3106662,0.2139544,0,0.0967118,8,3,37.5000,0.0000,1,1.72490989,1.641759,0,0.0831509,10,4,42.315,48,58.5106382,0.6595472,406,12,23,1,18,1,9.5789,0.0352,0.0109,10,12,0,0,0,0.2942,2.5376,0.8593063,0.1997591,0.6595472
New York Red Bulls,8,New England Revolution,Away,US Major League Soccer,2020,442,41212,1,1.248864714,1.2058181,0.172710024,0,8,4,50.0000,0.0000,1,1.588138696,1.3845202,0,0.203618487,14,5,28.875,40,49.3055555,0.4103406,333,12,19,0,16,2,12.9355,0.0627,0.0315,9,7,0,1,1,1.103,1.6178,0.5531732,0.1428326,0.4103406
New York Red Bulls,9,D.C. United,Home,US Major League Soccer,2020,4231,3421,0,1.400695536,1.1825706,0,0.175169792,17,4,23.5294,0.0000,1,0.745673062,0.5726064,0.430442721,0.173066691,5,3,46.6725,59,78.3088235,0.5078628,457,9,26,2,30,3,10.5862,0.1457,0.1375,13,10,1,0,0,1.9154,0.8036,0.5959135,0.0880507,0.5078628
New York Red Bulls,10,Philadelphia Union,Home,US Major League Soccer,2020,4231,4132,0,1.0640657,1.0640657,0,0,7,0,0.0000,0.0000,3,1.13651695,1.1365171,0,0,9,5,35.8575,55,64.9842271,0.4230747,473,14,21,0,30,5,11.4138,0.0658,0.0477,10,10,0,0,0,1.2678,1.3932,0.584995,0.1619203,0.4230747
New York Red Bulls,12,D.C. United,Away,US Major League Soccer,2020,352,4312,2,2.2036295,1.8262641,0.019509975,0.3773654,10,5,50.0000,0.0000,0,1.20105327,0.7739899,0.603710532,0.4270633,8,5,32.13,38,38.6986301,0.5396491,396,3,17,0,15,4,17.4483,0.1065,0.104,6,11,2,0,3,2.2896,0.4848,0.739889,0.2002399,0.5396491
New York Red Bulls,13,FC Cincinnati,Home,US Major League Soccer,2020,3412,3412,0,1.246718236,1.1676486,0,0.0790697,10,1,10.0000,0.0000,1,2.133745005,1.2564441,0.074309476,0.118918412,14,4,34.86,45,61.5107913,0.3926598,396,10,13,0,20,1,14.6786,0.586956522,0.434782609,9,13,3,0,0,1.2774,1.4322,0.4785536,0.0858938,0.3926598
New York Red Bulls,14,Inter Miami CF,Away,US Major League Soccer,2020,442,4231,4,3.158053315,1.8608102,0,0.515494175,10,5,50.0000,0.0000,1,1.397064319,0.7435073,0,0.653556941,14,4,31.29,35,37.8723404,0.3440224,271,15,19,2,14,2,15.8462,0.0615,0.0153,12,13,0,0,3,2.4414,0.4248,0.557696,0.2136736,0.3440224
New York Red Bulls,15,CF Montréal,Home,US Major League Soccer,2020,4231,532,4,2.932414538,1.8976715,0.040235408,0.943817008,14,5,35.7143,0.0000,1,0.376886642,0.3264879,0.029183779,0.050398691,7,4,35.595,38,47.6793248,0.9754226,312,6,21,0,20,1,15.7407,0.0354,0.0181,10,9,0,0,3,2.8654,0.0796,1.0861616,0.110739,0.9754226
New York Red Bulls,16,Orlando City SC,Away,US Major League Soccer,2020,4231,4231,1,1.0618134,0.9967363,0.037207108,0.0650771,12,3,25.0000,0.0000,3,2.21879907,2.1928705,1.031619161,0.0259286,8,5,38.115,46,61.9402985,0.4426356,414,9,16,1,28,5,15.8846,0.0751,0.0622,11,9,1,0,0,0.5578,2.2312,0.6324113,0.1897757,0.4426356
New York Red Bulls,17,Inter Miami CF,Home,US Major League Soccer,2020,4231,4141,1,1.795573106,0.8728636,0,0.922709415,14,5,35.7143,0.0000,2,0.728998807,0.5482074,0,0.092192428,9,4,36.015,57,57.5757575,0.8767327,433,7,29,0,29,4,6.7949,0.0968,0.0714,8,16,3,0,0,2.2122,0.5514,1.009872,0.1331393,0.8767327
New York Red Bulls,17,Atlanta United,Away,US Major League Soccer,2020,4231,4231,1,0.251105798,0.2025016,0.034336392,0.048604324,6,2,33.3333,0.0000,0,0.278310921,0.19471,0,0.040291749,8,1,27.5625,44,45.4166666,0.3037466,404,12,11,0,8,1,16.24,0.0392,0.031,11,13,2,0,3,1.16,1.22,0.5002049,0.1976895,0.3037466
New York Red Bulls,18,Toronto FC,Away,US Major League Soccer,2020,442,4231,1,0.717628187,0.6273011,0,0.090327095,10,4,40.0000,0.0000,1,1.791359666,0.7557822,0.158371385,0.253828354,15,6,35.49,44,62.012987,0.6322571,392,17,15,0,27,3,12.0286,0.0762,0.0314,10,14,3,0,1,0.5116,2.2684,0.6915568,0.0592997,0.6322571
New York Red Bulls,19,Orlando City SC,Home,US Major League Soccer,2020,4231,4231,1,0.672354555,0.3672525,0,0.191182902,14,4,28.5714,0.0000,1,1.61360851,0.7410745,0.103586964,0.090784974,9,3,40.005,59,72.8937728,0.4700857,495,10,21,0,29,5,9.5806,0.1155,0.0864,14,15,1,0,1,0.585,2.19,0.7260307,0.255945,0.4700857
New York Red Bulls,20,Chicago Fire FC,Away,US Major League Soccer,2020,442,4231,2,2.429736269,2.3426962,0,0.087040041,9,4,44.4444,0.0000,2,2.390532619,2.0226923,0,0.341713678,17,6,36.855,44,51.6605166,0.6002237,356,7,21,0,18,1,8.5909,0.0257,0.0139,17,21,2,0,1,0.5314,2.2258,0.3017492,-0.2984745,0.6002237
New York Red Bulls,21,New England Revolution,Home,US Major League Soccer,2020,4231,4231,1,1.0040288,0.4647238,0.075304083,0.539305,13,3,23.0769,0.0000,0,0.65450079,0.6336553,0.053369846,0.0208453,12,2,26.775,43,48.1651376,0.3335239,344,8,21,1,15,1,11.4375,0.0314,0.0151,15,16,0,0,3,1.6594,0.9862,0.4353503,0.1018264,0.3335239
New York Red Bulls,23,New York City FC,Away,US Major League Soccer,2020,4231,4231,2,0.806484724,0.2882725,0,0.518212214,10,5,50.0000,0.0000,5,2.473449451,1.4422132,0,0.226600191,18,10,28.455,43,50.1694915,0.4408971,325,7,22,0,20,5,10.0606,0.0677,0.0396,13,12,1,0,0,0.3416,2.5064,0.1482382,-0.2926589,0.4408971
