Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Orlando City SC,1,Atlanta United,Home,US Major League Soccer,2021,442,433,0,1.3880456,1.1704127,0,0.2176329,11,3,27.2727,0.0000,0,1.01916897,0.4425421,0,0.5766268,11,3,22.68,40,48.4848484,0.5693509,340,11,21,0,8,4,30.5385,0.0193,0.0166,12,9,0,0,1,1.6778,1.022,0.8544199,0.285069,0.5693509
Orlando City SC,2,Sporting Kansas City,Away,US Major League Soccer,2021,433,433,1,1.120085207,1.0649529,0,0.055132181,11,4,36.3636,0.0000,1,0.556706087,0.2957434,0,0.199428293,9,5,29.715,60,48.0582524,0.3376122,517,8,24,0,12,0,15.125,0.0226,0.0168,14,12,2,0,1,1.8996,0.7914,0.6374918,0.2998796,0.3376122
Orlando City SC,3,FC Cincinnati,Home,US Major League Soccer,2021,4231,4411,3,2.5402806,2.2460014,0,0.2942792,22,5,22.7273,0.0000,0,0.6911054,0.3735516,0,0.3175538,7,0,42.42,52,63.1313131,0.5411946,509,8,39,0,20,3,13.4828,0.0957,0.075,10,16,2,0,3,2.5716,0.2982,0.8189241,0.2777295,0.5411946
Orlando City SC,4,New York City FC,Home,US Major League Soccer,2021,442,3412,1,1.08875438,0.5966126,0,0.492141778,11,5,45.4545,0.0000,1,1.584928519,0.7584374,0,0.044742029,9,4,32.97,57,52.0930232,0.4459206,505,5,24,0,22,2,10.2414,0.0204,0.0039,15,13,1,0,1,0.8772,1.8558,0.6465362,0.2006156,0.4459206
Orlando City SC,5,D.C. United,Away,US Major League Soccer,2021,4231,3142,1,0.3510342,0.2356416,0,0.1153926,6,1,16.6667,0.0000,0,0.56394683,0.349333,0.07557074,0.2146139,13,1,27.195,45,35.323383,0.4164928,356,4,12,0,7,3,9.7419,0.0429,0.0066,20,15,4,0,3,1.0454,1.469,0.4448814,0.0283886,0.4164928
Orlando City SC,6,Toronto FC,Home,US Major League Soccer,2021,4231,4231,1,1.6403756,1.5605573,0,0.0798183,10,5,50.0000,0.0000,0,1.1420681,1.0571215,0,0.0849465,19,6,27.51,50,43.1623931,0.4576813,444,8,8,1,11,4,9.6875,0.0289,0.0238,9,19,1,0,3,1.7728,0.9664,0.6269298,0.1692485,0.4576813
Orlando City SC,7,New York Red Bulls,Away,US Major League Soccer,2021,4231,41212,1,0.615285976,0.5570846,0,0.058201335,6,2,33.3333,0.0000,2,1.304804272,1.0310869,0.113887074,0.171723734,14,7,23.625,58,46.031746,0.3671651,509,14,24,1,14,5,8.5714,0.0313,0.0182,19,13,4,0,0,0.7432,1.9624,0.5300667,0.1629016,0.3671651
Orlando City SC,8,Toronto FC,Away,US Major League Soccer,2021,4231,4231,3,1.256606085,1.1168961,0,0.099581005,12,4,33.3333,0.0000,2,2.555218011,1.9541661,0,0.601051902,15,4,17.85,48,44.117647,0.5382691,477,4,29,1,25,2,17.8333,0.0672,0.0659,5,13,3,0,3,0.523,2.3002,0.6130931,0.074824,0.5382691
Orlando City SC,9,San Jose Earthquakes,Home,US Major League Soccer,2021,442,4231,5,3.244566851,2.4271203,0.985065147,0.035697561,18,8,44.4444,0.0000,0,0.470935326,0.376729,0,0.094206385,12,1,27.405,45,50.8695652,0.7877454,448,10,33,8,10,3,23.7647,0.0171,0.011,10,11,0,0,3,2.8622,0.0884,1.208797,0.4210516,0.7877454
Orlando City SC,10,Inter Miami CF,Away,US Major League Soccer,2021,4231,4231,2,0.793423375,0.761356,0,0,11,6,54.5455,0.0000,1,0.490055065,0.4454649,0,0,10,3,29.19,53,41.0628019,0.4374591,485,6,20,2,13,0,18,0.0175,0.0082,9,9,3,0,3,1.5906,1.0218,0.2957713,-0.1416878,0.4374591
Orlando City SC,11,New York Red Bulls,Home,US Major League Soccer,2021,4231,442,1,1.742925772,0.9045734,0,0.056603456,13,6,46.1538,0.0000,2,1.882481791,1.8195308,0,0.062951062,18,4,26.145,55,44.9392712,0.5967625,432,11,14,4,17,1,11.7143,0.0253,0.0172,17,11,2,0,0,1.2592,1.4722,0.7415092,0.1447467,0.5967625
Orlando City SC,12,Chicago Fire FC,Away,US Major League Soccer,2021,4231,3421,1,2.3515819,1.510321,0.107895449,0.8412609,19,9,47.3684,0.0000,3,1.98968705,1.343379,0.431678176,0.6463081,13,4,25.83,53,57.4898785,0.6223136,454,9,31,1,24,1,13.8182,0.0243,0.0221,11,9,1,0,0,1.602,1.1676,0.4016273,-0.2206863,0.6223136
Orlando City SC,13,Toronto FC,Away,US Major League Soccer,2021,4231,4231,1,1.442755976,0.6122729,0,0.012426904,10,5,50.0000,0.0000,1,0.345140368,0.2458619,0,0,9,3,33.7575,48,41.1764705,0.7831776,464,5,15,1,11,2,13.8333,0.0219,0.0094,10,21,2,0,1,2.4424,0.3574,0.9007505,0.1184756,0.7831776
Orlando City SC,14,Philadelphia Union,Home,US Major League Soccer,2021,4231,41212,2,0.652773,0.652773,0,0,5,2,40.0000,0.0000,1,1.2253764,1.0746968,0,0.1506795,18,6,23.94,50,37.6582278,0.3314141,467,10,23,3,8,2,14.5294,0.0858,0.0066,8,8,2,0,3,0.8854,1.7842,0.4171658,0.0857517,0.3314141
Orlando City SC,15,New York City FC,Away,US Major League Soccer,2021,4231,4231,0,0.6138535,0.6138535,0,0,5,3,60.0000,0.0000,5,4.90192326,4.6497418,1.00660339,0.2521815,23,15,26.775,39,29.6482412,0.2315047,309,8,8,1,11,0,19.9412,0.0469,0.0144,15,10,2,0,0,0.0166,2.9728,0.3893285,0.1578238,0.2315047
Orlando City SC,16,Atlanta United,Home,US Major League Soccer,2021,4231,4231,3,2.548484509,2.3981751,0,0.150309468,15,9,60.0000,0.0000,2,0.546684727,0.471229,0,0.075455679,6,3,45.045,49,61.5023474,0.9224323,462,7,31,4,19,3,12.5938,0.0194,0.009,11,9,1,0,3,2.6644,0.2152,1.1685041,0.2449808,0.9224323
Orlando City SC,17,Inter Miami CF,Home,US Major League Soccer,2021,4231,541,1,0.721648814,0.5356049,0,0.1634191,14,4,28.5714,0.0000,1,0.221316138,0.1189411,0,0.079561137,4,2,31.29,57,52.6548672,0.5752045,505,7,19,6,20,2,16.0556,0.0145,0.0072,17,12,2,0,1,1.7806,0.7636,0.7031707,0.1279662,0.5752045
Orlando City SC,18,FC Cincinnati,Away,US Major League Soccer,2021,4231,4231,1,1.1462376,1.0071616,0,0.1390759,13,5,38.4615,0.0000,1,0.99810885,0.9356213,0,0.0624874,17,2,31.29,54,61.3821138,0.7042803,505,10,15,2,24,4,15.4583,0.0183,0.0021,7,10,3,0,1,1.5288,1.167,0.8358284,0.1315481,0.7042803
Orlando City SC,20,Nashville SC,Away,US Major League Soccer,2021,4231,352,1,0.798101737,0.6184947,0,0.15382424,14,3,21.4286,0.0000,1,0.915332176,0.7513359,0.537262814,0.127852367,14,4,30.66,56,45.1476793,0.4566189,523,7,14,0,9,3,11.875,0.0304,0.0144,17,12,3,0,1,1.1694,1.482,0.5937118,0.1370929,0.4566189
Orlando City SC,21,Chicago Fire FC,Home,US Major League Soccer,2021,442,3142,1,0.751874772,0.7032768,0,0.048597904,11,3,27.2727,0.0000,0,1.094030589,0.7965563,0.058858369,0.256494617,18,5,24.465,46,38.172043,0.3726046,402,8,11,0,19,4,13.4286,0.0271,0.0167,6,10,1,0,3,1.0046,1.6736,0.6879908,0.3153862,0.3726046
Orlando City SC,22,Inter Miami CF,Home,US Major League Soccer,2021,4141,3421,0,2.247801584,0.6814718,0,0.784580743,15,2,13.3333,0.0000,0,0.93740781,0.3098501,0,0.627557676,5,2,34.545,56,61.1374407,0.4999162,462,13,23,2,32,0,11.52,0.0556,0.0408,13,13,1,0,1,2.3404,0.4582,0.7210929,0.2206449,0.4999162
