Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Philadelphia Union,1,Columbus Crew,Away,US Major League Soccer,2021,41212,4231,0,0.747062545,0.2027668,0,0.544295734,15,5,33.3333,0.0000,0,1.300666494,0.2621145,0,0.931100719,12,6,42.945,52,54.0650406,0.5616257,394,6,26,0,28,1,7.7105,0.0329,0.0128,12,18,4,0,1,0.9056,1.7756,0.5287821,-0.0328436,0.5616257
Philadelphia Union,2,Inter Miami CF,Home,US Major League Soccer,2021,4312,4231,1,0.905427,0.8318091,0,0.0736179,13,3,23.0769,0.0000,2,0.51140121,0.4394089,0,0.0719924,6,3,35.595,53,60.2693602,0.8083953,478,8,31,0,30,6,7.0952,0.0327,0.0236,11,15,1,0,0,1.7082,0.9174,0.8194267,0.0110314,0.8083953
Philadelphia Union,3,New York City FC,Home,US Major League Soccer,2021,41212,3142,0,0.3991162,0.0386632,0,0.360453,4,0,0.0000,0.0000,2,2.699422,2.3763729,0,0.3230491,23,7,25.83,33,21.2962962,0.0548605,335,15,5,1,12,0,26.8,0.0415,0.0186,12,10,1,1,0,0.1332,2.7906,0.1080614,0.0532009,0.0548605
Philadelphia Union,4,Chicago Fire FC,Away,US Major League Soccer,2021,4312,4231,2,1.501955496,0.7602064,0,0.716199435,15,5,33.3333,0.0000,0,0.966514755,0.4715603,0,0.494954484,9,3,45.255,40,51.1029411,0.5518405,319,5,37,0,20,5,6.6607,0.1523,0.1014,9,17,3,0,3,1.7294,0.9668,0.5725374,0.0206969,0.5518405
Philadelphia Union,5,New York Red Bulls,Home,US Major League Soccer,2021,41212,41212,1,1.140012465,0.9112248,0,0.228787791,12,5,41.6667,0.0000,0,0.953107707,0.6404236,0,0.312684115,13,1,34.9125,49,55.5555555,0.9471188,318,10,32,0,22,6,6.973,0.0996,0.0859,12,15,2,0,3,1.497,1.1838,1.1826117,0.2354929,0.9471188
Philadelphia Union,5,New England Revolution,Home,US Major League Soccer,2021,41212,4231,1,2.2347601,2.2347601,0,0,14,3,21.4286,0.0000,1,1.71815685,1.5170444,0.291163623,0.2011125,15,5,27.1425,49,49.8007968,0.4651059,393,14,24,0,18,5,11.3077,0.0277,0.0189,6,13,3,0,1,1.785,0.9804,0.5543207,0.0892148,0.4651059
Philadelphia Union,6,D.C. United,Away,US Major League Soccer,2021,4312,3142,1,1.357172926,1.3192425,0,0.03793047,7,2,28.5714,0.0000,0,1.262278349,1.0539645,0,0.151292129,17,7,21.21,48,51.8382352,0.6891262,375,1,17,1,21,0,11.037,0.1129,0.1103,12,12,2,0,3,1.4858,1.2044,1.0212486,0.3321224,0.6891262
Philadelphia Union,7,Portland Timbers,Home,US Major League Soccer,2021,4312,4231,3,3.208376031,0.6890805,0,2.519295471,16,5,31.2500,0.0000,0,1.090188943,0.2846735,0,0.783114789,10,4,39.06,53,62.9213483,0.4359907,412,7,36,0,32,3,9.2,0.0169,0.01,11,15,1,0,3,2.5118,0.3296,0.6113686,0.1753779,0.4359907
Philadelphia Union,8,Atlanta United,Away,US Major League Soccer,2021,4312,3421,2,2.043053836,1.9245061,0.293299437,0.118547788,16,5,31.2500,193.7500,2,1.195492113,0.4983459,0,0.637136789,21,6,33.6,42,56.5217391,0.7890813,303,12,25,0,16,0,12.7692,0.1172,0.113,7,17,5,0,1,1.9536,0.7968,0.9305725,0.1414912,0.7890813
Philadelphia Union,9,Columbus Crew,Home,US Major League Soccer,2021,4312,4231,1,0.5719678,0.5353084,0,0.0366594,5,1,20.0000,0.0000,0,0.54349149,0.4159704,0,0.1275209,8,2,29.1375,38,38.2899628,0.3351528,359,3,13,0,20,3,13.9667,0.0856,0.0672,9,15,2,0,3,1.3084,1.2388,0.4319646,0.0968118,0.3351528
