Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
New England Revolution,,Atlanta United,Away,US Major League Soccer,2019,442,3142,1,0,0,0,0,18,4,22.2222,0.0000,3,0,0,0,0,20,0,0,49,50.929368,0,401,5,0,1,10,0,0,0,0,10,10,2,0,0,0,0,0,0,0
New England Revolution,,Chicago Fire FC,Home,US Major League Soccer,2019,4321,433,2,0,0,0,0,11,5,45.4545,0.0000,1,0,0,0,0,10,0,0,60,62.9213483,0,549,7,0,5,25,0,0,0,0,8,10,3,0,3,0,0,0,0,0
New England Revolution,,Toronto FC,Home,US Major League Soccer,2019,4231,4141,1,0,0,0,0,16,5,31.2500,0.0000,1,0,0,0,0,13,0,0,53,50.3378378,0,454,14,0,0,21,0,0,0,0,10,12,1,0,1,0,0,0,0,0
New England Revolution,,New York City FC,Away,US Major League Soccer,2019,442,4231,1,0,0,0,0,7,2,28.5714,0.0000,2,0,0,0,0,30,0,0,25,34.351145,0,192,11,0,2,5,0,0,0,0,13,18,5,0,0,0,0,0,0,0
New England Revolution,,Orlando City SC,Away,US Major League Soccer,2019,442,4231,3,0,0,0,0,15,6,40.0000,0.0000,3,0,0,0,0,19,0,0,48,49.0566037,0,363,12,0,1,16,0,0,0,0,14,9,1,0,1,0,0,0,0,0
New England Revolution,,Real Salt Lake,Home,US Major League Soccer,2019,442,4231,0,0,0,0,0,23,3,13.0435,0.0000,0,0,0,0,0,8,0,0,60,56.7049808,0,535,14,0,1,20,0,0,0,0,6,11,1,0,1,0,0,0,0,0
New England Revolution,,Portland Timbers,Away,US Major League Soccer,2019,442,4321,2,0,0,0,0,24,7,29.1667,0.0000,2,0,0,0,0,21,0,0,50,50.7788161,0,434,5,0,1,33,0,0,0,0,11,8,2,0,1,0,0,0,0,0
New England Revolution,,New York City FC,Home,US Major League Soccer,2019,442,4231,2,0,0,0,0,12,3,25.0000,0.0000,0,0,0,0,0,14,0,0,40,53.4693877,0,331,9,0,0,17,0,0,0,0,15,17,1,0,3,0,0,0,0,0
New England Revolution,,Toronto FC,Away,US Major League Soccer,2019,433,442,2,0,0,0,0,7,4,57.1429,0.0000,3,0,0,0,0,13,0,0,42,46.2093862,0,354,9,0,2,15,0,0,0,0,7,15,3,0,0,0,0,0,0,0
New England Revolution,,New York Red Bulls,Away,US Major League Soccer,2019,532,4231,1,0,0,0,0,6,4,66.6667,0.0000,1,0,0,0,0,22,0,0,50,32.0284697,0,429,1,0,1,5,0,0,0,0,6,15,0,0,1,0,0,0,0,0
New England Revolution,,FC Cincinnati,Home,US Major League Soccer,2019,433,4222,0,0,0,0,0,18,2,11.1111,0.0000,2,0,0,0,0,12,0,0,53,67.5182481,0,459,10,0,0,29,0,0,0,0,13,15,2,0,0,0,0,0,0,0
New England Revolution,,Minnesota United FC,Home,US Major League Soccer,2019,442,4411,2,0,0,0,0,19,5,26.3158,0.0000,1,0,0,0,0,10,0,0,49,69.3227091,0,421,10,0,4,25,0,0,0,0,9,10,3,0,3,0,0,0,0,0
New England Revolution,,Columbus Crew,Away,US Major League Soccer,2019,442,4231,0,0,0,0,0,7,2,28.5714,0.0000,1,0,0,0,0,8,0,0,48,71.6101694,0,402,9,0,0,27,0,0,0,0,16,10,1,1,0,0,0,0,0,0
New England Revolution,,Atlanta United,Home,US Major League Soccer,2019,4231,4231,0,0,0,0,0,7,1,14.2857,0.0000,2,0,0,0,0,19,0,0,54,65.0862068,0,451,14,0,2,15,0,0,0,0,13,17,3,0,0,0,0,0,0,0
New England Revolution,,New York Red Bulls,Home,US Major League Soccer,2019,41212,4231,1,0,0,0,0,9,2,22.2222,0.0000,0,0,0,0,0,13,0,0,53,46.1038961,0,459,11,0,0,9,0,0,0,0,15,16,1,0,3,0,0,0,0,0
New England Revolution,,CF Montréal,Home,US Major League Soccer,2019,41212,433,0,0,0,0,0,10,0,0.0000,0.0000,3,0,0,0,0,15,0,0,56,54.6218487,0,438,9,0,1,16,0,0,0,0,17,12,1,0,0,0,0,0,0,0
New England Revolution,,Sporting Kansas City,Away,US Major League Soccer,2019,442,433,4,0,0,0,0,10,7,70.0000,0.0000,4,0,0,0,0,19,0,0,25,27.6190476,0,184,9,0,1,3,0,0,0,0,13,16,4,2,1,0,0,0,0,0
New England Revolution,,Colorado Rapids,Away,US Major League Soccer,2019,4231,4231,2,0,0,0,0,13,5,38.4615,0.0000,1,0,0,0,0,17,0,0,54,52.7196652,0,414,7,0,2,12,0,0,0,0,14,15,4,0,3,0,0,0,0,0
New England Revolution,,Philadelphia Union,Away,US Major League Soccer,2019,442,41212,1,0,0,0,0,16,4,25.0000,0.0000,6,0,0,0,0,19,0,0,37,40.5904059,0,306,14,0,4,17,0,0,0,0,19,12,1,0,0,0,0,0,0,0
New England Revolution,,Chicago Fire FC,Away,US Major League Soccer,2019,442,3412,0,0,0,0,0,4,2,50.0000,0.0000,5,0,0,0,0,16,0,0,47,59.1439688,0,429,13,0,1,20,0,0,0,0,13,9,1,0,0,0,0,0,0,0
New England Revolution,,San Jose Earthquakes,Home,US Major League Soccer,2019,442,4141,3,0,0,0,0,11,3,27.2727,0.0000,1,0,0,0,0,13,0,0,27,35.7142857,0,259,6,0,0,7,0,0,0,0,8,11,1,0,3,0,0,0,0,0
New England Revolution,,CF Montréal,Away,US Major League Soccer,2019,4141,433,0,0,0,0,0,9,4,44.4444,0.0000,0,0,0,0,0,10,0,0,38,40.1574803,0,296,4,0,3,14,0,0,0,0,14,16,3,0,1,0,0,0,0,0
New England Revolution,,D.C. United,Home,US Major League Soccer,2019,4141,4231,1,0,0,0,0,14,2,14.2857,0.0000,1,0,0,0,0,21,0,0,32,48.4098939,0,279,11,0,0,14,0,0,0,0,10,15,3,1,1,0,0,0,0,0
New England Revolution,,LA Galaxy,Away,US Major League Soccer,2019,4141,4312,2,0,0,0,0,16,7,43.7500,0.0000,1,0,0,0,0,14,0,0,38,40.1993355,0,399,19,0,2,7,0,0,0,0,13,9,1,0,3,0,0,0,0,0
New England Revolution,,Philadelphia Union,Home,US Major League Soccer,2019,442,4312,1,0,0,0,0,13,4,30.7692,0.0000,1,0,0,0,0,10,0,0,39,43.5797665,0,298,11,0,0,23,0,0,0,0,18,12,2,0,1,0,0,0,0,0
New England Revolution,,Houston Dynamo FC,Home,US Major League Soccer,2019,4312,4231,2,0,0,0,0,21,7,33.3333,0.0000,1,0,0,0,0,8,0,0,52,54.1125541,0,403,15,0,2,25,0,0,0,0,15,13,3,0,3,0,0,0,0,0
New England Revolution,,FC Dallas,Away,US Major League Soccer,2019,4411,433,1,0,0,0,0,9,2,22.2222,0.0000,1,0,0,0,0,9,0,0,32,53.75,0,310,6,0,0,10,0,0,0,0,15,24,2,0,1,0,0,0,0,0
New England Revolution,,D.C. United,Away,US Major League Soccer,2019,4231,541,2,0,0,0,0,12,5,41.6667,0.0000,2,0,0,0,0,17,0,0,35,35.8565737,0,304,9,0,0,11,0,0,0,0,15,8,3,1,1,0,0,0,0,0
New England Revolution,,Columbus Crew,Home,US Major League Soccer,2019,4231,4231,0,0,0,0,0,11,3,27.2727,0.0000,2,0,0,0,0,6,0,0,45,67.8571428,0,478,9,0,0,16,0,0,0,0,11,13,2,0,0,0,0,0,0,0
New England Revolution,,Vancouver Whitecaps FC,Home,US Major League Soccer,2019,4231,433,4,0,0,0,0,33,12,36.3636,0.0000,0,0,0,0,0,6,0,0,53,71.2871287,0,485,7,0,1,19,0,0,0,0,6,5,2,0,3,0,0,0,0,0
New England Revolution,,FC Cincinnati,Away,US Major League Soccer,2019,4231,4231,2,0,0,0,0,13,7,53.8462,0.0000,0,0,0,0,0,12,0,0,57,57.918552,0,479,6,0,4,10,0,0,0,0,12,15,0,0,3,0,0,0,0,0
New England Revolution,,Orlando City SC,Home,US Major League Soccer,2019,4231,433,4,0,0,0,0,20,6,30.0000,0.0000,1,0,0,0,0,17,0,0,42,39.2857142,0,389,11,0,2,12,0,0,0,0,10,12,1,0,3,0,0,0,0,0
New England Revolution,,Los Angeles Football Club,Home,US Major League Soccer,2019,4231,433,0,0,0,0,0,10,1,10.0000,0.0000,2,0,0,0,0,22,0,0,43,40.5797101,0,455,18,0,3,15,0,0,0,0,11,12,1,0,0,0,0,0,0,0
New England Revolution,,Seattle Sounders FC,Away,US Major League Soccer,2019,532,4231,3,0,0,0,0,11,7,63.6364,0.0000,3,0,0,0,0,21,0,0,45,49.6551724,0,389,8,0,0,13,0,0,0,0,13,13,2,0,1,0,0,0,0,0
