Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Toronto FC,,Chicago Fire FC,Away,US Major League Soccer,2019,4231,4231,2,0,0,0,0,10,4,40.0000,0.0000,2,0,0,0,0,15,0,0,52,51.8272425,0,511,6,0,2,15,0,0,0,0,10,9,1,0,1,0,0,0,0,0
Toronto FC,,Orlando City SC,Home,US Major League Soccer,2019,442,4231,1,0,0,0,0,18,5,27.7778,0.0000,1,0,0,0,0,8,0,0,56,64.6067415,0,537,11,0,0,23,0,0,0,0,10,4,1,0,1,0,0,0,0,0
Toronto FC,,Columbus Crew,Away,US Major League Soccer,2019,3412,4231,2,0,0,0,0,7,3,42.8571,0.0000,2,0,0,0,0,12,0,0,55,59.7345132,0,528,8,0,0,13,0,0,0,0,6,13,0,0,1,0,0,0,0,0
Toronto FC,,CF Montréal,Home,US Major League Soccer,2019,4141,442,2,0,0,0,0,19,5,26.3158,0.0000,1,0,0,0,0,4,0,0,52,74.906367,0,504,12,0,0,21,0,0,0,0,8,10,4,0,3,0,0,0,0,0
Toronto FC,,New England Revolution,Away,US Major League Soccer,2019,4141,4231,1,0,0,0,0,13,6,46.1538,0.0000,1,0,0,0,0,16,0,0,47,49.6621621,0,410,7,0,0,10,0,0,0,0,12,11,1,0,1,0,0,0,0,0
Toronto FC,,FC Cincinnati,Away,US Major League Soccer,2019,4231,4231,5,0,0,0,0,13,5,38.4615,0.0000,1,0,0,0,0,8,0,0,60,62.0300751,0,670,10,0,0,14,0,0,0,0,7,13,1,1,3,0,0,0,0,0
Toronto FC,,New York City FC,Away,US Major League Soccer,2019,4231,4141,1,0,0,0,0,15,5,33.3333,0.0000,1,0,0,0,0,10,0,0,45,50,0,436,10,0,3,13,0,0,0,0,9,11,2,0,1,0,0,0,0,0
Toronto FC,,Colorado Rapids,Home,US Major League Soccer,2019,4231,4231,3,0,0,0,0,13,7,53.8462,0.0000,2,0,0,0,0,15,0,0,57,66.9841269,0,527,10,0,2,11,0,0,0,0,15,12,2,0,3,0,0,0,0,0
Toronto FC,,Los Angeles Football Club,Away,US Major League Soccer,2019,4231,433,1,0,0,0,0,8,1,12.5000,0.0000,1,0,0,0,0,17,0,0,43,34.1463414,0,405,12,0,0,8,0,0,0,0,11,10,1,0,1,0,0,0,0,0
Toronto FC,,New York Red Bulls,Away,US Major League Soccer,2019,4231,4231,0,0,0,0,0,10,3,30.0000,0.0000,2,0,0,0,0,22,0,0,64,45.0511945,0,545,13,0,0,15,0,0,0,0,8,10,1,1,0,0,0,0,0,0
Toronto FC,,New England Revolution,Home,US Major League Soccer,2019,442,433,3,0,0,0,0,13,3,23.0769,0.0000,2,0,0,0,0,7,0,0,58,53.7906137,0,484,7,0,2,18,0,0,0,0,15,9,1,0,3,0,0,0,0,0
Toronto FC,,Columbus Crew,Home,US Major League Soccer,2019,4231,4231,1,0,0,0,0,14,4,28.5714,0.0000,0,0,0,0,0,7,0,0,52,67.6156583,0,491,8,0,2,12,0,0,0,0,9,6,2,0,3,0,0,0,0,0
Toronto FC,,New York City FC,Home,US Major League Soccer,2019,4231,4141,4,0,0,0,0,16,9,56.2500,0.0000,0,0,0,0,0,7,0,0,52,57.2072072,0,569,12,0,4,8,0,0,0,0,6,6,0,0,3,0,0,0,0,0
Toronto FC,,Chicago Fire FC,Home,US Major League Soccer,2019,4411,4231,2,0,0,0,0,16,8,50.0000,0.0000,2,0,0,0,0,7,0,0,71,78.3854166,0,782,14,0,1,21,0,0,0,0,13,5,2,0,1,0,0,0,0,0
Toronto FC,,Seattle Sounders FC,Away,US Major League Soccer,2019,352,4231,2,0,0,0,0,9,4,44.4444,0.0000,3,0,0,0,0,12,0,0,56,52.0134228,0,562,6,0,1,13,0,0,0,0,9,9,0,0,0,0,0,0,0,0
Toronto FC,,Minnesota United FC,Home,US Major League Soccer,2019,3511,4231,4,0,0,0,0,14,7,50.0000,0.0000,3,0,0,0,0,18,0,0,57,54.1044776,0,614,11,0,3,6,0,0,0,0,12,7,1,0,3,0,0,0,0,0
Toronto FC,,Portland Timbers,Home,US Major League Soccer,2019,4411,442,1,0,0,0,0,6,3,50.0000,0.0000,2,0,0,0,0,11,0,0,56,53.0351437,0,590,9,0,0,21,0,0,0,0,13,8,1,0,0,0,0,0,0,0
Toronto FC,,FC Dallas,Away,US Major League Soccer,2019,541,4231,0,0,0,0,0,6,2,33.3333,0.0000,3,0,0,0,0,22,0,0,44,48.5714285,0,446,10,0,1,11,0,0,0,0,11,6,0,0,0,0,0,0,0,0
Toronto FC,,Orlando City SC,Away,US Major League Soccer,2019,4411,433,2,0,0,0,0,13,9,69.2308,0.0000,0,0,0,0,0,18,0,0,58,58.5858585,0,609,9,0,2,14,0,0,0,0,3,5,0,0,3,0,0,0,0,0
Toronto FC,,Atlanta United,Away,US Major League Soccer,2019,4231,4231,0,0,0,0,0,8,0,0.0000,0.0000,2,0,0,0,0,19,0,0,54,47.1631205,0,548,8,0,0,12,0,0,0,0,9,11,5,0,0,0,0,0,0,0
Toronto FC,,Philadelphia Union,Home,US Major League Soccer,2019,3511,41212,1,0,0,0,0,11,4,36.3636,90.9091,2,0,0,0,0,10,0,0,57,60.7773851,0,529,11,0,0,23,0,0,0,0,16,12,3,0,0,0,0,0,0,0
Toronto FC,,D.C. United,Home,US Major League Soccer,2019,3511,352,0,0,0,0,0,36,13,36.1111,0.0000,0,0,0,0,0,3,0,0,71,86.9451697,0,732,15,0,0,29,0,0,0,0,11,5,1,0,1,0,0,0,0,0
Toronto FC,,Real Salt Lake,Away,US Major League Soccer,2019,3511,4231,0,0,0,0,0,10,3,30.0000,0.0000,3,0,0,0,0,19,0,0,52,49.1935483,0,465,5,0,1,19,0,0,0,0,9,15,2,1,0,0,0,0,0,0
Toronto FC,,San Jose Earthquakes,Home,US Major League Soccer,2019,4141,4141,1,0,0,0,0,13,3,23.0769,0.0000,2,0,0,0,0,10,0,0,47,62.4472573,0,383,5,0,1,13,0,0,0,0,19,11,1,0,0,0,0,0,0,0
Toronto FC,,Vancouver Whitecaps FC,Away,US Major League Soccer,2019,3412,352,1,0,0,0,0,14,5,35.7143,0.0000,1,0,0,0,0,8,0,0,55,73.0061349,0,614,7,0,2,35,0,0,0,0,9,15,1,0,1,0,0,0,0,0
Toronto FC,,Sporting Kansas City,Home,US Major League Soccer,2019,532,433,2,0,0,0,0,15,5,33.3333,0.0000,2,0,0,0,0,9,0,0,51,71.0037174,0,480,9,0,1,17,0,0,0,0,13,13,4,0,1,0,0,0,0,0
Toronto FC,,Philadelphia Union,Away,US Major League Soccer,2019,3421,41212,3,0,0,0,0,8,5,62.5000,0.0000,1,0,0,0,0,17,0,0,38,35.9322033,0,310,6,0,0,12,0,0,0,0,14,14,2,0,3,0,0,0,0,0
Toronto FC,,Atlanta United,Home,US Major League Soccer,2019,4141,4231,3,0,0,0,0,15,5,33.3333,0.0000,2,0,0,0,0,18,0,0,52,51.0548523,0,464,9,0,0,22,0,0,0,0,7,12,1,0,3,0,0,0,0,0
Toronto FC,,D.C. United,Away,US Major League Soccer,2019,4141,442,1,0,0,0,0,12,5,41.6667,0.0000,1,0,0,0,0,12,0,0,43,40.5940594,0,426,14,0,0,9,0,0,0,0,10,15,3,0,1,0,0,0,0,0
Toronto FC,,LA Galaxy,Away,US Major League Soccer,2019,4141,4141,0,0,0,0,0,12,5,41.6667,0.0000,2,0,0,0,0,10,0,0,59,60.7142857,0,595,7,0,1,12,0,0,0,0,11,9,1,0,0,0,0,0,0,0
Toronto FC,,CF Montréal,Away,US Major League Soccer,2019,4231,433,2,0,0,0,0,15,7,46.6667,0.0000,0,0,0,0,0,17,0,0,56,52.7777777,0,563,5,0,0,14,0,0,0,0,13,11,1,0,3,0,0,0,0,0
Toronto FC,,New York Red Bulls,Home,US Major League Soccer,2019,4231,4231,3,0,0,0,0,9,4,44.4444,0.0000,1,0,0,0,0,20,0,0,48,31.0469314,0,398,15,0,1,11,0,0,0,0,13,12,1,0,3,0,0,0,0,0
Toronto FC,,Houston Dynamo FC,Home,US Major League Soccer,2019,4231,4231,1,0,0,0,0,18,5,27.7778,0.0000,3,0,0,0,0,7,0,0,68,84.7457627,0,736,6,0,0,35,0,0,0,0,7,5,0,0,0,0,0,0,0,0
Toronto FC,,FC Cincinnati,Home,US Major League Soccer,2019,4231,4231,2,0,0,0,0,10,3,30.0000,0.0000,1,0,0,0,0,11,0,0,54,56.0165975,0,550,10,0,0,11,0,0,0,0,14,6,1,0,3,0,0,0,0,0
