Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Austin FC,1,FC Cincinnati,Home,US Major League Soccer,2022,442,4312,5,2.7442535,1.9363001,0,0.8079534,19,5,26.3158,0.0000,0,1.2874604,1.1699488,0.141124949,0.1175116,13,2,34.5975,57,46,0.6342092,489,10,32,2,14,4,8.8667,0.448275862,0.206896552,5,16,2,0,3,2.3118,0.5214,0.6621665,0.0279573,0.6342092
Austin FC,2,Inter Miami CF,Home,US Major League Soccer,2022,4231,352,5,1.1589693,0.8783187,0.058653515,0.2806506,8,6,75.0000,0.0000,1,0.9548435,0.6454644,0,0.0137547,13,6,42.735,59,62.8712871,0.908361,497,11,23,3,20,7,9.3871,0.5,0.277777778,15,15,3,0,3,1.5358,1.1422,0.8943145,-0.0140465,0.908361
Austin FC,3,Portland Timbers,Away,US Major League Soccer,2022,4231,4231,0,0.652436664,0.45738,0,0.195056616,16,0,0.0000,0.0000,1,1.458621483,1.0270985,0,0.411013588,14,1,31.5,61,62.8099173,0.800511,564,4,31,1,25,3,9.9,0.0532,0.0272,15,15,5,0,0,0.7116,2.0226,0.9322892,0.1317782,0.800511
Austin FC,4,Seattle Sounders FC,Home,US Major League Soccer,2022,4231,4231,1,2.393958353,1.2748304,0,1.11912797,21,8,38.0952,0.0000,1,1.853228438,1.725049,0.660718042,0.050591746,14,4,44.1525,61,73.1343283,0.9295649,539,10,38,0,29,3,10.9286,0.0476,0.0319,6,12,0,0,1,1.68,1.0872,1.057317,0.1277521,0.9295649
Austin FC,5,San Jose Earthquakes,Away,US Major League Soccer,2022,4231,4231,2,2.035748926,1.2539998,0,0,9,4,44.4444,0.0000,2,3.396711521,1.5769328,0,0.988477124,17,11,27.825,36,27.8260869,0.3151493,290,8,13,0,4,1,11.1935,0.0191,0.0125,14,20,3,0,1,0.5638,2.2672,0.4473988,0.1322495,0.3151493
Austin FC,6,Minnesota United FC,Home,US Major League Soccer,2022,4231,433,1,1.2224933,1.1926145,0,0.0298788,11,5,45.4545,0.0000,0,0.32647507,0.1994861,0,0.126989,9,3,36.855,57,63.7681159,0.8757428,495,6,23,4,17,4,9.8621,0.0614,0.0525,13,17,2,0,3,2.1574,0.5536,1.1586452,0.2829024,0.8757428
Austin FC,7,D.C. United,Away,US Major League Soccer,2022,4231,532,3,2.821416533,1.4795926,0,1.341823877,15,4,26.6667,0.0000,2,1.16061642,0.501241,0,0.659375451,11,2,37.695,59,54.1666666,0.8588943,415,0,29,2,29,2,7.9643,0.0166,0.0144,18,15,3,0,3,2.41,0.4222,1.0080694,0.1491751,0.8588943
Austin FC,8,Vancouver Whitecaps FC,Home,US Major League Soccer,2022,4231,3412,3,1.295608135,0.7045389,0.030991672,0.591069266,10,4,40.0000,0.0000,0,0.75412411,0.5416657,0,0.212458244,12,1,40.215,68,58.4337349,0.554868,658,10,16,1,9,2,8.1,0.0468,0.0373,16,17,3,0,3,1.8426,0.8742,0.8154651,0.2605971,0.554868
Austin FC,9,Houston Dynamo FC,Away,US Major League Soccer,2022,4231,4231,2,0.768927455,0.7132861,0,0.02578434,9,5,55.5556,0.0000,1,1.522815301,1.5228154,0,0,8,5,31.3425,61,64.0394088,0.4663016,506,8,18,0,19,0,14.4737,0.1027,0.0767,10,6,3,0,3,0.7316,1.9976,0.6830538,0.2167522,0.4663016
Austin FC,10,LA Galaxy,Home,US Major League Soccer,2022,4231,4231,0,1.466720834,1.3075942,0,0.124233756,13,2,15.3846,0.0000,1,1.092341548,1.0063948,0,0,9,3,47.355,55,54.1666666,0.5277765,464,9,23,4,12,2,10,0.0133,0.009,13,11,1,0,0,1.6592,1.049,0.8177266,0.2899501,0.5277765
Austin FC,11,Real Salt Lake,Away,US Major League Soccer,2022,4231,442,1,0.68998279,0.6459244,0,0.044058453,9,3,33.3333,0.0000,2,1.397113079,0.830914,0,0.490802545,14,7,17.43,55,49.0272373,0.4345677,495,2,14,0,10,0,15.1111,0.0233,0.0193,10,6,4,1,0,0.7922,1.922,0.4879911,0.0534234,0.4345677
Austin FC,12,Los Angeles Football Club,Away,US Major League Soccer,2022,4231,433,2,1.173971694,0.6628029,0.122612528,0.511168789,9,2,22.2222,0.0000,1,1.881122765,0.7375057,0.038369559,0.361868195,18,7,26.355,42,35.15625,0.5035085,345,9,15,1,7,1,11.4286,0.0228,0.0148,15,20,5,0,3,0.8216,1.9178,0.6509637,0.1474552,0.5035085
Austin FC,13,Orlando City SC,Home,US Major League Soccer,2022,4231,4231,2,3.482759701,1.659799,0,0.956812922,22,5,22.7273,0.0000,2,2.069748711,2.0697488,0,0,12,7,58.275,71,76.1732851,1.0036421,566,8,40,2,32,5,6.2,0.1563,0.0173,8,16,0,0,1,2.2446,0.5916,1.2685005,0.2648584,1.0036421
Austin FC,14,LA Galaxy,Away,US Major League Soccer,2022,4231,4231,1,0.66041164,0.4963069,0,0.06808041,12,3,25.0000,0.0000,4,3.604988596,2.6883928,0,0.134846894,18,10,44.1,56,61.2244897,0.7358775,519,4,27,3,17,3,9.8065,0.0317,0.0241,9,7,0,0,0,0.0906,2.8632,0.8448393,0.1089618,0.7358775
Austin FC,15,CF Montréal,Away,US Major League Soccer,2022,4231,3421,1,0.9126547,0.9126547,0,0,5,2,40.0000,0.0000,0,1.55916194,0.9158347,0,0.6433271,0,2,35.7,38,36.9230769,0.5286298,329,4,11,0,7,2,12.1176,0.0286,0.0092,7,17,3,1,3,0.8024,1.9196,0.6728472,0.1442174,0.5286298
Austin FC,16,FC Dallas,Home,US Major League Soccer,2022,4231,433,2,1.690591813,1.2998604,0.415012866,0.342263244,18,4,22.2222,0.0000,2,2.286998553,1.8912244,0.055123307,0.395774275,12,6,43.155,63,67.2811059,0.3706716,483,6,21,0,22,3,8.5517,0.0344,0.013,11,11,3,0,1,0.961,1.8082,0.5070932,0.1364216,0.3706716
Austin FC,17,Charlotte FC,Away,US Major League Soccer,2022,4231,4411,1,0.410808012,0.3323445,0,0.078463482,5,2,40.0000,0.0000,0,0.547148992,0.4005803,0.040519305,0.049163885,9,2,23.31,36,36.2445414,0.095115,309,14,6,1,6,2,25.25,0.0211,0.0176,4,13,0,0,3,1.1114,1.4054,0.1742734,0.0791584,0.095115
