Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
FC Dallas,,Sporting Kansas City,Home,US Major League Soccer,2018,4231,433,0,0,0,0,0,12,5,41.6667,0.0000,3,0,0,0,0,12,0,0,58,53.7549407,0,402,7,0,1,21,0,0,0,0,18,13,2,0,0,0,0,0,0,0
FC Dallas,,San Jose Earthquakes,Away,US Major League Soccer,2018,4231,442,3,0,0,0,0,15,4,26.6667,0.0000,4,0,0,0,0,13,0,0,45,49.1289198,0,419,9,0,1,10,0,0,0,0,6,8,0,0,0,0,0,0,0,0
FC Dallas,,Houston Dynamo FC,Home,US Major League Soccer,2018,4231,433,4,0,0,0,0,15,9,60.0000,0.0000,2,0,0,0,0,10,0,0,56,46.484375,0,533,6,0,1,7,0,0,0,0,11,13,0,0,3,0,0,0,0,0
FC Dallas,,Columbus Crew,Home,US Major League Soccer,2018,4231,4231,0,0,0,0,0,9,1,11.1111,0.0000,0,0,0,0,0,17,0,0,54,45.2991452,0,491,5,0,2,15,0,0,0,0,12,4,0,0,1,0,0,0,0,0
FC Dallas,,Seattle Sounders FC,Home,US Major League Soccer,2018,4231,4231,3,0,0,0,0,19,10,52.6316,0.0000,0,0,0,0,0,12,0,0,53,54.7445255,0,527,11,0,1,17,0,0,0,0,11,9,1,0,3,0,0,0,0,0
FC Dallas,,Vancouver Whitecaps FC,Away,US Major League Soccer,2018,4231,442,2,0,0,0,0,15,5,33.3333,0.0000,1,0,0,0,0,14,0,0,45,53.2467532,0,328,6,0,1,21,0,0,0,0,13,13,2,0,3,0,0,0,0,0
FC Dallas,,Portland Timbers,Away,US Major League Soccer,2018,4231,41212,0,0,0,0,0,12,1,8.3333,0.0000,0,0,0,0,0,9,0,0,51,52.7472527,0,389,3,0,0,16,0,0,0,0,10,10,3,0,1,0,0,0,0,0
FC Dallas,,Orlando City SC,Home,US Major League Soccer,2018,4231,4231,2,0,0,0,0,12,5,41.6667,0.0000,0,0,0,0,0,10,0,0,52,60.8510638,0,474,3,0,1,17,0,0,0,0,11,13,2,0,3,0,0,0,0,0
FC Dallas,,D.C. United,Away,US Major League Soccer,2018,4231,4231,0,0,0,0,0,19,6,31.5789,0.0000,1,0,0,0,0,14,0,0,48,58.2733812,0,416,8,0,0,20,0,0,0,0,8,15,0,0,0,0,0,0,0,0
FC Dallas,,Minnesota United FC,Home,US Major League Soccer,2018,4231,3142,2,0,0,0,0,16,8,50.0000,0.0000,0,0,0,0,0,7,0,0,59,66.6666666,0,621,7,0,1,15,0,0,0,0,7,13,2,0,3,0,0,0,0,0
