Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Houston Dynamo FC,1,Real Salt Lake,Home,US Major League Soccer,2022,451,343,0,0.541162765,0.4845951,0.276436478,0.036075379,10,2,20.0000,0.0000,0,0.242671326,0.0418021,0,0.175630471,8,2,27.7725,62,50.7177033,0.2806782,579,8,11,0,19,1,10.7917,0.0137,0.0106,9,13,4,0,1,1.605,0.8964,0.489303,0.2086248,0.2806782
Houston Dynamo FC,2,Sporting Kansas City,Away,US Major League Soccer,2022,433,433,0,0.564132679,0.5641327,0,0,5,3,60.0000,0.0000,1,1.283602236,0.5036485,0,0.737654805,15,5,27.09,42,35.7446808,0.3389508,396,6,13,3,10,2,15.2308,0.0202,0.0128,9,17,3,0,0,0.7558,1.9396,0.5063097,0.1673589,0.3389508
Houston Dynamo FC,3,Vancouver Whitecaps FC,Home,US Major League Soccer,2022,4231,3421,2,1.798024133,1.3458353,0,0.400451785,16,4,25.0000,0.0000,1,1.327979519,0.6271578,0,0.70082176,17,2,27.615,59,57.7405857,0.7617379,558,8,24,4,26,4,12.4545,0.0539,0.0219,8,12,1,0,3,1.7578,0.9658,1.0523757,0.2906378,0.7617379
Houston Dynamo FC,4,Colorado Rapids,Home,US Major League Soccer,2022,4231,343,1,0.913945224,0.848468,0,0,13,3,23.0769,0.0000,1,0.883095376,0.3086154,0,0.574479878,8,4,22.26,58,54.1353383,0.4931521,579,10,15,4,24,1,15.7,0.0508,0.0457,9,6,2,0,1,1.3514,1.2944,0.855226,0.3620739,0.4931521
Houston Dynamo FC,5,Inter Miami CF,Away,US Major League Soccer,2022,433,433,3,2.355157734,1.1239395,0,0.366195902,11,5,45.4545,0.0000,1,1.696114678,0.8037428,0.161486614,0.077083004,22,5,20.79,46,41.3043478,0.3751483,381,5,18,1,7,3,11.9259,0.0354,0.0328,7,15,4,0,3,1.8498,0.9078,0.7214592,0.3463109,0.3751483
Houston Dynamo FC,6,San Jose Earthquakes,Home,US Major League Soccer,2022,4231,4231,4,1.112919727,0.6537757,0.147982411,0.459144022,12,7,58.3333,0.0000,3,1.590549355,1.1310942,0,0.099492326,18,6,30.975,33,26.4462809,0.2215907,282,6,11,5,7,1,16.7083,0.0197,0.0026,9,15,6,0,3,0.997,1.723,0.6076317,0.386041,0.2215907
Houston Dynamo FC,7,Portland Timbers,Home,US Major League Soccer,2022,4231,4411,0,1.028133,0.861034,0,0.1670989,14,4,28.5714,0.0000,0,1.0796412,0.858044,0,0.2215972,14,2,18.585,45,44.1295546,0.4311932,397,7,28,2,21,1,16.0476,0.0566,0.0422,11,11,0,1,1,1.3052,1.3664,0.3219557,-0.1092375,0.4311932
Houston Dynamo FC,8,FC Dallas,Away,US Major League Soccer,2022,433,433,1,1.122535912,1.0136744,0,0.017098626,9,2,22.2222,0.0000,2,2.746226791,2.04272,0.106805421,0.703506844,14,7,26.1975,50,52.15311,0.7358435,428,10,10,1,8,3,23.5,0.0274,0.0179,14,7,3,0,0,0.5256,2.2566,0.8206973,0.0848538,0.7358435
Houston Dynamo FC,9,Austin FC,Home,US Major League Soccer,2022,4231,4231,1,1.522815301,1.5228154,0,0,8,5,62.5000,0.0000,2,0.768927455,0.7132861,0,0.02578434,9,5,26.25,39,35.9605911,0.4349723,328,12,20,1,12,4,19.15,0.0457,0.0101,6,10,3,0,0,1.9976,0.7316,0.6535082,0.2185359,0.4349723
Houston Dynamo FC,10,D.C. United,Away,US Major League Soccer,2022,4231,3421,0,0.572247026,0.5252177,0,0.04702929,7,2,28.5714,0.0000,2,0.704679479,0.5202696,0,0.107630253,13,6,17.955,54,39.0804597,0.337375,454,16,10,1,7,2,10.913,0.0346,0.0298,12,11,3,0,0,1.1834,1.4198,0.5065512,0.1691762,0.337375
