Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
San Jose Earthquakes,1,New York Red Bulls,Home,US Major League Soccer,2022,343,3421,1,0.964562548,0.8339793,0,0.130583188,12,2,16.6667,0.0000,3,3.308140276,2.550723,0.397843242,0.757417284,18,7,34.23,69,67.2340425,0.6785737,562,14,22,3,21,4,9.6818,0.0871,0.0409,22,6,0,0,0,0.1892,2.7248,0.7099522,0.0313785,0.6785737
San Jose Earthquakes,2,Columbus Crew,Home,US Major League Soccer,2022,4231,4231,3,1.30854068,0.0879664,0,0.438825178,7,4,57.1429,0.0000,3,1.772445663,0.8942395,0,0.770064741,19,6,23.625,46,28.6995515,0.1110377,362,3,14,0,8,1,10.4615,0.0852,0.0324,16,15,3,1,1,1.0592,1.6364,0.274602,0.1635643,0.1110377
San Jose Earthquakes,3,Philadelphia Union,Away,US Major League Soccer,2022,4141,4312,0,0.290448071,0.243667,0.06977354,0.046780962,9,1,11.1111,0.0000,2,3.483920273,2.5781368,0,0.070713509,12,6,34.545,69,55.8951965,0.1323435,548,5,11,0,18,0,7.32,0.2029,0.19,21,12,3,0,0,0.0302,2.9474,0.3497703,0.2174268,0.1323435
San Jose Earthquakes,4,Minnesota United FC,Away,US Major League Soccer,2022,4231,4231,0,0.203511766,0.2035118,0,0,6,0,0.0000,0.0000,1,1.626727479,1.4746058,0.25533852,0.071304725,13,5,34.2825,62,53.1120331,0.2460232,495,10,6,0,23,4,6.1714,0.0358,0.0281,20,16,3,0,0,0.2728,2.5438,0.422232,0.1762088,0.2460232
San Jose Earthquakes,5,Austin FC,Home,US Major League Soccer,2022,4231,4231,2,3.396711521,1.5769328,0,0.988477124,17,11,64.7059,0.0000,2,2.035748926,1.2539998,0,0,9,4,49.1925,64,72.173913,0.7014049,492,11,39,5,27,2,8.4194,0.0324,0.0197,18,15,3,0,1,2.2672,0.5638,0.5911332,-0.1102717,0.7014049
San Jose Earthquakes,6,Houston Dynamo FC,Away,US Major League Soccer,2022,4231,4231,3,1.590549355,1.1310942,0,0.099492326,18,6,33.3333,0.0000,4,1.112919727,0.6537757,0.147982411,0.459144022,12,7,44.835,67,73.553719,0.5014398,584,10,26,0,13,7,9.1481,0.0568,0.0361,14,10,3,0,0,1.723,0.997,0.9595948,0.458155,0.5014398
San Jose Earthquakes,7,Nashville SC,Home,US Major League Soccer,2022,4231,3421,2,1.920386723,1.2260719,0,0.65156398,17,5,29.4118,0.0000,2,1.886312304,1.3118176,0.032254882,0.574494652,8,5,36.75,66,66.9491525,0.9553208,589,7,23,2,16,0,8.5,0.0334,0.0285,13,11,1,0,1,1.3404,1.4022,1.2062897,0.2509689,0.9553208
San Jose Earthquakes,8,Seattle Sounders FC,Home,US Major League Soccer,2022,4141,4231,4,3.103720889,2.2487502,0,0.073221549,23,7,30.4348,0.0000,3,2.168886245,0.893397,0,0.493740339,10,7,39.27,55,71.1267605,0.4714873,550,12,30,4,15,9,10.25,0.0394,0.0279,11,10,3,0,3,2.012,0.7766,0.5249946,0.0535073,0.4714873
San Jose Earthquakes,9,New York City FC,Away,US Major League Soccer,2022,4141,4231,0,0.353547951,0.2191793,0,0.134368569,11,3,27.2727,0.0000,3,2.660694085,1.9522132,0,0.667245269,23,9,30.765,46,47.089947,0.1897984,393,4,11,0,14,1,16.8261,0.0249,0.0203,13,7,0,0,0,0.1416,2.7804,0.2621285,0.0723301,0.1897984
San Jose Earthquakes,10,Colorado Rapids,Home,US Major League Soccer,2022,4141,4231,1,1.408175075,0.7959438,0,0.612231307,13,4,30.7692,0.0000,0,0.636707721,0.400623,0,0.210662113,13,5,31.29,59,54.8717948,0.3039888,479,13,27,3,26,1,11.36,0.0415,0.0323,13,16,1,0,3,2.0168,0.7118,0.3889102,0.0849214,0.3039888
San Jose Earthquakes,11,Vancouver Whitecaps FC,Away,US Major League Soccer,2022,433,4222,3,2.005705042,1.9102372,0.042378895,0.011737035,15,6,40.0000,0.0000,3,1.689475062,1.1141899,0.350077719,0.575285133,16,7,33.915,61,60.3174603,0.6202889,585,8,26,2,19,3,12.5909,0.0107,0.0071,13,14,1,0,1,1.6086,1.1562,0.8499155,0.2296266,0.6202889
San Jose Earthquakes,12,Portland Timbers,Home,US Major League Soccer,2022,4141,433,3,2.892391304,2.7915262,0.300156027,0.025380204,17,4,23.5294,0.0000,2,0.908989187,0.3869085,0,0.50217136,9,5,48.93,61,60.7003891,0.585215,495,12,26,1,21,4,7.3529,0.0567,0.0347,13,16,2,0,3,2.5404,0.3144,0.9876647,0.4024497,0.585215
San Jose Earthquakes,13,Sporting Kansas City,Home,US Major League Soccer,2022,4141,4141,1,1.256614,1.0406274,0.109310135,0.2159867,18,5,27.7778,0.0000,1,1.08658577,1.0865858,0.025602637,0,6,2,43.05,64,61.8604651,0.3433395,544,11,17,2,10,4,6.5135,0.0418,0.022,6,11,1,0,1,1.4426,1.247,0.6504165,0.307077,0.3433395
San Jose Earthquakes,14,Los Angeles Football Club,Away,US Major League Soccer,2022,4231,3142,2,2.225483735,1.5390353,0,0.686448507,11,4,36.3636,0.0000,3,2.199776529,1.3718413,0.282190412,0.025070455,13,9,27.5625,55,45.3271028,0.5508906,453,12,22,2,19,3,10.4815,0.0382,0.0325,18,9,1,0,0,1.4168,1.3094,0.7597767,0.2088861,0.5508906
San Jose Earthquakes,15,Real Salt Lake,Away,US Major League Soccer,2022,4231,442,0,0.44501905,0.1665722,0,0.278446853,7,1,14.2857,0.0000,2,2.56816194,1.8055406,0,0.665662153,16,6,25.83,66,55.4140127,0.362903,524,8,12,1,16,4,8.04,0.048,0.0399,9,12,2,0,0,0.1834,2.7178,0.4951087,0.1322057,0.362903
San Jose Earthquakes,16,LA Galaxy,Home,US Major League Soccer,2022,4231,433,2,1.68180243,0.532832,0.107891157,0.36722145,13,3,23.0769,0.0000,3,1.571528873,1.503345,0,0.068183981,11,4,34.44,45,44.4,0.3564224,474,12,20,3,16,3,14.5517,0.0113,0.0067,9,13,3,0,0,1.403,1.3178,0.6289067,0.273209,0.3564224
San Jose Earthquakes,17,Nashville SC,Away,US Major League Soccer,2022,4231,442,0,0.5380051,0.5226328,0.072952859,0.0153723,11,6,54.5455,0.0000,0,1.67650984,1.6242179,0,0.0522919,14,6,22.575,55,63.5983263,0.3397299,516,6,6,1,5,2,11.4138,0.0519,0.0465,14,7,3,0,1,0.5156,2.2598,0.6164039,0.276674,0.3397299
San Jose Earthquakes,18,Chicago Fire FC,Home,US Major League Soccer,2022,4231,4231,2,3.075719389,3.0400326,0,0.035686855,22,8,36.3636,0.0000,1,1.911315718,1.7844586,0,0.074730435,18,6,25.7775,56,57.6190476,0.6871496,381,12,29,1,18,1,10.6818,0.0751,0.0727,16,11,3,0,3,1.9118,0.8612,0.8442537,0.1571041,0.6871496
San Jose Earthquakes,19,Toronto FC,Away,US Major League Soccer,2022,4231,442,2,1.336897364,0.9205473,0,0.416350046,9,3,33.3333,0.0000,2,1.970387175,1.5323906,0,0.395551916,16,6,34.23,44,36.5296803,0.3066783,400,8,11,2,15,1,11.5588,0.0143,0.008,15,13,1,0,1,0.928,1.8052,0.3943052,0.0876269,0.3066783
San Jose Earthquakes,20,LA Galaxy,Away,US Major League Soccer,2022,4231,4411,3,1.738216705,0.9314614,0,0.025006194,11,4,36.3636,0.0000,2,1.800879345,1.4084061,0,0.267170737,25,8,13.755,46,35.1916376,0.2838145,436,16,16,2,13,3,65,0.0375,0.0058,10,4,2,0,3,1.3768,1.3666,0.5796549,0.2958404,0.2838145
San Jose Earthquakes,21,Houston Dynamo FC,Home,US Major League Soccer,2022,433,433,1,1.65037397,1.327314,0,0.267684807,16,6,37.5000,0.0000,2,1.666233664,1.5132051,0,0.153028551,13,4,38.64,51,55.5555555,0.9001484,447,9,25,8,24,0,10.1515,0.0682,0.0455,11,6,1,0,0,1.355,1.3844,1.104309,0.2041606,0.9001484
San Jose Earthquakes,22,Portland Timbers,Away,US Major League Soccer,2022,433,442,1,1.462327169,0.4539082,0,1.008418906,11,7,63.6364,0.0000,2,1.541849248,1.3371707,0,0.124026516,19,5,28.98,58,41.4448669,0.3528198,538,8,17,0,24,4,11.4545,0.0258,0.0143,18,15,3,0,0,1.2802,1.4398,0.5098859,0.1570661,0.3528198
San Jose Earthquakes,23,Real Salt Lake,Home,US Major League Soccer,2022,433,442,2,1.692672529,0.8065381,0,0.104385391,14,4,28.5714,0.0000,2,1.103795616,1.0841056,0,0.019689964,12,6,31.92,62,61.8604651,0.694019,499,11,26,4,13,3,12.2632,0.0234,0.0068,16,11,3,1,1,1.887,0.8352,0.8238162,0.1297972,0.694019
