Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Sporting Kansas City,,Toronto FC,Away,US Major League Soccer,2017,433,352,0,0,0,0,0,15,4,26.6667,0.0000,0,0,0,0,0,13,0,0,41,44.2060085,0,357,8,0,0,9,0,0,0,0,9,11,2,0,1,0,0,0,0,0
Sporting Kansas City,,Houston Dynamo FC,Away,US Major League Soccer,2017,433,442,1,0,0,0,0,15,5,33.3333,93.3333,2,0,0,0,0,10,0,0,57,60.8333333,0,389,3,0,0,15,0,0,0,0,19,16,1,0,0,0,0,0,0,0
Sporting Kansas City,,New York City FC,Away,US Major League Soccer,2017,433,4231,0,0,0,0,0,10,1,10.0000,0.0000,1,0,0,0,0,16,0,0,50,51.5050167,0,442,5,0,0,9,0,0,0,0,11,10,2,0,0,0,0,0,0,0
Sporting Kansas City,,Columbus Crew,Away,US Major League Soccer,2017,433,4231,1,0,0,0,0,20,4,20.0000,0.0000,1,0,0,0,0,12,0,0,57,66.5441176,0,512,4,0,0,13,0,0,0,0,12,9,2,0,1,0,0,0,0,0
Sporting Kansas City,,New England Revolution,Home,US Major League Soccer,2017,433,442,3,0,0,0,0,19,8,42.1053,0.0000,1,0,0,0,0,6,0,0,68,69.6750902,0,593,4,0,0,10,0,0,0,0,8,18,2,0,3,0,0,0,0,0
Sporting Kansas City,,LA Galaxy,Home,US Major League Soccer,2017,433,4231,2,0,0,0,0,11,6,54.5455,0.0000,1,0,0,0,0,7,0,0,60,54.787234,0,527,8,0,1,9,0,0,0,0,11,9,0,0,3,0,0,0,0,0
Sporting Kansas City,,San Jose Earthquakes,Home,US Major League Soccer,2017,433,442,2,0,0,0,0,15,4,26.6667,0.0000,1,0,0,0,0,5,0,0,47,48.076923,0,455,8,0,1,10,0,0,0,0,11,9,2,0,3,0,0,0,0,0
Sporting Kansas City,,Vancouver Whitecaps FC,Home,US Major League Soccer,2017,433,4231,0,0,0,0,0,18,7,38.8889,0.0000,1,0,0,0,0,11,0,0,74,78.1115879,0,606,5,0,1,24,0,0,0,0,12,10,0,1,0,0,0,0,0,0
Sporting Kansas City,,Houston Dynamo FC,Home,US Major League Soccer,2017,433,4231,0,0,0,0,0,27,7,25.9259,0.0000,0,0,0,0,0,14,0,0,69,70.1298701,0,555,4,0,2,30,0,0,0,0,9,8,1,0,1,0,0,0,0,0
Sporting Kansas City,,Seattle Sounders FC,Away,US Major League Soccer,2017,433,4231,0,0,0,0,0,9,3,33.3333,0.0000,1,0,0,0,0,15,0,0,54,57.8059071,0,529,3,0,0,13,0,0,0,0,10,13,2,0,0,0,0,0,0,0
Sporting Kansas City,,Colorado Rapids,Home,US Major League Soccer,2017,433,4231,3,0,0,0,0,12,6,50.0000,0.0000,1,0,0,0,0,8,0,0,58,51.744186,0,549,4,0,1,9,0,0,0,0,12,8,1,0,3,0,0,0,0,0
Sporting Kansas City,,Portland Timbers,Away,US Major League Soccer,2017,433,4231,1,0,0,0,0,12,4,33.3333,0.0000,0,0,0,0,0,10,0,0,49,48.6111111,0,449,15,0,1,15,0,0,0,0,22,12,2,0,3,0,0,0,0,0
Sporting Kansas City,,FC Dallas,Away,US Major League Soccer,2017,433,4231,0,0,0,0,0,12,1,8.3333,0.0000,1,0,0,0,0,11,0,0,60,48.7603305,0,606,4,0,1,8,0,0,0,0,11,5,0,0,0,0,0,0,0,0
Sporting Kansas City,,Real Salt Lake,Home,US Major League Soccer,2017,433,433,3,0,0,0,0,10,7,70.0000,0.0000,0,0,0,0,0,14,0,0,50,39.3700787,0,473,7,0,4,12,0,0,0,0,15,7,5,0,3,0,0,0,0,0
Sporting Kansas City,,FC Dallas,Home,US Major League Soccer,2017,433,442,2,0,0,0,0,13,7,53.8462,0.0000,0,0,0,0,0,11,0,0,62,64.1129032,0,570,1,0,0,11,0,0,0,0,10,8,1,0,3,0,0,0,0,0
