Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Los Angeles Football Club,,Real Salt Lake,Home,US Major League Soccer,2019,433,451,2,0,0,0,0,19,7,36.8421,0.0000,1,0,0,0,0,3,0,0,68,70.2479338,0,601,12,0,0,27,0,0,0,0,16,18,2,0,3,0,0,0,0,0
Los Angeles Football Club,,Minnesota United FC,Home,US Major League Soccer,2019,433,532,0,0,0,0,0,23,8,34.7826,0.0000,2,0,0,0,0,5,0,0,77,84.4282238,0,811,19,0,3,22,0,0,0,0,6,8,1,0,0,0,0,0,0,0
Los Angeles Football Club,,Orlando City SC,Away,US Major League Soccer,2019,4231,442,2,0,0,0,0,13,4,30.7692,0.0000,2,0,0,0,0,0,0,0,63,69.2982456,0,552,11,0,3,16,0,0,0,0,11,9,1,0,1,0,0,0,0,0
Los Angeles Football Club,,Philadelphia Union,Away,US Major League Soccer,2019,433,4231,1,0,0,0,0,16,4,25.0000,0.0000,1,0,0,0,0,9,0,0,51,50.6711409,0,495,19,0,4,4,0,0,0,0,11,13,4,0,1,0,0,0,0,0
Los Angeles Football Club,,Toronto FC,Home,US Major League Soccer,2019,433,4231,1,0,0,0,0,17,5,29.4118,0.0000,1,0,0,0,0,8,0,0,57,65.8536585,0,539,17,0,1,11,0,0,0,0,8,11,1,0,1,0,0,0,0,0
Los Angeles Football Club,,Houston Dynamo FC,Home,US Major League Soccer,2019,433,442,3,0,0,0,0,20,9,45.0000,295.0000,1,0,0,0,0,11,0,0,63,66.7896678,0,508,15,0,0,11,0,0,0,0,13,13,2,0,3,0,0,0,0,0
Los Angeles Football Club,,Minnesota United FC,Away,US Major League Soccer,2019,433,4231,1,0,0,0,0,20,5,25.0000,0.0000,1,0,0,0,0,14,0,0,67,75.5747126,0,675,13,0,1,18,0,0,0,0,8,5,0,0,1,0,0,0,0,0
Los Angeles Football Club,,New York City FC,Away,US Major League Soccer,2019,433,4141,2,0,0,0,0,18,4,22.2222,0.0000,2,0,0,0,0,16,0,0,40,42.2594142,0,323,10,0,2,12,0,0,0,0,19,12,3,0,1,0,0,0,0,0
Los Angeles Football Club,,Colorado Rapids,Home,US Major League Soccer,2019,433,4231,3,0,0,0,0,15,5,33.3333,0.0000,1,0,0,0,0,10,0,0,64,70.1438848,0,617,19,0,0,7,0,0,0,0,5,11,3,0,3,0,0,0,0,0
Los Angeles Football Club,,LA Galaxy,Home,US Major League Soccer,2019,433,4231,3,0,0,0,0,27,10,37.0370,0.0000,3,0,0,0,0,10,0,0,66,68.6206896,0,564,16,0,0,21,0,0,0,0,14,3,0,0,1,0,0,0,0,0
