Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
LA Galaxy,,Houston Dynamo FC,Home,US Major League Soccer,2018,442,4231,2,0,0,0,0,18,7,38.8889,0.0000,3,0,0,0,0,12,0,0,55,60.6557377,0,462,5,0,3,27,0,0,0,0,10,11,0,0,0,0,0,0,0,0
LA Galaxy,,Seattle Sounders FC,Away,US Major League Soccer,2018,3412,4231,0,0,0,0,0,14,5,35.7143,0.0000,5,0,0,0,0,20,0,0,49,42.6724137,0,474,8,0,0,24,0,0,0,0,8,13,0,0,0,0,0,0,0,0
LA Galaxy,,Colorado Rapids,Home,US Major League Soccer,2018,3412,4312,2,0,0,0,0,13,5,38.4615,0.0000,2,0,0,0,0,11,0,0,40,52.5821596,0,411,8,0,0,14,0,0,0,0,7,12,2,0,1,0,0,0,0,0
LA Galaxy,,Real Salt Lake,Away,US Major League Soccer,2018,3412,433,2,0,0,0,0,10,3,30.0000,0.0000,6,0,0,0,0,22,0,0,40,47.3429951,0,321,4,0,7,14,0,0,0,0,10,11,2,0,0,0,0,0,0,0
LA Galaxy,,Toronto FC,Away,US Major League Soccer,2018,433,352,3,0,0,0,0,10,6,60.0000,0.0000,5,0,0,0,0,19,0,0,49,46.3768115,0,461,5,0,3,21,0,0,0,0,10,15,6,0,0,0,0,0,0,0
LA Galaxy,,Seattle Sounders FC,Home,US Major League Soccer,2018,442,442,3,0,0,0,0,11,4,36.3636,0.0000,0,0,0,0,0,14,0,0,45,36.7491166,0,436,2,0,0,15,0,0,0,0,10,8,2,0,3,0,0,0,0,0
LA Galaxy,,Vancouver Whitecaps FC,Home,US Major League Soccer,2018,4141,4141,3,0,0,0,0,11,3,27.2727,0.0000,0,0,0,0,0,14,0,0,56,47.3282442,0,558,9,0,0,9,0,0,0,0,14,16,1,0,3,0,0,0,0,0
LA Galaxy,,Sporting Kansas City,Away,US Major League Soccer,2018,4222,433,1,0,0,0,0,8,3,37.5000,0.0000,1,0,0,0,0,34,0,0,41,32.9588014,0,375,5,0,0,12,0,0,0,0,6,10,1,0,1,0,0,0,0,0
LA Galaxy,,Minnesota United FC,Away,US Major League Soccer,2018,442,4231,3,0,0,0,0,9,7,77.7778,0.0000,1,0,0,0,0,14,0,0,55,50.929368,0,539,11,0,1,18,0,0,0,0,14,11,1,0,3,0,0,0,0,0
LA Galaxy,,Minnesota United FC,Home,US Major League Soccer,2018,3412,3142,2,0,0,0,0,19,6,31.5789,0.0000,2,0,0,0,0,10,0,0,61,68.7943262,0,588,11,0,1,15,0,0,0,0,18,13,0,0,1,0,0,0,0,0
