Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Minnesota United FC,,New England Revolution,Away,US Major League Soccer,2017,4231,41212,2,0,0,0,0,9,5,55.5556,0.0000,5,0,0,0,0,15,0,0,51,36.9230769,0,564,4,0,0,11,0,0,0,0,14,4,0,0,0,0,0,0,0,0
Minnesota United FC,,Chicago Fire FC,Away,US Major League Soccer,2017,4231,433,2,0,0,0,0,8,2,25.0000,0.0000,1,0,0,0,0,20,0,0,42,44.2028985,0,361,3,0,1,13,0,0,0,0,15,7,1,0,3,0,0,0,0,0
Minnesota United FC,,Philadelphia Union,Home,US Major League Soccer,2017,4231,4231,1,0,0,0,0,13,6,46.1538,0.0000,1,0,0,0,0,15,0,0,54,41.7293233,0,452,10,0,0,18,0,0,0,0,13,15,0,0,1,0,0,0,0,0
Minnesota United FC,,Vancouver Whitecaps FC,Away,US Major League Soccer,2017,4231,4231,0,0,0,0,0,9,2,22.2222,0.0000,3,0,0,0,0,18,0,0,59,60,0,456,7,0,0,24,0,0,0,0,14,11,2,0,0,0,0,0,0,0
Minnesota United FC,,CF Montréal,Away,US Major League Soccer,2017,4231,433,3,0,0,0,0,10,6,60.0000,0.0000,2,0,0,0,0,17,0,0,46,40.2654867,0,364,5,0,0,16,0,0,0,0,17,7,1,0,3,0,0,0,0,0
Minnesota United FC,,FC Dallas,Home,US Major League Soccer,2017,4231,4231,4,0,0,0,0,10,5,50.0000,0.0000,1,0,0,0,0,19,0,0,49,47.4103585,0,405,9,0,2,9,0,0,0,0,11,15,3,0,3,0,0,0,0,0
Minnesota United FC,,Colorado Rapids,Away,US Major League Soccer,2017,4141,4231,2,0,0,0,0,7,2,28.5714,0.0000,2,0,0,0,0,11,0,0,37,31.7647058,0,306,4,0,0,7,0,0,0,0,9,10,4,1,1,0,0,0,0,0
Minnesota United FC,,LA Galaxy,Away,US Major League Soccer,2017,442,4231,0,0,0,0,0,12,4,33.3333,0.0000,3,0,0,0,0,9,0,0,54,57.2649572,0,552,11,0,1,24,0,0,0,0,11,13,2,0,0,0,0,0,0,0
Minnesota United FC,,San Jose Earthquakes,Away,US Major League Soccer,2017,4411,4231,2,0,0,0,0,5,2,40.0000,0.0000,3,0,0,0,0,22,0,0,49,47.037037,0,426,3,0,1,16,0,0,0,0,13,16,3,0,0,0,0,0,0,0
Minnesota United FC,,Seattle Sounders FC,Away,US Major League Soccer,2017,4231,4231,1,0,0,0,0,8,1,12.5000,0.0000,2,0,0,0,0,21,0,0,36,27.8571428,0,347,7,0,2,11,0,0,0,0,6,20,2,0,0,0,0,0,0,0
Minnesota United FC,,Real Salt Lake,Home,US Major League Soccer,2017,4231,433,4,0,0,0,0,19,9,47.3684,0.0000,2,0,0,0,0,12,0,0,49,39.5061728,0,464,7,0,1,19,0,0,0,0,14,8,2,0,3,0,0,0,0,0
Minnesota United FC,,FC Dallas,Away,US Major League Soccer,2017,4231,433,0,0,0,0,0,13,6,46.1538,0.0000,2,0,0,0,0,13,0,0,54,55.7142857,0,481,4,0,0,18,0,0,0,0,10,6,3,0,0,0,0,0,0,0
Minnesota United FC,,Houston Dynamo FC,Away,US Major League Soccer,2017,4231,433,2,0,0,0,0,8,2,25.0000,0.0000,2,0,0,0,0,19,0,0,48,33.9285714,0,423,7,0,3,12,0,0,0,0,8,10,3,0,1,0,0,0,0,0
Minnesota United FC,,Colorado Rapids,Home,US Major League Soccer,2017,4231,4231,1,0,0,0,0,10,4,40.0000,0.0000,0,0,0,0,0,11,0,0,52,41.5686274,0,494,2,0,0,11,0,0,0,0,18,16,1,0,3,0,0,0,0,0
Minnesota United FC,,San Jose Earthquakes,Home,US Major League Soccer,2017,4231,433,0,0,0,0,0,8,2,25.0000,0.0000,1,0,0,0,0,16,0,0,48,45.3571428,0,486,6,0,1,18,0,0,0,0,9,5,1,0,0,0,0,0,0,0
Minnesota United FC,,Houston Dynamo FC,Away,US Major League Soccer,2017,4231,4231,1,0,0,0,0,8,2,25.0000,0.0000,2,0,0,0,0,19,0,0,58,49.2822966,0,532,13,0,0,16,0,0,0,0,17,11,2,0,0,0,0,0,0,0
Minnesota United FC,,Sporting Kansas City,Home,US Major League Soccer,2017,442,433,1,0,0,0,0,9,4,44.4444,0.0000,1,0,0,0,0,20,0,0,48,34.0136054,0,403,6,0,1,21,0,0,0,0,10,13,1,1,1,0,0,0,0,0
Minnesota United FC,,New York City FC,Away,US Major League Soccer,2017,4231,4231,1,0,0,0,0,5,2,40.0000,0.0000,3,0,0,0,0,20,0,0,37,25,0,355,9,0,1,10,0,0,0,0,16,14,2,0,0,0,0,0,0,0
Minnesota United FC,,Sporting Kansas City,Home,US Major League Soccer,2017,4231,433,2,0,0,0,0,8,4,50.0000,0.0000,0,0,0,0,0,17,0,0,34,33.3333333,0,323,4,0,0,7,0,0,0,0,15,10,2,0,3,0,0,0,0,0
Minnesota United FC,,Toronto FC,Away,US Major League Soccer,2017,4231,3142,2,0,0,0,0,9,4,44.4444,188.8889,3,0,0,0,0,14,0,0,51,40.4347826,0,501,5,0,1,18,0,0,0,0,6,8,0,0,0,0,0,0,0,0
Minnesota United FC,,LA Galaxy,Home,US Major League Soccer,2017,4231,442,1,0,0,0,0,22,7,31.8182,95.4545,2,0,0,0,0,9,0,0,65,61.003861,0,523,8,0,0,31,0,0,0,0,11,11,1,0,0,0,0,0,0,0
Minnesota United FC,,Orlando City SC,Home,US Major League Soccer,2017,4231,41212,1,0,0,0,0,5,2,40.0000,0.0000,0,0,0,0,0,20,0,0,47,44.262295,0,341,12,0,1,22,0,0,0,0,14,18,5,0,3,0,0,0,0,0
Minnesota United FC,,Sporting Kansas City,Away,US Major League Soccer,2017,4231,433,0,0,0,0,0,7,1,14.2857,0.0000,3,0,0,0,0,27,0,0,47,42.1245421,0,473,2,0,0,10,0,0,0,0,13,14,3,0,0,0,0,0,0,0
Minnesota United FC,,Real Salt Lake,Away,US Major League Soccer,2017,4231,4231,0,0,0,0,0,5,1,20.0000,0.0000,1,0,0,0,0,29,0,0,52,40,0,415,4,0,1,13,0,0,0,0,15,9,2,0,0,0,0,0,0,0
Minnesota United FC,,Portland Timbers,Home,US Major League Soccer,2017,4231,4231,3,0,0,0,0,9,7,77.7778,288.8889,2,0,0,0,0,15,0,0,50,44.4785276,0,458,12,0,1,22,0,0,0,0,14,7,0,1,3,0,0,0,0,0
Minnesota United FC,,Vancouver Whitecaps FC,Home,US Major League Soccer,2017,4231,442,2,0,0,0,0,17,7,41.1765,0.0000,2,0,0,0,0,11,0,0,73,63.5338345,0,598,13,0,0,28,0,0,0,0,9,9,4,0,1,0,0,0,0,0
Minnesota United FC,,Portland Timbers,Away,US Major League Soccer,2017,4141,4231,1,0,0,0,0,11,2,18.1818,0.0000,5,0,0,0,0,13,0,0,54,55.0724637,0,515,7,0,0,21,0,0,0,0,8,12,1,0,0,0,0,0,0,0
