Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Nashville SC,1,FC Cincinnati,Home,US Major League Soccer,2021,4231,4411,2,3.087977195,2.2204208,0,0.867556593,31,13,41.9355,0.0000,2,1.680196184,0.831036,0.035471838,0.06741113,7,2,44.835,58,68.75,1.2663014,438,9,46,0,39,2,9,0.0147,0.0064,15,15,2,0,1,2.2248,0.579,1.3672056,0.1009042,1.2663014
Nashville SC,2,CF Montréal,Home,US Major League Soccer,2021,4231,3412,2,2.6020638,2.4747813,0,0.1272826,18,8,44.4444,0.0000,2,0.88964681,0.8896469,0,0,9,4,34.545,57,55.1401869,0.87738,554,6,31,0,22,4,12.72,0.0282,0.0201,8,13,2,0,1,2.4876,0.3654,1.3772764,0.4998964,0.87738
Nashville SC,3,Inter Miami CF,Home,US Major League Soccer,2021,4231,4231,0,0.806068701,0.7712949,0,0.034773815,10,3,30.0000,0.0000,0,0.313967842,0.2192918,0.045756385,0,5,2,26.775,59,54.9222797,0.4293262,507,6,17,1,27,1,14.7368,0.0564,0.0529,11,10,2,0,1,1.792,0.8038,0.6020368,0.1727106,0.4293262
Nashville SC,4,New England Revolution,Home,US Major League Soccer,2021,4231,442,2,1.222921,1.222921,0.110819221,0,16,7,43.7500,0.0000,0,0.55058713,0.4785192,0,0.0720678,12,4,32.34,42,57.4898785,0.763318,405,6,22,1,15,2,15.5517,0.0333,0.01,12,12,2,0,3,2.0028,0.7002,1.1832326,0.4199146,0.763318
Nashville SC,5,Real Salt Lake,Away,US Major League Soccer,2021,442,4231,0,0.819848699,0.3994931,0,0.348310601,12,3,25.0000,0.0000,0,0.718460256,0.1788075,0,0.499829372,12,0,22.47,44,55.1020408,0.2293343,369,3,19,0,25,1,17.9545,0.0155,0.0057,6,10,1,0,1,1.4376,1.197,0.4185905,0.1892562,0.2293343
Nashville SC,6,Austin FC,Home,US Major League Soccer,2021,442,433,1,2.056460261,1.285254,0.386253655,0.771206215,14,6,42.8571,0.0000,0,0.353886154,0.2095816,0,0.103177249,12,1,27.09,41,46.1139896,0.2238249,335,8,27,0,19,2,13.6429,0.1609,0.0034,15,12,0,0,3,2.626,0.2326,0.3922561,0.1684312,0.2238249
Nashville SC,7,Atlanta United,Away,US Major League Soccer,2021,442,433,2,1.317828472,1.1725161,0,0.073483421,14,5,35.7143,0.0000,2,1.699094869,1.5833334,0,0.084641367,12,5,36.1725,38,50.4807692,0.5352471,339,6,26,1,13,2,13.2353,0.0407,0.0365,10,11,3,0,1,0.9724,1.7524,0.7119347,0.1766876,0.5352471
Nashville SC,8,New York Red Bulls,Away,US Major League Soccer,2021,442,4312,0,0.811185444,0.4412971,0.441297114,0.190964924,8,1,12.5000,0.0000,2,1.009345058,0.540886,0,0.468458973,13,6,32.76,42,35.9447004,0.3247518,289,2,10,0,9,1,9.3333,0.0434,0.0375,13,11,0,0,0,1.1674,1.4944,0.3241063,-0.0006455,0.3247518
Nashville SC,9,Toronto FC,Home,US Major League Soccer,2021,442,4231,3,3.141307708,2.3018941,0.413428009,0.77614467,15,11,73.3333,0.0000,2,1.016084445,0.8579517,0,0.158132736,10,4,38.43,58,55.4770318,0.5878986,548,2,18,0,28,3,8.871,0.0499,0.0072,11,17,3,0,3,2.6362,0.2542,0.8417719,0.2538733,0.5878986
Nashville SC,10,CF Montréal,Home,US Major League Soccer,2021,4411,3412,1,1.774754196,0.7924158,0,0.982338332,21,7,33.3333,0.0000,1,0.518358633,0.402771,0,0.115587708,8,4,40.0575,60,64.556962,0.5181698,567,5,33,0,36,2,12.3462,0.0224,0.0197,10,11,1,0,1,2.3006,0.4808,0.7651452,0.2460629,0.5181698
Nashville SC,11,Philadelphia Union,Home,US Major League Soccer,2021,3511,4312,1,0.846412616,0.504168,0.293012466,0.342244577,12,3,25.0000,0.0000,0,0.789194139,0.6281452,0.144239008,0.161048923,8,4,27.615,49,36.9294605,0.3836708,433,12,21,2,21,5,17.1111,0.0478,0.0393,8,9,0,0,3,1.3852,1.2694,0.5017171,0.1180463,0.3836708
Nashville SC,12,Atlanta United,Home,US Major League Soccer,2021,3412,41212,2,1.902020087,0.6173715,0,0.381185258,17,8,47.0588,0.0000,2,0.320953177,0.1556445,0,0.165308706,6,2,38.535,50,49.3421052,0.6591551,340,7,22,2,17,3,9.0968,0.0204,0.0127,16,16,3,0,1,2.626,0.2302,0.752973,0.0938179,0.6591551
Nashville SC,13,Chicago Fire FC,Home,US Major League Soccer,2021,3412,3421,5,3.212139875,2.8932132,0,0.188703228,25,12,48.0000,0.0000,1,1.612224865,1.0692026,0,0.521280979,14,4,33.3375,54,52.9126213,0.8089621,481,4,31,2,20,1,9.1471,0.0212,0.015,9,14,0,0,3,2.4014,0.4394,1.0797119,0.2707498,0.8089621
Nashville SC,14,Columbus Crew,Away,US Major League Soccer,2021,352,4231,0,0.429932891,0.1599035,0.074358173,0.138640803,8,1,12.5000,0.0000,0,1.266146772,0.8395494,0,0.24088731,18,7,25.62,34,31.5589353,0.1864572,311,5,11,0,20,1,15.2222,0.0191,0.0137,9,13,1,0,1,0.6248,2.0822,0.2431241,0.0566669,0.1864572
Nashville SC,15,FC Cincinnati,Home,US Major League Soccer,2021,352,433,3,1.070468884,0.9658851,0,0.104583673,8,4,50.0000,0.0000,0,0.301808161,0.15022,0,0.084725538,7,0,33.705,34,41.8994413,0.3001031,330,5,18,1,12,4,15.6176,0.1025,0.0913,14,14,2,0,3,2.1406,0.5614,0.3888035,0.0887913,0.3001031
Nashville SC,16,Toronto FC,Away,US Major League Soccer,2021,352,532,1,0.863777097,0.5985029,0.049569987,0.265274318,12,3,25.0000,0.0000,1,0.478206554,0.2156756,0,0.19333297,6,2,24.885,47,39.1129032,0.3212331,505,2,16,0,18,3,18.1364,0.0363,0.0077,8,9,1,0,1,1.7334,0.8916,0.287515,-0.0337181,0.3212331
Nashville SC,17,New England Revolution,Away,US Major League Soccer,2021,352,4321,0,0.458665423,0.4195418,0.089653797,0.039123543,7,2,28.5714,0.0000,0,0.650159589,0.5894258,0,0.037934218,12,6,28.6125,31,33.463035,0.3372811,291,4,14,1,14,1,21.8095,0.0238,0.0149,13,11,1,0,1,1.0908,1.4796,0.4786992,0.1414181,0.3372811
Nashville SC,18,Inter Miami CF,Away,US Major League Soccer,2021,352,343,1,0.5299002,0.4712182,0,0.058682,8,2,25.0000,0.0000,2,1.07425973,1.03805,0,0.0362097,15,9,31.815,41,23.7209302,0.2758193,396,9,6,0,10,0,17.4286,0.0087,0.0077,7,13,1,0,0,0.8518,1.8136,0.374165,0.0983457,0.2758193
Nashville SC,19,D.C. United,Home,US Major League Soccer,2021,352,343,5,2.752483698,1.8714291,0,0.071542144,17,9,52.9412,0.0000,2,0.971063127,0.4685959,0,0.502467237,8,4,30.5025,51,49.7584541,0.6112047,422,5,22,1,17,0,11.0714,0.052,0.0262,15,13,0,0,3,2.5272,0.3228,0.876877,0.2656723,0.6112047
Nashville SC,20,Orlando City SC,Home,US Major League Soccer,2021,352,4231,1,0.915332176,0.7513359,0.537262814,0.127852367,14,4,28.5714,0.0000,1,0.798101737,0.6184947,0,0.15382424,14,3,34.02,44,54.8523206,0.4228377,406,6,18,0,19,6,18.4783,0.044,0.0251,12,17,3,0,1,1.482,1.1694,0.670064,0.2472263,0.4228377
Nashville SC,22,Atlanta United,Away,US Major League Soccer,2021,532,532,2,1.258910421,1.1684674,0.339951217,0.06874004,16,5,31.2500,0.0000,0,0.455445258,0.4060781,0.085079618,0.024947614,10,2,27.93,39,33.4763948,0.2852679,348,7,20,3,15,2,16.375,0.0212,0.0129,9,11,3,0,3,2.0314,0.676,0.4908445,0.2052532,0.2852679
Nashville SC,23,New York City FC,Home,US Major League Soccer,2021,352,4231,3,1.105587,1.0092014,0.133416247,0.0963856,13,7,53.8462,0.0000,1,2.39308929,2.1955801,0,0.1975093,24,7,21.315,43,25.4180602,0.3356478,389,11,13,1,18,6,20.4667,0.107,0.0317,7,8,3,1,3,0.5896,2.23,0.479455,0.1438072,0.3356478
Nashville SC,24,CF Montréal,Away,US Major League Soccer,2021,352,3421,1,0.910593076,0.5165713,0,0.366981164,13,8,61.5385,0.0000,0,0.77157654,0.6754792,0,0,14,3,29.8725,41,32.4074074,0.3364499,385,1,15,0,17,1,17.5455,0.0169,0.0106,9,10,3,0,3,1.443,1.2072,0.4590872,0.1226373,0.3364499
Nashville SC,26,Toronto FC,Away,US Major League Soccer,2021,352,4231,1,1.413408742,1.2340465,0,0.179362228,11,5,45.4545,0.0000,2,1.059146006,0.705299,0.09120395,0.353846967,9,4,32.97,56,64.3171806,0.4304427,459,10,20,1,26,0,9.8621,0.1399,0.1348,7,10,1,0,0,1.6686,1.035,0.6722599,0.2417396,0.4304427
