Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Colorado Rapids,1,D.C. United,Away,US Major League Soccer,2020,4231,4231,2,1.488490002,0.8298251,0.032478605,0.658664914,21,7,33.3333,0.0000,1,1.487992886,0.7033903,0,0.688045293,13,4,31.185,53,45.6349206,0.4156798,494,14,28,1,29,2,15.8571,0.0231,0.0138,13,14,1,0,3,1.3266,1.4178,0.5229621,0.1072823,0.4156798
Colorado Rapids,2,Orlando City SC,Home,US Major League Soccer,2020,4231,3412,2,0.578349479,0.433719,0,0.144630553,12,5,41.6667,0.0000,1,0.728636014,0.6122642,0,0.037929484,13,5,31.605,55,54.2168674,0.4272655,496,9,20,0,31,3,16.1,0.0305,0.0268,8,10,3,0,3,1.1674,1.4416,0.659828,0.2325625,0.4272655
Colorado Rapids,3,Real Salt Lake,Away,US Major League Soccer,2020,4231,4231,0,0.857938739,0.79688,0,0.061058763,11,4,36.3636,0.0000,2,1.991335177,0.7626262,0,0.424775697,10,6,28.245,53,55.9670781,0.5394645,463,9,15,0,15,2,12.9167,0.0835,0.0065,13,8,3,0,0,0.48,2.31,0.8146402,0.2751757,0.5394645
Colorado Rapids,4,Sporting Kansas City,Away,US Major League Soccer,2020,433,442,2,0.505691515,0.4829057,0,0.022785889,8,4,50.0000,0.0000,3,2.665558415,0.9044535,0.051798344,0.92698182,19,9,22.5225,40,34.1216216,0.3263671,341,15,13,0,7,2,12.6818,0.1391,0.0128,15,11,4,2,0,0.1646,2.7446,0.5132782,0.1869111,0.3263671
Colorado Rapids,5,Minnesota United FC,Home,US Major League Soccer,2020,442,4231,2,1.5769085,1.2987751,0.309340447,0.2781333,14,5,35.7143,0.0000,2,1.95590078,0.9659556,0,0.9899454,18,8,31.5525,45,44.3514644,0.7667146,379,7,27,0,21,3,12.5,0.0285,0.0081,13,13,3,0,1,1.1292,1.6182,1.234804,0.4680894,0.7667146
Colorado Rapids,6,Real Salt Lake,Home,US Major League Soccer,2020,4231,4231,1,0.967008499,0.8983628,0,0.068645738,15,2,13.3333,0.0000,4,1.258502401,1.1813896,0,0.077112787,10,8,35.595,41,47.8468899,0.4374932,333,21,26,0,14,0,18.2857,0.0824,0.0021,7,10,0,0,0,1.0776,1.6278,0.6593995,0.2219063,0.4374932
Colorado Rapids,7,FC Dallas,Away,US Major League Soccer,2020,4231,4231,1,0.9788419,0.9583446,0,0.0204973,22,5,22.7273,0.0000,4,1.26935045,1.1136799,0,0.1556706,15,7,35.49,62,71.2686567,0.5129357,578,11,25,0,31,2,14.6667,0.0257,0.0102,8,10,0,0,0,1.1276,1.5794,0.7013596,0.1884239,0.5129357
Colorado Rapids,8,Sporting Kansas City,Home,US Major League Soccer,2020,433,4141,1,1.104398871,1.0250766,0,0,10,4,40.0000,0.0000,1,0.47067405,0.4100555,0,0.033537999,13,3,28.35,63,53.6363636,0.4704822,578,9,17,1,8,3,9.5,0.0092,0.0057,8,11,3,0,1,1.9488,0.741,0.5844746,0.1139924,0.4704822
Colorado Rapids,10,San Jose Earthquakes,Away,US Major League Soccer,2020,433,442,1,1.168858202,0.7542235,0,0.414634664,10,6,60.0000,0.0000,1,1.802157094,0.3612438,0.100694321,0.513456486,14,3,28.77,46,50.7042253,0.3530592,378,7,18,3,17,2,11.8621,0.0238,0.0206,13,15,3,0,1,0.8328,1.893,0.4633412,0.110282,0.3530592
Colorado Rapids,11,Houston Dynamo FC,Home,US Major League Soccer,2020,4231,433,1,2.3495039,1.3161411,0.415282924,1.0333628,25,7,28.0000,0.0000,1,1.36515889,0.7491553,0,0.6160035,10,3,43.26,66,73.3812949,0.7749844,590,18,30,0,41,3,11.7391,0.1583,0.0102,6,9,3,0,1,2.054,0.7292,1.1902445,0.4152601,0.7749844
