Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Real Salt Lake,2,Minnesota United FC,Away,US Major League Soccer,2021,4231,4231,2,1.52638864,1.4337835,0.097721942,0.092605233,11,4,36.3636,0.0000,1,1.323786221,1.0862665,0,0.216091412,23,2,27.09,44,35.7142857,0.4158546,428,2,20,0,8,0,18.6111,0.018,0.0078,9,12,3,0,3,1.547,1.1798,0.5659313,0.1500767,0.4158546
Real Salt Lake,3,Sporting Kansas City,Home,US Major League Soccer,2021,4231,433,3,1.3333726,1.3333726,0,0,10,4,40.0000,0.0000,1,0.51334633,0.4764579,0,0.0368884,6,1,33.81,54,36.4035087,0.345384,480,10,17,0,12,1,10.4583,0.0482,0.0128,7,10,2,0,3,2.0984,0.626,0.4923727,0.1469887,0.345384
Real Salt Lake,4,San Jose Earthquakes,Home,US Major League Soccer,2021,4231,4231,1,0.983527854,0.792832,0.038378183,0.165906832,15,4,26.6667,0.0000,2,1.635327486,1.482701,0.123822078,0.152626485,15,6,37.17,41,54.9222797,0.465751,291,8,25,0,21,5,12.7778,0.0159,0.008,9,11,4,0,0,0.8714,1.874,0.7762012,0.3104502,0.465751
Real Salt Lake,5,Nashville SC,Home,US Major League Soccer,2021,4231,442,0,0.718460256,0.1788075,0,0.499829372,12,0,0.0000,0.0000,0,0.819848699,0.3994931,0,0.348310601,12,3,12.6,56,44.8979591,0.2253012,470,9,16,0,28,2,35.5714,0.1063,0.09,8,6,1,0,1,1.197,1.4376,0.4822127,0.2569115,0.2253012
Real Salt Lake,6,FC Dallas,Away,US Major League Soccer,2021,4231,4231,2,0.475675772,0.4315074,0.10958603,0,11,3,27.2727,0.0000,2,2.802595576,1.6914362,0,0.329410316,29,10,19.005,38,35.7976653,0.5193945,329,14,18,1,9,0,14,0.0214,0.0077,13,14,3,0,1,0.1574,2.7548,0.6877331,0.1683386,0.5193945
Real Salt Lake,7,Minnesota United FC,Home,US Major League Soccer,2021,4231,4141,1,0.680480383,0.3035893,0,0.37689103,12,5,41.6667,0.0000,1,0.743067914,0.5549671,0,0.188100761,12,1,31.0275,48,37.0786516,0.4419623,422,10,23,0,15,2,12.25,0.0658,0.0126,9,6,0,0,1,1.255,1.3732,0.6062856,0.1643233,0.4419623
Real Salt Lake,8,Vancouver Whitecaps FC,Home,US Major League Soccer,2021,4231,433,3,1.036792343,0.9673687,0.276540935,0.069423664,10,6,60.0000,0.0000,1,1.692818312,0.9581531,0,0.648279015,13,2,28.245,59,49.484536,0.3457701,438,11,22,1,18,0,12.6875,0.0414,0.0332,6,11,4,0,3,0.826,1.9138,0.6843782,0.3386081,0.3457701
Real Salt Lake,9,Seattle Sounders FC,Away,US Major League Soccer,2021,4231,3421,1,1.294352082,0,0,0.512603082,4,2,50.0000,0.0000,2,2.328784484,1.3583309,0.026069265,0.188704617,16,6,26.46,45,37.2469635,0.3087999,382,9,22,3,17,0,22.7857,0.012,0.012,9,9,3,0,0,0.6666,2.067,0.5364783,0.2276784,0.3087999
Real Salt Lake,10,Houston Dynamo FC,Home,US Major League Soccer,2021,4231,433,1,2.7502316,1.4834457,0,1.2667859,21,9,42.8571,0.0000,1,0.99636344,0.9963634,0.504532743,0,7,3,44.415,58,59.7156398,0.831003,439,4,29,3,29,3,10.2857,0.072,0.0482,8,11,0,0,1,2.4754,0.37,0.9785482,0.1475452,0.831003
Real Salt Lake,11,Los Angeles Football Club,Home,US Major League Soccer,2021,4231,433,0,1.486003417,1.3247647,0.108197913,0.132917174,14,4,28.5714,0.0000,1,0.379697813,0.3097584,0,0,9,1,30.24,58,52.0491803,0.6596142,452,8,19,2,23,2,14.8824,0.0169,0.0122,12,9,3,0,0,2.395,0.4012,0.8026746,0.1430604,0.6596142
Real Salt Lake,12,Vancouver Whitecaps FC,Away,US Major League Soccer,2021,4231,433,4,3.294586686,2.3140419,0.250666089,0.150817702,18,8,44.4444,0.0000,0,1.001909587,0.8787474,0,0,10,2,28.35,45,44.4444444,0.5990278,413,10,25,5,17,4,21.375,0.0123,0.0041,7,9,2,0,3,2.6932,0.2128,0.720354,0.1213262,0.5990278
Real Salt Lake,13,Los Angeles Football Club,Away,US Major League Soccer,2021,4231,4312,1,0.764387097,0.7643871,0.513793051,0,3,2,66.6667,0.0000,2,4.777577014,3.1633245,0.116530709,0.775689842,29,9,16.17,43,25.4966887,0.1725067,377,5,6,2,17,0,11.2609,0.1535,0.1362,8,15,4,0,0,0.029,2.9546,0.340136,0.1676293,0.1725067
Real Salt Lake,14,LA Galaxy,Home,US Major League Soccer,2021,4411,433,2,1.2332281,1.1654274,0.157085903,0.0678007,11,4,36.3636,0.0000,2,0.99582513,0.9081524,0,0.0876727,11,6,40.11,47,48.4581497,0.6587467,413,8,21,1,15,4,11.6429,0.0453,0.0091,15,7,0,0,1,1.5752,1.1048,0.8852077,0.226461,0.6587467
Real Salt Lake,15,Colorado Rapids,Home,US Major League Soccer,2021,4411,3421,3,1.048534781,0.9608914,0.319137067,0.087643385,5,2,40.0000,0.0000,0,0.273703259,0.1578732,0,0.039909704,9,2,27.405,42,36.5482233,0.2467944,338,7,11,1,8,0,21.875,0.018,0.0087,10,9,2,0,3,2.1058,0.568,0.4150188,0.1682244,0.2467944
Real Salt Lake,16,Houston Dynamo FC,Away,US Major League Soccer,2021,4411,433,0,1.28290485,1.2486317,0,0.034273095,11,4,36.3636,0.0000,0,1.041743723,0.9594158,0.09808825,0.058799094,15,4,20.475,56,51.082251,0.3965255,489,10,22,0,15,2,15.5882,0.0441,0.0157,9,12,1,1,1,1.541,1.1618,0.6838893,0.2873638,0.3965255
Real Salt Lake,17,LA Galaxy,Away,US Major League Soccer,2021,4411,4222,0,0.8100547,0.5754007,0,0.234654,15,4,26.6667,0.0000,1,1.44393927,1.378092,0.097971961,0.0658473,14,8,35.5425,50,50.3937007,0.4776622,497,10,30,0,24,2,15.2308,0.0177,0.0052,7,6,3,0,0,0.8402,1.895,0.5783155,0.1006533,0.4776622
Real Salt Lake,18,Portland Timbers,Away,US Major League Soccer,2021,4411,433,2,2.013843988,1.349134,0.126388907,0.643903625,23,10,43.4783,0.0000,3,2.04343404,1.1044709,0,0.157214301,13,3,44.1,65,62.2807017,0.8061955,499,17,37,0,33,2,6.2571,0.0372,0.0147,14,15,5,0,0,1.2742,1.4776,1.0095814,0.2033859,0.8061955
