Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Seattle Sounders FC,,Minnesota United FC,Home,US Major League Soccer,2019,4231,4231,1,0,0,0,0,14,4,28.5714,0.0000,0,0,0,0,0,8,0,0,52,65.7232704,0,492,7,0,0,24,0,0,0,0,12,9,0,0,3,0,0,0,0,0
Seattle Sounders FC,,LA Galaxy,Away,US Major League Soccer,2019,4231,4231,2,0,0,0,0,21,6,28.5714,0.0000,2,0,0,0,0,8,0,0,61,64.1509433,0,570,6,0,2,26,0,0,0,0,7,8,1,0,1,0,0,0,0,0
Seattle Sounders FC,,Portland Timbers,Away,US Major League Soccer,2019,4231,4231,2,0,0,0,0,11,4,36.3636,0.0000,1,0,0,0,0,20,0,0,44,38.1756756,0,411,16,0,0,13,0,0,0,0,13,6,4,0,3,0,0,0,0,0
Seattle Sounders FC,,LA Galaxy,Home,US Major League Soccer,2019,4231,4231,4,0,0,0,0,11,6,54.5455,0.0000,3,0,0,0,0,16,0,0,41,36.101083,0,364,12,0,2,11,0,0,0,0,15,16,1,0,3,0,0,0,0,0
Seattle Sounders FC,,New York Red Bulls,Home,US Major League Soccer,2019,4231,4231,4,0,0,0,0,15,6,40.0000,0.0000,2,0,0,0,0,10,0,0,54,40.4109589,0,478,8,0,0,20,0,0,0,0,4,8,2,0,3,0,0,0,0,0
Seattle Sounders FC,,FC Dallas,Home,US Major League Soccer,2019,4231,4231,0,0,0,0,0,14,3,21.4286,0.0000,0,0,0,0,0,9,0,0,60,69.503546,0,575,9,0,1,16,0,0,0,0,16,12,1,1,1,0,0,0,0,0
Seattle Sounders FC,,D.C. United,Away,US Major League Soccer,2019,4231,4231,0,0,0,0,0,17,4,23.5294,0.0000,2,0,0,0,0,12,0,0,49,49.8402555,0,501,6,0,1,23,0,0,0,0,8,10,1,0,0,0,0,0,0,0
Seattle Sounders FC,,San Jose Earthquakes,Away,US Major League Soccer,2019,4231,442,1,0,0,0,0,9,5,55.5556,0.0000,0,0,0,0,0,23,0,0,38,32.3987538,0,331,11,0,0,15,0,0,0,0,11,9,1,1,3,0,0,0,0,0
Seattle Sounders FC,,Chicago Fire FC,Away,US Major League Soccer,2019,4231,4231,4,0,0,0,0,10,7,70.0000,0.0000,2,0,0,0,0,25,0,0,48,33.3333333,0,452,13,0,2,8,0,0,0,0,16,10,1,0,3,0,0,0,0,0
Seattle Sounders FC,,Real Salt Lake,Away,US Major League Soccer,2019,532,4231,0,0,0,0,0,6,0,0.0000,0.0000,3,0,0,0,0,16,0,0,47,38.1818181,0,478,3,0,1,13,0,0,0,0,8,8,1,0,0,0,0,0,0,0
