Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Portland Timbers,1,Vancouver Whitecaps FC,Away,US Major League Soccer,2021,4231,442,0,1.1600952,0.513864,0,0.6462311,7,2,28.5714,0.0000,1,0.61192721,0.0577847,0,0.5541424,6,2,32.97,49,62.4365482,0.6308256,401,5,20,1,19,1,14.1923,0.09,0.0193,14,14,1,0,0,1.8974,0.773,0.9082186,0.277393,0.6308256
Portland Timbers,2,Houston Dynamo FC,Home,US Major League Soccer,2021,4231,4231,2,2.285250945,2.0668233,0.526288994,0.148612687,23,5,21.7391,195.6522,1,1.178990411,1.1024521,0,0.034629345,11,3,23.7825,47,45.3287197,0.7961771,432,8,26,0,14,5,13.1154,0.0814,0.0521,14,17,2,0,3,2.1492,0.6498,1.1142263,0.3180492,0.7961771
Portland Timbers,3,FC Dallas,Away,US Major League Soccer,2021,4231,4231,1,0.4387574,0.2160411,0,0.2227163,10,2,20.0000,0.0000,4,2.31692743,1.6952018,0.917454779,0.6217256,11,6,42.0525,41,51.7766497,0.4145575,327,7,16,0,19,3,11.9722,0.0509,0.0145,15,12,2,0,0,0.209,2.6822,0.6416224,0.2270649,0.4145575
Portland Timbers,4,Seattle Sounders FC,Home,US Major League Soccer,2021,4231,3412,1,1.315522914,0.2317716,0,0.250151031,12,4,33.3333,0.0000,2,2.122558254,1.0079172,0,0.332892028,11,4,36.54,55,71.043771,0.9084441,487,10,35,0,23,5,10.9355,0.0321,0.0222,13,15,1,0,0,0.6798,2.0784,0.9815712,0.0731271,0.9084441
Portland Timbers,5,San Jose Earthquakes,Away,US Major League Soccer,2021,442,4231,2,2.165761717,1.9607946,0,0.204967048,18,5,27.7778,0.0000,0,1.97287424,0.7644258,0,0.25642203,20,4,18.27,34,34.2857142,1.1995363,303,18,25,0,9,4,15.087,0.017,0.0106,5,10,2,0,3,1.5226,1.2268,1.3996941,0.2001578,1.1995363
Portland Timbers,6,LA Galaxy,Home,US Major League Soccer,2021,4231,4231,3,3.457437539,2.5602429,0,0.115445677,20,9,45.0000,0.0000,0,1.198022959,0.2676441,0,0.930378846,14,3,23.205,48,45.9375,0.7736165,546,8,28,1,16,7,17.6957,0.0768,0.0753,8,8,0,0,3,2.677,0.2176,1.0162148,0.2425983,0.7736165
Portland Timbers,7,Philadelphia Union,Away,US Major League Soccer,2021,4231,4312,0,1.090188943,0.2846735,0,0.783114789,10,4,40.0000,0.0000,3,3.208376031,0.6890805,0,2.519295471,16,5,18.27,47,37.0786516,0.391763,370,4,21,1,21,2,12.5714,0.0272,0.006,14,12,2,0,0,0.3296,2.5118,0.6043751,0.2126121,0.391763
Portland Timbers,8,Sporting Kansas City,Home,US Major League Soccer,2021,442,433,2,1.408223925,1.2423004,0,0.0820005,7,3,42.8571,0.0000,1,0.977146036,0.8251479,0,0.151998229,19,3,13.4925,35,28.975265,0.4944914,340,10,12,0,15,2,25.7059,0.0344,0.0115,8,6,2,0,3,1.817,0.89,0.5829437,0.0884523,0.4944914
Portland Timbers,9,Houston Dynamo FC,Away,US Major League Soccer,2021,541,433,2,1.144892713,0.966295,0.393697113,0.136244886,16,3,18.7500,0.0000,2,2.203491969,0.3436665,0,1.859825561,14,4,26.7225,51,45.1612903,0.465901,383,1,27,3,23,5,12.8182,0.0097,0.0064,14,14,3,0,1,0.7908,1.9488,0.6029485,0.1370475,0.465901
Portland Timbers,10,Minnesota United FC,Home,US Major League Soccer,2021,532,442,0,1.44126674,1.0329859,0,0.353773245,22,2,9.0909,0.0000,1,2.001548346,1.9490093,0.032495901,0.027412465,12,5,32.235,54,51.6233766,0.6676256,559,14,30,3,23,6,9.75,0.0158,0.0059,11,11,2,0,0,0.955,1.8082,1.0124496,0.344824,0.6676256
