Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Vancouver Whitecaps FC,,LA Galaxy,Home,US Major League Soccer,2017,4231,442,4,0,0,0,0,16,10,62.5000,0.0000,2,0,0,0,0,15,0,0,46,42.1052631,0,337,14,0,1,22,0,0,0,0,7,14,1,0,3,0,0,0,0,0
Vancouver Whitecaps FC,,Minnesota United FC,Home,US Major League Soccer,2017,4231,4231,3,0,0,0,0,18,9,50.0000,0.0000,0,0,0,0,0,9,0,0,41,40,0,310,8,0,1,22,0,0,0,0,9,15,0,0,3,0,0,0,0,0
Vancouver Whitecaps FC,,Columbus Crew,Home,US Major League Soccer,2017,4231,4231,2,0,0,0,0,13,4,30.7692,0.0000,2,0,0,0,0,15,0,0,40,40.569395,0,343,7,0,0,20,0,0,0,0,12,11,1,0,1,0,0,0,0,0
Vancouver Whitecaps FC,,Colorado Rapids,Home,US Major League Soccer,2017,4231,4231,2,0,0,0,0,14,8,57.1429,0.0000,1,0,0,0,0,13,0,0,42,37.0833333,0,345,5,0,5,8,0,0,0,0,14,12,1,0,3,0,0,0,0,0
Vancouver Whitecaps FC,,Toronto FC,Home,US Major League Soccer,2017,4231,352,0,0,0,0,0,8,1,12.5000,0.0000,2,0,0,0,0,10,0,0,42,41.9213973,0,391,2,0,0,13,0,0,0,0,12,11,1,1,0,0,0,0,0,0
Vancouver Whitecaps FC,,Seattle Sounders FC,Away,US Major League Soccer,2017,4231,4231,0,0,0,0,0,8,1,12.5000,0.0000,3,0,0,0,0,21,0,0,41,35.9649122,0,329,4,0,0,24,0,0,0,0,7,21,3,1,0,0,0,0,0,0
Vancouver Whitecaps FC,,Sporting Kansas City,Away,US Major League Soccer,2017,4231,433,1,0,0,0,0,11,3,27.2727,0.0000,0,0,0,0,0,18,0,0,26,21.888412,0,216,1,0,0,5,0,0,0,0,10,12,1,1,3,0,0,0,0,0
Vancouver Whitecaps FC,,New York Red Bulls,Away,US Major League Soccer,2017,4231,3511,0,0,0,0,0,3,1,33.3333,0.0000,3,0,0,0,0,17,0,0,43,31.9852941,0,347,9,0,0,15,0,0,0,0,12,15,1,0,0,0,0,0,0,0
Vancouver Whitecaps FC,,San Jose Earthquakes,Home,US Major League Soccer,2017,4231,4231,1,0,0,0,0,15,6,40.0000,0.0000,1,0,0,0,0,19,0,0,41,35.546875,0,367,6,0,0,30,0,0,0,0,12,16,0,0,1,0,0,0,0,0
Vancouver Whitecaps FC,,Real Salt Lake,Home,US Major League Soccer,2017,4231,4231,3,0,0,0,0,11,4,36.3636,0.0000,2,0,0,0,0,18,0,0,41,33.0798479,0,372,8,0,2,11,0,0,0,0,9,7,2,0,3,0,0,0,0,0
